,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
548,Kayla Ewell,1985-08-27,Tanner Novlan ( m.  2015),,,Actress,"Long Beach, California, U.S.",,,,,33.602332696769956,
549,Shelley Fabares,1944-01-19,Lou Adler ( m.  1964;  div.  1980) Mike Farrell  ( m.  1984),,,"Actress, singer","Santa Monica, California, U.S.",1933-12-13,"Chicago, Illinois, U.S.",,10.100138948780605,75.20756757496731,85.30770652374792
550,Nanette Fabray,1920-10-27,David Tebet ( m.  1947;  div.  1951) Ranald MacDougall ( m.  1957; died 1973),1,,Actress,"San Diego, California, U.S.",1913-12-27,"Atlanta, Georgia, U.S.","Network executive, press agent, theater publicist",6.833815889443315,98.43597062225781,105.26978651170113
551,Morgan Fairchild,1950-02-03,Jack Calmes ( m.  1967;  div.  1973),,,Actress,"Denton, Texas, U.S.",,,,,69.16500681054367,
552,Lola Falana,1942-09-11,"Feliciano Tavares, Jr. ( m.  1970;  div.  1975)",,Germantown High School(attended),Actresssingerdancermodel,"Camden, New Jersey, U.S.",,,,,76.56283154342663,
553,Edie Falco,1963-07-05,,2,,Actress,"New York City, New York, U.S.",,,,,55.74926247629999,
554,Siobhan Fallon Hogan,1961-05-13,Peter Hogan,3,,"
Actress
comedian
writer
","Syracuse, New York, U.S.",,,,,57.893043662771994,
555,Dakota Fanning,1994-02-23,Campbell Hall School,,Campbell Hall School,Actressmodel,"Conyers, Georgia, U.S.",,,,,25.109345161091603,
556,Elle Fanning,1998-04-09,,,Campbell Hall School,"
Actress
model
","Conyers, Georgia, U.S.",,,,,20.986057208566912,
557,Anna Faris,1976-11-29,Ben Indra ( m.  2004;  div.  2008) Chris Pratt ( m.  2009;  div.  2018),1,,"Actress, producer, author, podcaster","Baltimore, Maryland, U.S.",,,,,42.34446977008426,
558,Frances Farmer,1913-09-19,"
 Leif Erickson ( m.  1936;  div.  1942) 
 Alfred Lobley ( m.  1954;  div.  1958) 
 Leland Mikesell ( m.  1958;  div.  1963) 
",,West Seattle High School,"Actress, television host","Seattle, Washington, U.S.",1911-10-27,"Alameda, California, U.S.",Actor,1.8973695558430357,105.54083930539299,107.43820886123603
559,Vera Farmiga,1973-08-06,"
 Sebastian Roché ( m.  1997;  div.  2004) 
 Renn Hawkey  ( m.  2008) 
",2,,"Actress, film director, producer","Irvington, New Jersey, U.S.",,"Paris, France","
Actor
screenwriter
",,45.66007515554734,
560,Glenda Farrell,1904-06-30,Thomas Richards ( m.  1921;  div.  1929) Dr. Henry Ross ( m.  1941; her death 1971),Tommy Farrell,,Actress,"Enid, Oklahoma, U.S.",,,,,114.76211010493029,
561,Sharon Farrell,1940-12-24,Andrew Prine ( m.  1962; annulled 1962) Ron DeBlasio ( m.  1965–1969) John Boyer  ( m.  1969–1972) Steve Salkin ( m.  1973–1975) Dale Trevillion ( m.  1974–2006),Chance Boyer,,Actress,"Sioux City, Iowa, U.S.",1936-02-14,"Jennings, Florida, U.S.",,4.859784937404601,78.27676132980143,83.13654626720603
562,Terry Farrell,1963-11-19,Brian Baker ( m.  2002;  div.  2015) Adam Nimoy  ( m.  2018),1,,"Actress, model","Cedar Rapids, Iowa, U.S.",1967-07-16,"Philadelphia, Pennsylvania, U.S.",Actor,-3.6551058543296575,55.374169216342565,51.71906336201291
563,Mia Farrow,1945-02-09,"Actress, activist, model",See Farrow children,,"Actress, activist, model","Los Angeles, California, U.S.",1915-12-12,"Hoboken, New Jersey, U.S.","
Singer
actor
producer
",29.164185438441585,74.14799756326276,103.31218300170434
564,Farrah Fawcett,1947-02-02,Lee Majors ( m.  1973;  div.  1982),1,University of Texas (withdrawn),"Actress, model, artist","Corpus Christi, Texas, U.S.",1939-04-23,"Wyandotte, Michigan, U.S.",Actor,7.781131713861338,72.16849079721007,79.94962251107141
565,Alice Faye,1915-05-05,Tony Martin ( m.  1937;  div.  1941) Phil Harris ( m.  1941; died 1995),2,,"
Actress
singer
","Hell's Kitchen, Manhattan, U.S.",,,,,103.9172604502488,
566,Barbara Feldon,1933-03-12,Lucien Verdoux-Feldon ( m.  1958;  div.  1967),,Carnegie Mellon University (BFA),"Actress, model, television host, writer","Bethel Park, Pennsylvania, U.S.",,,,,86.06336885767675,
567,Sherilyn Fenn,1965-02-01,Toulouse Holliday (1994–1997),2,,Actress,"Detroit, Michigan, U.S.",,,,,54.16949013326762,
568,Vanessa Ferlito,,,1,,Actress,"Brooklyn, New York, U.S.",,,,,,
569,Conchata Ferrell,1943-03-28,Arnie Anderson [1] [2],Samantha; 2 stepdaughters,"B.A., Education",Actress,"Loudendale,[1] West Virginia, US",,,,,76.02072595604291,
570,America Ferrera,1984-04-18,Ryan Piers Williams  ( m.  2011),1,,"Actress, voice actress, producer","Los Angeles, California, U.S.",1981-05-13,"El Paso, Texas, USA","Actor, producer, director, writer",2.932298404484692,34.960334572236256,37.89263297672095
571,Peggy Feury,1924-06-30,Louis S. Peterson   (m. 1952—1961; divorced) William Traylor   (m.1961—1985; her death),"Stephanie Feury, Susan Traylor",,"Actress, teacher","Jersey City, New Jersey, U.S.",,,,,94.76169941887923,
