,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
1020,Blake Lively,1987-08-25,Ryan Reynolds  ( m.  2012),2,,Actress,"Los Angeles, California, U.S.",1976-10-23,"Vancouver, British Columbia, Canada","
Actor
comedian
producer
screenwriter
",10.836635933660514,31.60913639568232,42.44577232934284
1021,Sabrina Jane Lloyd,1970-11-20,Ross Smith ( m.  1997),,,Actress,"Fairfax County, Virginia, U.S.",,,,,48.37060309246596,
1022,Amy Locane,1971-12-19,Mark Bovenizer ( m.  2008;  div.  2017),2,,Actress,"Trenton, New Jersey",,,,,47.29186773171249,
1023,Sondra Locke,1944-05-28,Gordon Anderson ( m.  1967),,,"
Actress
director
singer
model
author
","Madison County, Alabama, U.S.",,,,,74.85163966405881,
1024,Heather Locklear,1961-09-25,Tommy Lee  ( m.  1986–1993) Richie Sambora  ( m.  1994–2007),1,,Actress,"Los Angeles, California, U.S.",1962-10-03,"Athens, Greece","
Musician
songwriter
drummer
DJ
",-1.0212393136067133,57.52342621682855,56.50218690322183
1025,Lindsay Lohan,1986-07-02,,,,"
Actress
businesswoman
producer
singer
fashion designer
","New York City, U.S.",,,,,32.75631943161051,
1026,Alison Lohman,1979-09-18,Mark Neveldine  ( m.  2009),2,,Actress,"Palm Springs, California, U.S.",1973-05-11,"Watertown, New York, United States","Film director, film producer, screenwriter, camera operator",6.3546821632203265,39.54359090193502,45.898273065155344
1027,Kristanna Loken,1979-10-08,Noah Danby ( m.  2008;  div.  2009),1,,"Actress, model","Ghent, New York, U.S.",1974-04-24,"Guelph, Ontario, Canada","Actor, model",5.456648664928096,39.488832761795244,44.94548142672334
1028,Carole Lombard,1908-10-06,William Powell ( m.  1931;  div.  1933) Clark Gable  ( m.  1939),,,Actress,"Fort Wayne, Indiana, U.S.",1892-07-29,"Pittsburgh, Pennsylvania, U.S.",Actor,16.18650622531606,110.4937130810352,126.68021930635126
1029,Karina Lombard,1969-01-21,None,None,,"Actress, Model","Tahiti, French Polynesia",,,,,50.19952497313429,
1030,Lauren London,1984-12-05,"
 Lil Wayne  (2009) 
 Nipsey Hussle (2013–2019; his death) 
",2,,Actressmodeltelevision personality,"Los Angeles County, California, U.S.",,,,,34.32787805362191,
1031,Nia Long,1970-10-30,Massai  Dorsey (1999-2001; ex-fiancé)   Ime Udoka  (2010-present; fiancé),2,,Actress,"Brooklyn, New York, U.S.",,,,,48.428099139612726,
1032,Shelley Long,1949-08-23,,1,,"Actress, comedian","Fort Wayne, Indiana, U.S.",,,,,69.6140235596898,
1033,Eva Longoria,1975-03-15,Tyler Christopher ( m.  2002;  div.  2004) Tony Parker ( m.   2007 ;  div.   2011 ) José Antonio Bastón ( m.   2016 ),1,,Actressproducerrestaurateuractivist,"Corpus Christi, Texas, U.S.",1972-11-11,"Joliet, Illinois,  U.S.",Actor,2.3381725839681855,44.05566164945208,46.393834233420264
1034,Jennifer Lopez,1969-07-24,"
 Ojani Noa ( m.  1997;  div.  1998) 
 Cris Judd ( m.  2001;  div.  2003) 
 Marc Anthony ( m.  2004;  div.  2014) 
",2,,Singeractressdancerproducer,"The Bronx, New York City, U.S.",,,,,49.6957500838484,
1035,Traci Lords,1968-05-07,"
 Brook Yeaton ( m.  1990;  div.  1995) 
 Ryan Granger ( m.  1999;  div.  2000) 
 Jeff Gruenewald ( m.  2002) 
",1,,"
Actress
singer
model
writer
producer
director
","Steubenville, Ohio, U.S.",,,,,50.90864288794431,
1036,Josie Loren,1987-03-19,Matt Leinart  ( m.   2018 ),,,Actress,"Miami, Florida, U.S.",,,,,32.044463609793496,
1037,Joan Lorring,1926-04-17,Martin Sonenberg ( m.  1956; died 2011),,,Actress,Hong Kong,,,,,92.96563242229477,
1038,Caity Lotz,1986-12-30,,,,"Actress, dancer","San Diego, California, U.S.",,,,,32.260758263345586,
1039,Lori Loughlin,1964-07-28,Michael R. Burns ( m.  1989;  div.  1996) Mossimo Giannulli  ( m.  1997),2; including Olivia Jade,,"
Actress
Model
Producer
","Queens, New York, U.S.",1958-08-21,"Long Branch, New Jersey, U.S.",Vice Chairman,5.9357823911510845,54.68421665058146,60.61999904173255
1040,Tina Louise,1934-02-11,Les Crane ( m.  1966;  div.  1971),Caprice Crane,,"Actress, singer, author","New York City, New York, U.S.",1933-12-03,"New York, New York, U.S.",,0.19165349048919553,85.1434321033286,85.33508559381781
1041,Billie Lourd,1992-07-17,,,,Actress,"Los Angeles, California, U.S.",,,,,26.71375866718687,
1042,Demi Lovato,1992-08-20,,,,"
Singer
songwriter
actress
author
","Albuquerque, New Mexico, U.S.",,,,,26.62066982894926,
1043,Bessie Love,1898-09-10,William Hawks ( m.  1929;  div.  1936) [3],Patricia (b. 1932)[3],,Actress,"Midland, Texas, U.S.[1]",1901-01-29,"Neenah, Wisconsin",Film producer,-2.38471700308699,120.56373505273893,118.17901804965194
1044,Courtney Love,1964-07-09,James Moreland ( m.  1989; annulled 1989) Kurt Cobain ( m.  1992;  died  1994),Frances Bean Cobain,,Singermusicianactress,"San Francisco, California, U.S.",,,,,54.73623688371424,
1045,Carey Lowell,1961-02-11,John Stember ( m.  1984;  div.  1988)   Griffin Dunne ( m.  1989;  div.  1995) Richard Gere ( m.  2002;  div.  2016),2; including Hannah Dunne,Bear Creek High School,"Actress, model","Huntington, New York, U.S.",,,,,58.142193200407945,
1046,Myrna Loy,1905-08-02,"Arthur Hornblow Jr. ( m.  1936;  div.  1942) John Hertz, Jr. ( m.  1942;  div.  1944) Gene Markey ( m.  1946;  div.  1950) Howland H. Sargeant ( m.  1951;  div.  1960)",,Westlake School for GirlsVenice High School,Actress,"Helena, Montana, U.S.",1893-03-15,"New York City, New York, United States",Film producer,12.380815485602032,113.67242311614886,126.05323860175089
1047,Olivia Luccardi,1989-05-17,,,,"Actress, producer","Brooklyn, New York, U.S.",,,,,29.881517074272573,
1048,Shannon Lucio,1980-06-25,,,,Actress,"Denver, Colorado, U.S.",,,,,38.774239032971245,
1049,Lorna Luft,1952-11-21,Jake Hooker ( m.  1977;  div.  1993) Colin Freeman  ( m.  1996),2,,"Actress, singer, author","Santa Monica, California, U.S.",,,,,66.36686584940142,
1050,Jamie Luner,1971-05-12,,,,Actress,"Palo Alto, California, United States, North America",,,,,47.89694518025695,
1051,Ida Lupino,1918-02-04,Louis Hayward ( m.  1938;  div.  1945) Collier Young ( m.  1948;  div.  1951) Howard Duff ( m.  1951;  div.  1984),2,,"Actress, singer, director, producer","Herne Hill, London, England, UK",1909-03-19,"Johannesburg, South Africa","Stage, film and television actor",8.881770330670719,101.16292600121837,110.04469633188909
1052,Patti LuPone,1949-04-21,Juilliard School   ( BFA ),1,Juilliard School (BFA),"Actress, singer","Northport, New York, U.S.",,,,,69.95352402855637,
1053,Masiela Lusha,1985-10-23,Ramzi Habibi ( m.  2013),1,,"Actress, poet, humanitarian","Tirana, Albania",,,,,33.44627199737161,
1054,Dorothy Lyman,1947-04-18,John Tillinger  (1971-1983; divorced) (2 children) Vincent Malle (1987-2001; divorced) (1 child),,,"Actress, director, producer","Minneapolis, Minnesota, U.S.",,,,,71.96314777168594,
1055,Jane Lynch,1960-07-14,Lara Embry ( m.  2010;  div.  2014),,Illinois State University (BA)Cornell University (MFA),"Actress, voice actress, author, singer, and comedian","Evergreen Park, Illinois, U.S.",,,,,58.72262948588951,
1056,Kelly Lynch,1959-01-31,Mitch Glazer  ( m.  1992),1,,Actress,"Golden Valley, Minnesota, U.S.",,"Key Biscayne, Florida, U.S.","Producer, writer, actor",,60.17372019959342,
1057,Carol Lynley,1942-02-13,Michael Selsman ( m.  1960;  div.  1964),1,,"Actress, former model","Manhattan, New York, U.S.",,,,,77.13779201489422,
1058,Meredith Scott Lynn,1970-03-08,,,,"Actress, director, producer","Brooklyn, New York, U.S.",,,,,49.07424519326201,
1059,Sue Lyon,1946-07-10,Hampton Fancher ( m.  1963;  div.  1965) Roland Harrison ( m.  1971;  div.  1972) Cotton Adamson ( m.  1973;  div.  1974) Edward Weathers ( m.  1983;  div.  1984) Richard Rudman ( m.  1985;  div.  2002),1[1],,Actress,"Davenport, Iowa, U.S.",1938-07-18,"East Los Angeles, California, US","Screenwriter, producer, actor, director",7.9782610183645115,72.7352375476567,80.7134985660212
1060,Natasha Lyonne,1979-04-04,Fred Armisen  (2014–present),,,"Actress, Writer, Producer","New York City, New York, U.S.",,,,,40.000821372102095,
1061,Jes Macallan,1982-08-09,Jason Gray-Stanford ( m.  2012;  div.  2017),,,Actress,"Sarasota, Florida,[1] U.S.",1970-05-19,"Vancouver, British Columbia, Canada","Actor, voice actor",12.224754786203686,36.652361102555155,48.87711588875884
1062,June MacCloy,1909-06-02,Wilbur Guthlein (?–1931) Shuyler Schenk (1931–1934) Neal Wendell Butler (1941–1985),,,Actress,"Sturgis, Michigan, U.S.",,,,,109.83935330636496,
1063,Andie MacDowell,1958-04-21,Paul Qualley ( m.  1986;  div.  1999) Rhett Hartzog ( m.  2001;  div.  2004),"3, including Margaret Qualley",,"Actress, model","Gaffney, South Carolina, U.S.",,,,,60.954023696585146,
1064,Ali MacGraw,1939-04-01,Robin Hoen ( m.  1961;  div.  1962) Robert Evans ( m.  1969;  div.  1972) Steve McQueen ( m.  1973;  div.  1978),Josh Evans,,"Actress, model, author, animal rights activist","Pound Ridge, New York, U.S.",,,,,80.00985646522516,
1065,Justina Machado,1972-09-06,,,,Actress,"Chicago, Illinois, U.S.",,,,,46.574536095881506,
1066,Allison Mack,1982-07-29,Nicki Clyne  ( m.  2017),,,Actress,"Preetz, West Germany",1983-02-11,"Vancouver, British Columbia, Canada",Actress,-0.539367680376736,36.68247807963203,36.14311039925529
1067,Dorothy Mackaill,1903-03-04,Lothar Mendes (m. 1926-div.1928) Neil Miller (m. 1931-div.1934) Harold Patterson (m. 1947-div.1948),,Thoresby Primary School,Actress,"Sculcoates, Hull, Yorkshire, England, UK",,,,,116.08725709631273,
1068,Shirley MacLaine,1934-04-24,Steve Parker ( m.  1954;  div.  1982),Sachi Parker,,"Actress, singer, dancer, author, activist","Richmond, Virginia, U.S.",,,,,84.94630279882544,
1069,Aline MacMahon,1899-05-03,Clarence Stein  (1928–1975; his death),,,,"McKeesport, Pennsylvania, U.S.",,,,,119.92032690609663,
1070,Amy Madigan,1950-09-11,Ed Harris  ( m.  1983),1,,"
Actress
producer
singer
","Chicago, Illinois, U.S.",1950-11-28,"Englewood, New Jersey, U.S.","Actor, producer, director, screenwriter",-0.2135567465451036,68.56266726900621,68.3491105224611
1071,Bailee Madison,1999-10-15,,,,Actress,"Fort Lauderdale, Florida, U.S.",,,,,19.469256726695278,
1072,Madonna,1958-08-16,"
 Sean Penn ( m.  1985;  div.  1989) 
 Guy Ritchie ( m.  2000;  div.  2008) 
",6,,Singersongwriteractressbusinesswomanrecord producerdancerfilm directorauthorhumanitarian,"Bay City, Michigan, U.S.",1960-08-17,"Santa Monica, California, U.S.","Actor, filmmaker",-2.0041479291155877,60.63368857676749,58.6295406476519
1073,Virginia Madsen,1961-09-11,Danny Huston ( m.  1989;  div.  1992),1,,"
Actress
producer
","Chicago, Illinois, U.S.",1962-05-14,"Rome, Italy","Actor, director",-0.6707872167121843,57.561756914926384,56.8909696982142
1074,Marjorie Main,1890-02-24,Stanley LeFevre Krebs   (1921–1935; his death),,,"Actress, Singer","Acton, Indiana, U.S.",,,,,129.10600491454306,
1075,Tina Majorino,1985-02-07,,,,Actress,"Westlake, Los Angeles, California, U.S.",,,,,34.152652005174645,
1076,Wendie Malick,1950-12-13,Mitch Glazer ( m.  1982;  div.  1989) Richard Erickson ( m.  1995),,,"Actress, fashion model","Buffalo, New York, U.S.",,"Key Biscayne, Florida, U.S.","Producer, writer, actor",,68.30804191735628,
1077,Dorothy Malone,1924-01-29,Jacques Bergerac (m. 1959–64; divorced) Robert Tomarkin (divorced) Charles Huston Bell (divorced),2,,Actress,"Chicago, Illinois, United States",,,,,95.18059919094848,
1078,Jena Malone,1984-11-21,,1,,"
Actress
musician
photographer
","Sparks, Nevada, U.S.",,,,,34.366208751719746,
1079,Camryn Manheim,1961-03-08,,Milo Manheim,"University of California, Santa Cruz (BFA)  New York University (MFA)",Actress,"Caldwell, New Jersey, U.S.",,,,,58.073745525233235,
1080,Leslie Mann,1972-03-26,Judd Apatow  ( m.  1997),Maude ApatowIris Apatow,Corona del Mar High School,Actresscomedian,"San Francisco, California, U.S.",1967-12-06,"Flushing, Queens, New York, U.S.","Filmmaker, comedian",4.303989814985934,47.023552845027616,51.327542660013556
1081,Taryn Manning,1978-11-06,1994–present,,,"Actress, singer","Falls Church, Virginia, U.S.",,,,,40.40876951614339,
1082,Dinah Manoff,1956-01-25,Jean-Marc Joubert ( m.  1980;  div.  1985) Arthur Mortell ( m.  1997),3,Santa Monica High School,"Actress, television director","New York City, New York, U.S.",,,,,63.190893721294756,
1083,Jayne Mansfield,1933-04-19,"Paul Mansfield ( m.  1950;  div.  1958) Miklós (""Mickey"") Hargitay ( m.  1958;  div.  1964) Matt Cimber ( m.  1964;  div.  1966)","5, including Jayne Marie Mansfield and Mariska Hargitay",,"
Actress
singer
Playboy Playmate
nightclub entertainer
model
","Bryn Mawr, Pennsylvania, U.S.",,,,,85.95932839141119,
1084,Gia Mantegna,1990-04-17,,,,,"Manhattan, New York, U.S.",,,,,28.96431822693142,
1085,Linda Manz,1961-08-20,Bobby Guthrie (1985–present),,,Actress,"New York City, New York, U.S.",,,,,57.62199086908013,
1086,Adele Mara,1923-04-28,Roy Huggins ( m.  1952; died 2002),3,,Actress,"Highland Park, Michigan, U.S.",1914-07-18,"Littell, Washington, U.S.","
Film producer
Television producer
Screenwriter
Novelist
",8.777729864405156,95.93626152487731,104.71399138928247
1087,Kate Mara,1983-02-27,Jamie Bell  ( m.  2017),,,"Actress, fashion model","Bedford, New York, U.S.",1986-03-14,"Billingham, England","Actor, dancer",-3.041814684764232,36.09930388714347,33.057489202379244
1088,Rooney Mara,1985-04-17,Joaquin Phoenix  (2016–present),,George Washington University New York University (BA),Actress,"Bedford, New York, U.S.",,,,,33.96373642169244,
1089,Jamie Marchi,1977-10-08,Sean T. Perez ( m.  1999;  div.  2005),,,"Voice actress, ADR director, script writer","Knoxville, Tennessee, U.S.[1]",,,,,41.48750487689686,
1090,Vanessa Marcil,1968-10-15,Corey Feldman ( m.  1989;  div.  1993) Carmine Giovinazzo ( m.  2010;  div.  2013),1,,Actress,"Indio, California, U.S.",1971-07-16,"Reseda, California, U.S.","
Actor
singer
",-2.748858635016462,50.46783985981916,47.7189812248027
1091,Janet Margolin,1943-07-25,Jerry Brandt ( m.  1968;  div.  1971) Ted Wass  ( m.  1979–1993),2,High School of Performing Arts,Actress,"New York City, U.S.",,,,,75.69491502221128,
1092,,1941-04-28,,,,"Actress, singer, dancer",,1932-12-18,"South Gate, California, U.S.","Actor, producer, screenwriter",8.358830092335914,77.93452295392787,86.29335304626379
1093,Julianna Margulies,1966-06-08,Keith Lieberthal ( m.  2007),1,Green Meadow Waldorf School,"
Actress
producer
","Spring Valley, New York, U.S.",,,,,52.822439885829276,
1094,Constance Marie,1965-09-09,,1,,Actress,"East Los Angeles, California, U.S.",,,,,53.567150591730154,
1095,Rose Marie,1923-08-15,Bobby Guy ( m.  1946; his death 1964),1,,"Actress, singer, comedian","New York City, U.S.",,,,,95.63782966111556,
1096,Jodie Markell,1959-04-13,,,,"Actress, film director","Memphis, Tennessee, U.S.",,,,,59.97659089509025,
1097,Brit Marling,1982-08-07,,,,"Actress, screenwriter","Chicago, Illinois, U.S.",,,,,36.65783691656913,
1098,Paula Marshall,1964-06-12,Danny Nucci  ( m.  2003),1,,Actress,"Rockville, Maryland, U.S.",1968-09-15,"Klagenfurt, Austria",Actor,-4.260183302874118,54.810160372902935,50.54997707002882
1099,Penny Marshall,1943-10-15,Michael Henry ( m.  1963;  div.  1966) Rob Reiner ( m.  1971;  div.  1981),Tracy Reiner,,"Actress, director, producer","The Bronx, New York, U.S.",,,,,75.47040664763821,
1100,Andrea Martin,1947-01-15,Bob Dolman ( m.  1980;  div.  2004),2,,"Actress, comedian, singer, author","Portland, Maine, U.S.",,,,,72.21777312333586,
1101,Kellie Martin,1975-10-16,Keith Christian ( m.  1999),2,,Actress,"Riverside, California, U.S.",,,,,43.467011642949544,
1102,Mary Martin,1913-12-01,"Benjamin Jackson ""Ben"" Hagman ( m.  1930;  div.  1936) Richard Halliday ( m.  1940; his death 1973)",2 including Larry Hagman,,"Actress, singer","Weatherford, Texas, U.S.",,,,,105.34097209388283,
1103,Meaghan Martin,1992-02-17,Oli Higginson ( m.  2016),,,"Actress, singer","Fallon, Nevada, U.S.",,,,,27.127182625242135,
1104,Pamela Sue Martin,1953-01-05,,,,"Actress, author, model","Hartford, Connecticut, U.S.",,,,,66.24366003408694,
1105,Margo Martindale,1951-07-18,Bill Boals ( m.  1986),1,,Actress,"Jacksonville, Texas, U.S.",,,,,67.71391609683977,
1106,Natalie Martinez,1984-07-12,,,,"Actress, model","Miami, Florida, U.S.",,,,,34.72761247664223,
1107,Marsha Mason,1942-04-03,Gary Campbell ( m.  1965;  div.  1970) Neil Simon ( m.  1973;  div.  1983),,,"Actress, director","St. Louis, Missouri, U.S.",,,,,77.00363457155177,
1108,Mary Stuart Masterson,1966-06-28,George Carl Francisco ( m.  1990;  div.  1992) Damon Santostefano ( m.  2000;  div.  2004) Jeremy Davidson    ( m.  2006),3,,"Actress, director","New York City, U.S.",,,,,52.76768174568951,
1109,Mary Elizabeth Mastrantonio,1958-11-17,Pat O'Connor  ( m.  1990),2,,"Actress, singer","Lombard, Illinois, U.S.",,"Ardmore, County Waterford, Ireland",Film director,,60.37906322511756,
1110,Samantha Mathis,1970-05-12,,,,Actress,"Brooklyn,  New York City, New York, U.S.",,,,,48.896281237807756,
1111,Marlee Matlin,1965-08-24,Kevin Grandalski  ( m.  1993),4,,"Actress, author, activist","Morton Grove, Illinois, U.S.",,,,,53.61095710384197,
1112,Marilyn Maxwell,1921-08-03,John Conte  (1944–46)  Anders (Andy) McIntyre (1949–50) Jerry Davis (1954–60),1,,,"Clarinda, Iowa, U.S.",,,,,97.66935666030103,
1113,Elaine May,1932-04-21,Marvin Irving May ( m.  1949;  div.  1960) Sheldon Harnick ( m.  1962;  div.  1963) David L. Rubinfine ( m.  1964; died 1982),Jeannie Berlin,,"Screenwriter, film director, actress, comedian","Philadelphia, Pennsylvania, U.S.",,,,,86.95318863494802,
1114,Virginia Mayo,1920-11-30,Michael O'Shea (m. 1947–1973); his death; one child,1,,"Actress, dancer","St. Louis, Missouri, U.S.",,,,,98.34288178402021,
1115,Melanie Mayron,1952-10-20,,,,"Actress, director","Philadelphia, Pennsylvania, U.S.",,,,,66.45447887362506,
1116,Jayma Mays,1979-07-16,Adam Campbell  ( m.  2007),1,,"Actress, singer","Bristol, Tennessee, U.S.",1980-08-19,"Bath, Somerset, England",Actor,-1.095162802795403,39.71881695038228,38.623654147586876
1117,Debi Mazar,1964-08-13,Gabriele Corcos  ( m.   2002 ),2,,"
Actress
television personality
","New York City, U.S.",,,,,54.64041013846965,
1118,Monet Mazur,1976-04-17,Alex de Rakoff    ( m.  2005),2,,Actress,"Los Angeles, California, U.S.",1970-11-13,"London, England, UK","Director, writer, actor",5.426531687851222,42.963236753663665,48.38976844151488
1119,May McAvoy,1899-09-08,Maurice Cleary ( m.  1929;  div.  1940),1,,Actress,"New York City, New York, U.S.",,,,,119.5698748092021,
1120,Diane McBain,1941-05-18,Rodney L. Burke (1972-74); 1 child,,,,"Cleveland, Ohio, U.S.",,,,,77.8797648137881,
1121,Irish McCalla,1928-12-25,Patrick McIntyre (1951-57); 2 sons Patrick Horgan (1964-69 [1] [2] ) Chuck Rowland (1982-89; separated),,,"Film, television actress, Artist","Pawnee City, Nebraska, U.S.",,,,,90.27426983442507,
1122,Mercedes McCambridge,1916-03-16,William Fifield ( m.  1939–1946) Fletcher Markle  ( m.  1950–1962),John Lawrence Fifield Markle (1941-1987) (suicide)[1],,Actress,"Joliet, Illinois, U.S.",,,,,103.05208183604044,
1123,Jenny McCarthy,1972-11-01,"
 John Asher ( m.  1999;  div.  2005) 
 Donnie Wahlberg  ( m.  2014) 
",1,,"Actress, model, television host, author, activist, screenwriter","Evergreen Park, Illinois, U.S.[1]",1971-01-13,"Los Angeles, California, U.S.","actor, film director, screenwriter",1.8015428105984381,46.42121330349015,48.22275611408858
1124,Melissa McCarthy,1970-08-26,Ben Falcone  ( m.   2005 ),2,,"
Actress
comedian
writer
producer
fashion designer
","Plainfield, Illinois, U.S.",1973-08-25,"Carbondale, Illinois, U.S.","Actor, comedian, filmmaker",-2.998008172652416,48.60606309506698,45.60805492241456
1125,China Anne McClain,1998-08-25,McClain,,,"
Actress
singer
","Atlanta, Georgia, U.S.",,,,,20.608226041602496,
1126,Rue McClanahan,1934-02-21,"
 Tom Bish ( m.  1958;  div.  1959) 
 Norman Hartweg ( m.  1959;  div.  1961) 
 Peter DeMaio ( m.  1964;  div.  1971) 
 Gus Fisher ( m.  1976;  div.  1979) 
 Tom Keel ( m.  1984;  div.  1985) 
 Morrow Wilson ( m.  1997) 
",,Ardmore High School,"Actress, author, fashion designer","Healdton, Oklahoma, U.S.",,,,,85.11605303325872,
1127,Edie McClurg,1951-07-23,,,,"Stand-up comedian, actress, singer, voice actress","Kansas City, Missouri, U.S.",,,,,67.70022656180483,
1128,AnnaLynne McCord,1987-07-16,,,,"Actress, model, philanthropist","Atlanta, Georgia, U.S.",,,,,31.71865267596186,
1129,Mary McCormack,1969-02-08,Michael Morris  ( m.  2003),3,,Actress,"Plainfield, New Jersey, U.S.",,"London, England","Television director, television producer",,50.1502426470085,
1130,Patty McCormack,1945-08-21,Bob Catania ( m.  1967;  div.  1973),2,,"Actress, singer","Brooklyn, New York, U.S.",,,,,73.61958151091399,
1131,Maureen McCormick,1956-08-05,Michael Cummings ( m.  1985),1,,"Actress, singer, author","Los Angeles, California, U.S.",,,,,62.662477668945975,
1132,Sierra McCormick,1997-10-28,,,,Actress,"Asheville, North Carolina, U.S.",,,,,21.432336050706038,
1133,Kimberly McCullough,1978-03-05,,1,,"Actress, dancer, director","Bellflower, California, U.S.",,,,,41.08229463986256,
1134,Jennette McCurdy,1992-06-26,,,,Actresssingerwriterproducer,"Long Beach, California, U.S.",,,,,26.771254714333626,
1135,Hattie McDaniel,1893-06-10,Howard Hickman (1911) (his death) George Langford (1922) (his death) James Lloyd Crawford (1941–1945) (divorced) Larry Williams (1949–1950) (divorced) ,,,"Actress, singer-songwriter and comedian","Wichita, Kansas, U.S.",,,,,125.81504069214289,
1136,Mary McDonnell,1952-04-28,Randle Mell ( m.  1984),2,,Actress,"Wilkes-Barre, Pennsylvania, U.S.",,,,,66.93361259984805,
1137,Frances McDormand,1957-06-23,Joel Coen  ( m.  1984),1,"
Bethany College, West Virginia (BA)
Yale University (MFA)
",Actress,"Gibson City, Illinois, U.S.",1954-11-29,"St. Louis Park, Minnesota, U.S. (both)","Film directors, producers, screenwriters, film editors",2.5654188655482315,61.78087161269568,64.3462904782439
1138,Reba McEntire,1955-03-28,Charlie Battles ( m.  1976;  div.  1987) Narvel Blackstock ( m.  1989;  div.  2015),Shelby Blackstock,Kiowa High School,Singersongwriteractressrecord producer,"McAlester, Oklahoma, U.S.",,,,,64.02047954441227,
1139,Gates McFadden,1949-03-02,John Cleveland Talbot,1,,Actress and choreographer,"Cuyahoga Falls, Ohio, United States",,,,,70.09041937890579,
1140,Vonetta McGee,1945-01-14,Carl Lumbly  ( m.  1987),1,San Francisco State University,Actress,"San Francisco, California, U.S.",1951-08-14,"Minneapolis, Minnesota, U.S.",Actor,-6.579190537793384,74.21918314544446,67.63999260765108
1141,Kelly McGillis,,Boyd Black ( m.  1979;  div.  1981) Fred Tillman ( m.  1989;  div.  2002),2,Allan Hancock CollegeJuilliard School (BFA),Actress,"Newport Beach, California, U.S.",,,,,,
1142,Elizabeth McGovern,1961-07-18,Simon Curtis  ( m.  1992),2,Juilliard School,Actor,"Evanston, Illinois, U.S.",1960-03-11,"London, England","Film director, producer",1.3525260614523227,57.71234180031075,59.06486786176308
1143,Rose McGowan,1973-09-05,Davey Detail ( m.  2013;  div.  2016),,,Actressactivistwritermodel,"Certaldo, Tuscany, Italy",,,,,45.57793794533769,
1144,Dorothy McGuire,1916-06-14,John Swope   (m.1943–1979; his death),"2, including Topo Swope",,,"Omaha, Nebraska, U.S.",,,,,102.80567020541147,
1145,Kathryn McGuire,1903-12-06,George Landy (1927 - 1955),,,Actress/Dancer,"Peoria, Illinois, U.S.",,,,,115.32885685537691,
1146,Maeve McGuire,,,,,,"Cleveland, Ohio[1]",,,,,,
1147,Lonette McKee,1954-07-22,Leo Compton ( m.  1983;  div.  1990) [2],,,Actressmusic composerproducersongwriterscreenwriterdirector,"Detroit, Michigan, U.S.",,,,,64.7022183891524,
1148,Danica McKellar,1975-01-03,"
 Mike Verta ( m.  2009–2012) 
 Scott Sveslosky ( m.  2014) 
",1,Bachelor of Science in Mathematics with honors (summa cum laude),"Actress, mathematics writer, education advocate","La Jolla, California, U.S.",,,,,44.25005304694826,
1149,Nancy McKeon,1966-04-04,Marc Andrus (2003–present),2,,Actress,"Westbury, New York, U.S.",,,,,53.00040384128353,
1150,Nina Mae McKinney,1912-06-12,"James ""Jimmy"" Monroe ( m.  1935–1938)",,,Actress,"Lancaster, South Carolina, U.S.",,,,,106.81122815663566,
1151,Wendi McLendon-Covey,1969-10-10,Greg Covey ( m.   1996 ),,,"Actress, comedian","Bellflower, California, U.S.",,,,,49.4821933373033,
1152,Katherine McNamara,1995-11-22,,,,Actress,"Kansas City, Missouri, U.S.",,,,,23.365298397639926,
1153,Maggie McNamara,1928-06-18,David Swift  (m.1951; div. 195?),,Textile High School,"Actress, model","New York City, New York, U.S.",,,,,90.7944721657529,
1154,Kristy McNichol,1962-09-11,Martie Allen,,,"Actress, singer, comedian, producer","Los Angeles, California, U.S.",,,,,56.56242085737558,
1155,Butterfly McQueen,1911-01-07,,,,Actress,"Tampa, Florida, U.S.",,,,,108.24041561428366,
1156,Eve McVeagh,1919-07-15,Gene Rizzi (m. 1939–1947; divorced) William C. Appleby (m. 1947–1956; his death) Robert Cole (m. 1956; divorced) Clarke Gordon (m. 1957–her death),"4 childrenNotable descendants: Paul Robert Appleby, Ph.D.(grandson)[1]",,Actress,"Cincinnati, Ohio, U.S.",,,,,99.72278691554241,
1157,Emily Meade,1989-01-10,,,,Actress,"New York City, New York, U.S.",,,,,30.229231264160113,
1158,Anne Meara,1929-09-20,Jerry Stiller  ( m.  1954),2; including Ben Stiller,,"Actress, comedian","Brooklyn, New York City, U.S.",1927-06-08,"Brooklyn, New York City, U.S.","Comedian, actor",2.286152350835404,89.53777284954516,91.82392520038057
1159,Kay Medford,1919-09-14,,,,Actress,"New York City, U.S.",,,,,99.55577458811611,
1160,Leighton Meester,1986-04-09,Adam Brody  ( m.  2014),1,,"
Actress
singer
songwriter
model
","Fort Worth, Texas, U.S.",1979-12-15,"San Diego, California, U.S.","
Actor
writer
musician
producer
",6.316351465122487,32.98630362019754,39.302655085320026
1161,Tamara Mello,,Paolo Cascardo ( m.  2003),1,,Actress,,,,,,,
1162,Eva Mendes,1974-03-05,Ryan Gosling  (2011–present),2,,"Actress, model, businesswoman","Miami, Florida, U.S.",,,,,45.08237677707277,
1163,Erica Mendez,,,,,Voice actress,"Chicago, Illinois, U.S.[1]",,,,,,
1164,Bridgit Mendler,1992-12-18,,,,"
Actress
singer
songwriter
","Washington, D.C., U.S.",,,,,26.29212098811064,
