,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
444,444,Bo Derek,1956-11-20,John Derek ( m.  1976; died 1998),,,Actress,"Long Beach, California , U.S.",1926-08-12,"Hollywood ,  California , U.S.","Actor, director, photographer",Pati Behrs ( m.  1948;  div.  1955) Ursula Andress ( m.  1957;  div.  1966) Linda Evans ( m.  1968;  div.  1974) Bo Derek ( m.  1976; died 1998),2,30.27577568327892,62.37773534021917,92.65351102349808
445,445,Laura Dern,1967-02-10,Ben Harper ( m.  2005;  div.  2013),2,,"Actress, activist, director, producer","Los Angeles ,  California , U.S.",,,,,,,52.15439057612408,
446,446,Portia de Rossi,1973-01-31,Mel Metcalfe ( m.  1996;  div.  1999) Ellen DeGeneres  ( m.  2008),,,"Actress, model, philanthropist","Horsham, Victoria , Australia",,,,,,,46.180277486875156,
447,447,Donna D'Errico,1968-03-30,American,2,,"Model, actress [3]","Dothan, Alabama , U.S. [2]",,,,,,,51.02089707523084,
448,448,Melissa De Sousa,1967-09-25,,,High School of Performing Arts,Actress,"New York City ,  New York , U.S.",,,,,,,51.53288568553769,
449,449,Emily Deschanel,1976-10-11,David Hornsby  ( m.   2010 ),2,,"
 Actress 
 Producer 
","Los Angeles , California, U.S.",1975-12-01,"Newport News, Virginia , U.S.","Actor, screenwriter, producer",Emily Deschanel  ( m.   2010 ),2,0.8624407072013799,42.48684093444766,43.34928164164904
450,450,Mary Jo Deschanel,1945-11-25,Caleb Deschanel  ( m.  1972),Emily Deschanel Zooey Deschanel,,Actress,"Los Angeles ,  California , U.S.",1944-09-21,"Philadelphia ,  Pennsylvania , United States","Cinematographer, film director",Mary Jo Weir  ( m.  1972),Emily Deschanel (b. 1976)Zooey Deschanel (b. 1980),1.1773000130050584,73.36495615926405,74.5422561722691
451,451,Zooey Deschanel,1980-01-17,Ben Gibbard ( m.  2009;  div.  2012) Jacob Pechenik ( m.  2015),2,,"
 Actress 
 model 
 singer 
 songwriter 
","Los Angeles ,  California , U.S.",,,,,,,39.220517875110374,
452,452,Anna Maria Perez de Tagle,1990-12-23,,,,"Actress, singer","San Francisco, California , U.S. [1]",,,,,,,28.28805519620526,
453,453,Amanda Detmer,1971-09-27,Bernardo Targett ( m.  2004;  div.  2007)     John Crickellas ( m.  2007),,"California State University, Chico (BA)New York University (MFA)",Actress,"Chico, California , U.S.",,,,,,,47.5273277343135,
454,454,Zoey Deutch,1994-11-10,,,,"
 Actress 
 producer 
 model 
","Los Angeles ,  California , U.S.",,,,,,,24.405703060295558,
455,455,Kaitlyn Dever,1996-12-21,,,,Actress,"Phoenix, Arizona , U.S.",,,,,,,22.29203885090043,
456,456,Loretta Devine,1949-08-21,Glenn Marshall,,"University of Houston (1971, BA)Brandeis University (1976, MFA)","Actress, singer","Houston, Texas , U.S.",,,,,,,69.62771309472474,
457,457,Torrey DeVitto,1984-06-08,Paul Wesley ( m.  2011;  div.  2013) [1],,,"
 Actress 
 model 
 violinist 
 activist 
","Huntington, New York , U.S.",1982-07-23,"New Brunswick, New Jersey , U.S.","
 Actor 
 director 
 producer 
",Paul Wasilewski,,1.8782042067941163,34.828915035900806,36.70711924269492
458,458,Jenna Dewan,1980-12-03,Channing Tatum ( m.  2009;  div.  2018),1,,"
 Actress 
 dancer 
","Hartford, Connecticut , U.S.",1980-04-26,"Cullman, Alabama , U.S.","Actor, singer",Jenna Dewan ( m.  2009;  div.  2018),1,0.6050774485444602,38.34164972586706,38.94672717441152
459,459,Joyce DeWitt,1949-04-23,Ray Buktenica  (1979–1986),,"Ball State University, UCLA",Actress,"Wheeling ,  West Virginia , United States",,,,,,,69.95626193556336,
460,460,Rosemarie DeWitt,1971-10-26,Chris Messina ( m.  1995;  div.  2006) Ron Livingston  ( m.   2009 ),2,,Actress,"Flushing ,  Queens , New York, United States",1974-08-11,"Northport, New York , U.S.","
 Actor 
 film director 
",Rosemarie DeWitt ( m.  1995;  div.  2006),2,-2.792665147128278,47.44792843111084,44.655263283982556
461,461,Noureen DeWulf,1984-02-28,James DeWulf ( m.  2000–2010) Ryan Miller  ( m.  2011),1,Boston University[1],Actress,"New York City, New York , U.S.",,,,,,,35.10544364360665,
462,462,Susan Dey,1952-12-10,Lenny Hirshan (1976–1981) Bernard Sofronski (1988–present),Sara Dey-Hirshan (b. 1978),,Model Actress,"Pekin, Illinois , United States",,,,,,,66.3230593372896,
463,463,Alyssa Diaz,1985-09-07,American,,Bishop Alemany High School,Actress,"Northridge ,  Los Angeles ,  California , U.S.",,,,,,,33.58042944071405,
464,464,Cameron Diaz,1972-08-30,Benji Madden  ( m.  2015),,,"retired actress, writer, former model","San Diego, California ,  U.S.",,,,,,,46.60191516595139,
465,465,Melonie Diaz,1984-04-25,,,,Actress,"New York City ,  New York , U.S.",,,,,,,34.9493829442083,
466,466,Angie Dickinson,1931-09-30,Gene Dickinson ( m.  1952–1960) Burt Bacharach  ( m.  1965–1981),1 (deceased),,Actress,"Kulm, North Dakota , U.S.",,,,,,,87.51993538539463,
467,467,Marlene Dietrich,1901-12-27,Rudolf Sieber ( m.  1923; died 1976),Maria Riva,,Actress,"Berlin ,  German Empire",,,,,,,117.27824664435272,
468,468,Victoria Dillard,1969-09-20,,,,Actress,"New York City ,  New York , U.S.",,,,,,,49.54516519846403,
469,469,Phyllis Diller,1917-07-17,Sherwood Anderson Diller ( m.  1939;  div.  1965) Warde Donovan Tatum ( m.  1965;  div.  1975),6,,"Actress, comedian","Lima, Ohio , U.S.",,,,,,,101.72419693765102,
470,470,Melinda Dillon,1939-10-13,Richard Libertini ( m.  1963;  div.  1978),1,,Actress,"Hope, Arkansas , U.S.",1933-05-21,"Cambridge, Massachusetts , U.S.",Actor,Melinda Dillon ( m.  1963;  div.  1978),1,6.395750768325154,79.48417831988337,85.87992908820851
471,471,Mia Dillon,1955-07-09,Actress,,,Actress,"Colorado Springs ,  Colorado , U.S.",1936-05-30,"Cleveland ,  Ohio , U.S.",Actor,Margot Bennett ( m.  1960;  div.  1968) Susan Lessons ( m.  1969;  div.  1970) Susie Fuller ( m.  1972; died 1998) Mia Dillon  ( m.  1999),,19.107853001772796,63.74668884371342,82.85454184548622
472,472,Donna Dixon,1957-07-20,Dan Aykroyd  ( m.  1983),3,,"Actress, model","Alexandria, Virginia , U.S.",1952-07-01,"Ottawa ,  Ontario , Canada",,Donna Dixon  ( m.  1983),3,5.051438427893797,61.71516184452795,66.76660027242174
473,473,Maria Dizzia,1974-12-29,Will Eno,1,"Cornell University (BA)University of California, San Diego (MFA)",Actress,"Cranford, New Jersey ,  U.S.",,,,,,,44.27195630300417,
474,474,Ellen Drew,1915-11-23,Fred Wallace (1935–1940) (divorced) 1 child Sy Bartlett  (1941–1949) (divorced) 1 child William T. Walker (1951–1967) (divorced) James Edward Herbert (1971–?),1 [2],,Actress,"Kansas City, Missouri , U.S.",,,,,,,103.3724169558581,
475,475,Megan Dodds,1970-02-15,Oliver Pearce,1,Juilliard School (BFA),Actress,"Sacramento, California , U.S.",,,,,,,49.13995496142974,
476,476,Shannen Doherty,1971-04-12,Ashley Hamilton ( m.  1993;  div.  1994) Rick Salomon ( m.  2002;  div.  2003) Kurt Iswarienko  ( m.  2011),,,Actress  •  director  •  producer,"Memphis, Tennessee , U.S.",1974-09-30,"Los Angeles ,  California , U.S.","
 Actor 
 musician 
 comedian 
",Shannen Doherty ( m.  1993;  div.  1994) Angie Everhart ( m.  1996;  div.  1997),,-3.468928177854439,47.987296111487574,44.51836793363314
477,477,Ami Dolenz,1969-01-08,Jerry Trimble  ( m.  2002),,,"Actress, producer","Burbank, California , U.S.",,"Newport, Kentucky , U.S.",,Ami Dolenz  ( m.  2002),,,50.2433314852461,
478,478,Dagmara Domińczyk,1976-07-17,Patrick Wilson  ( m.  2005),2,Carnegie Mellon University (BFA),"
 Actress 
 author 
","Kielce , Poland",1973-07-03,"Norfolk, Virginia , U.S.","
 Actor 
 singer 
 producer 
",Dagmara Domińczyk  ( m.  2005),2,3.0390767777572436,42.72230093704867,45.76137771480592
479,479,Elinor Donahue,1937-04-19,Richard Smith  (1955–61; divorced) Harry Ackerman  (1962–91; his death) Lou Genevrino  (1992–present),"Chris, Brian (b.1957), Peter, and James Ackerman [1]",,Actress,"Tacoma, Washington , US",,,,,,,81.96745997522194,
480,480,Jocelin Donahue,1981-11-08,,,,Actress,"Bristol ,  Connecticut , U.S.",,,,,,,37.41076134349097,
481,481,Elisa Donovan,1971-02-03,Charlie Bigelow ( m.  2012),1,,"Actress, writer, producer","Poughkeepsie, New York , U.S.",,,,,,,48.17347378796279,
482,482,Kaitlin Doubleday,1984-07-19,Devin Lucien ( m.  2016),,,Actress,"Los Angeles ,  California , U.S.",,,,,,,34.716660848614275,
483,483,Portia Doubleday,1988-06-22,,,,Actress,"Los Angeles ,  California , U.S.",,,,,,,30.79050220059276,
484,484,Donna Douglas,1932-09-26,"
 Roland John Bourgeois, Jr.  (1949–1954) 
 Robert M. Leeds  (1971–1980) 
",1,,"Actress, singer, writer","Pride, Louisiana , U.S.",,,,,,,86.52881304886479,
485,485,Illeana Douglas,1965-07-25,Jonathan Axelrod ( m.  1998;  div.  2001),,Neighborhood PlayhouseAADA,"Actress, director, screenwriter, producer","Quincy, Massachusetts , U.S.",,,,,,,53.701308035072586,
486,486,Fiona Dourif,1981-10-30,,,,"Actress, producer","Woodstock, New York , United States",,,,,,,37.435402506553864,
487,487,Billie Dove,1903-05-14,Irvin Willat (m.1923–1929; divorced) Robert Kenaston (m.1933–1970; his death); 2 children John Miller (m.1973–1997; her death),,,Actress,"New York City, New York , U.S.",,,,,,,115.9010794198375,
488,488,Ann Dowd,1956-01-30,Lawrence Arancio ( m.  1984),3,College of the Holy Cross (BA)DePaul University (MFA),Actress,"Holyoke, Massachusetts , U.S.",,,,,,,63.18541790728078,
489,489,Doris Dowling,1923-05-15,Artie Shaw ( m.  1952;  div.  1956) Robert F. Blumofe ( m.  1956;  div.  1959) Leonard B. Kaufman ( m.  1960–2004),1,,Actress,"Detroit ,  Michigan , U.S.",,,,,,,95.89793082677947,
490,490,Rachel Dratch,1966-02-22,John Wahl,1,,"Actress, comedian, writer","Lexington, Massachusetts , U.S.",,,,,,,53.120871749591025,
491,491,Fran Drescher,1957-09-30,Peter Marc Jacobson ( m.  1978;  div.  1999) Shiva Ayyadurai ( m.  2014; sep. 2016),,Hillcrest High School,"
 Actress 
 activist 
 writer 
 comedian 
","New York City , U.S.",1957-10-27,"Flushing, Queens ,  New York ,  U.S.","Writer, director, producer, actor",Fran Drescher ( m.  1978;  div.  1999),,-0.07392348918868971,61.51803254002478,61.44410905083609
492,492,Louise Dresser,1878-10-05,Jack Norworth  (m.1898-div.1908) Jack Gardner (m.1910-1950; his death),,,Actress,"Evansville ,  Indiana , U.S.",,,,,,,140.50391178463624,
493,493,Marie Dressler,1868-11-09,George Hoeppert ( m.  1899–1906) James Henry Dalton ( m.  1904–1921) [2],,,Actress,"Cobourg, Ontario , Canada",,,,,,,150.40692142891368,
494,494,Julia Louis-Dreyfus,1961-01-13,Actress voice artist comedian singer producer,2,,Actress voice artist comedian singer producer,"Manhattan ,  New York City ,  New York , U.S.",1958-03-21,"Santa Barbara, California , U.S.","Actor, comedian, director, writer",Julia Louis-Dreyfus  ( m.  1987),2,2.8173063101911744,58.22980622463158,61.04711253482275
495,495,Joanne Dru,1922-01-31,Dick Haymes ( m.  1941;  div.  1949) John Ireland ( m.  1949;  div.  1957) George Pierose ( m.  1963; died 1972) C. V. Wood ( m.  1972; died 1992),3 [2],,Actress,"Logan, West Virginia , U.S.",1916-09-13,"Buenos Aires , Argentina","Actor, singer",Edith Harper ( m.  1939; annulled 1939) Joanne Dru ( m.  1941;  div.  1949) Nora Eddington ( m.  1949;  div.  1953) Rita Hayworth ( m.  1953;  div.  1955) Fran Jeffries ( m.  1958;  div.  1965) Wendy Smith ( m.  1966),6,5.382725175739406,97.18200921305709,102.56473438879648
496,496,Alice Drummond,1928-05-21,Paul Drummond ( m.  1951;  div.  1976),,,Actress,"Pawtucket ,  Rhode Island , US",,,,,,,90.87934728296953,
497,497,Anne Dudek,1975-03-22,Matthew Heller  (divorced. 2016),2,,Actress,"Boston ,  Massachusetts , U.S.",,,,,,,44.04471002142412,
498,498,Haylie Duff,1985-02-19,Matt Rosenberg (2012–present; engaged),2,,"Actress, singer, songwriter, television host, writer, fashion designer","Houston ,  Texas , U.S.",,,,,,,34.12801084211175,
499,499,Hilary Duff,1987-09-28,Mike Comrie ( m.  2010;  div.  2016),2,,"
 Actress 
 singer-songwriter 
 designer 
 author 
 producer 
 comedian 
","Houston ,  Texas , U.S.",,,,,,,31.524261278465676,
500,500,Olympia Dukakis,1931-06-20,"Louis Zorich  (1962-2018, his death)",3,,Actress,"Lowell, Massachusetts , U.S.",,,,,,,87.79920190010746,
501,501,Patty Duke,1946-12-14,Patty Duke  Astin Anna Duke-Pearce,"3, including  Sean  and  Mackenzie Astin",,"Actress, author, mental health advocate","Elmhurst, Queens , U.S. [1]",,,,,,,72.31359986858047,
502,502,Faye Dunaway,1941-01-14,Peter Wolf ( m.  1974;  div.  1979) Terry O'Neill ( m.  1983;  div.  1987),Liam Dunaway O'Neill,,Actress,"Bascom, Florida , U.S.",,,,,,,78.22747900367564,
503,503,Jennifer Dundas,1971-01-14,,,,Actress,"Boston , Massachusetts, United States",,,,,,,48.22823192810256,
504,504,Dominique Dunne,1959-11-23,John Thomas Sweeney (ex-lover),,Harvard-Westlake School,Actress,"Santa Monica, California , U.S.",,,,,,,59.37151344654579,
505,505,Irene Dunne,1898-12-20,Francis Dennis Griffin ( m.  1927; died 1965),Mary Frances (b.1936) adopted [1],,Actress and singer,"Louisville, Kentucky , U.S.",,,,,,,120.29542016605406,
506,506,Mildred Dunnock,1901-01-25,Keith Merwin Urmy ( m.  1933),1,Western High School  Goucher College  Johns Hopkins University,Actress,"Baltimore ,  Maryland , U.S.",,,,,,,118.19818339870086,
507,507,Kirsten Dunst,1982-04-30,"Jesse Plemons  (2016–present, engaged)",1,,Actress,"Point Pleasant, New Jersey , U.S.",,,,,,,36.937103431281955,
508,508,Tiffany Dupont,1981-03-22,,,,Actress,"Colorado Springs, Colorado , U.S.",,,,,,,38.043217862105315,
509,509,Eliza Dushku,1980-12-30,Peter Palandjian  ( m.  2018),,,"Actress, activist, model, producer","Watertown, Massachusetts , U.S.",,,,,,,38.26772623667837,
510,510,Clea DuVall,1977-09-25,,,,"
 Actress 
 filmmaker 
","Los Angeles , California, U.S.",,,,,,,41.53131138900867,
511,511,Shelley Duvall,1949-07-07,Bernard Sampson ( m.  1970;  div.  1974),,South Texas Junior College,"Actress, producer, writer, singer","Houston ,  Texas , U.S.",,,,,,,69.75091891003922,
512,512,Ann Dvorak,1911-08-02,Leslie Fenton ( m.  1932;  div.  1945) Igor Dega ( m.  1947;  div.  1951) Nicholas Wade ( m.  1951; died 1975),,Catherine's ConventPage School for Girls,Actress,"New York City , U.S.",1902-03-12,"Liverpool ,  Lancashire , England",Actor Film director,Ann Dvorak  (1932-1945; divorced) Marcella Zabala Howard (1952-1978; his death),,9.391021033970581,107.681882584858,117.07290361882859
513,513,Alexis Dziena,1984-07-08,,,,Actress,"New York ,  New York , U.S.",,,,,,,34.74677782569115,
514,514,Jeanne Eagels,1890-06-26,"Morris Dubinsky (m.?; div.?) Edward Harris ""Ted"" Coy ( m.  1925;  div.  1928)",,St. Joseph's Catholic SchoolMorris Public School,Actress,"Kansas City, Missouri , U.S.",,,,,,,128.78019398071146,
515,515,Bobbie Eakes,1961-07-25,David Steen  (m. 1992–present),,,"Actress, singer","Warner Robins ,  Georgia , United States",,,,,,,57.7013901722828,
516,516,Leslie Easterbrook,1949-07-29,Victor Holchak (1979-1988; divorced) Dan Wilcox (?-present),,,Actress,"Los Angeles ,  California , U.S.",,,,,,,69.69068495588547,
517,517,Alison Eastwood,1972-05-22,Kirk Fox ( m.  1999;  div.  2000) Stacy Poitras  ( m.  2013),,,"Actress, model, fashion designer","Carmel, California , [1] [2] [3] [4] [5]  U.S.",1969-08-26,"San Diego ,  California , U.S.","Actor, screenwriter, comedian",Alison Eastwood ( m.  1999;  div.  2000),,2.7379070069885074,46.875705866650236,49.61361287363874
518,518,Mary Eaton,1901-01-29,Millard Webb  (1929-1935) (his death) Charles A. Emery (1937-1942) (divorced) Eddie Laughton  (19??-1948) (her death) [1],,,,"Norfolk, Virginia , U.S.",,,,,,,118.18723177067291,
519,519,Christine Ebersole,1953-02-21,Peter Bergman (1976–1981) Bill Moloney (m. 1988),3,,"Actress ,  singer","Chicago, Illinois , U.S.",,,,,,,66.12319212577945,
520,520,Sonya Eddy,1967-06-17,,,,Actress,"Concord, California , U.S.",,,,,,,51.80667638623654,
521,521,Lisa Edelstein,1966-05-21,Robert Russell ( m.  2014),,,"Actress, playwright","Boston ,  Massachusetts , United States",,,,,,,52.87993593297604,
522,522,Barbara Eden,1931-08-23,Michael Ansara ( m.  1958;  div.  1974) Charles Fegert ( m.  1977;  div.  1982) Jon Eicholtz  ( m.  1991),1,Abraham Lincoln High School,"Actress, singer","Tucson, Arizona , U.S.",1922-04-15,French Mandate for Syria and the Lebanon,Actor,Jean Byron ( m.  1955;  div.  1956) Barbara Eden ( m.  1958;  div.  1974) Beverly Kushida ( m.  1977; his death 2013),1,9.35542824287973,87.6239758516602,96.97940409453993
523,523,Melissa Claire Egan,1981-09-28,Matt Katrosar ( m.  2014),,University of North Carolina at Chapel Hill (B.A.),,"Pound Ridge, New York , U.S.",,,,,,,37.5230155307775,
524,524,Nicole Eggert,1972-01-13,Justin Herwick ( m.  2000;  div.  2002),2 [1] [2],,"Actress, comedian","Glendale, California , U.S.",1970-06-27,"Cerritos, California , U.S.",Actor,Nicole Eggert ( m.  2000;  div.  2002),,1.5469174589485069,47.23163377755875,48.778551236507255
525,525,Jennifer Ehle,1969-12-29,Michael Ryan ( m.  2001),2,,Actress,"Winston-Salem, North Carolina , U.S.",,,,,,,49.27137449776518,
526,526,Lisa Eilbacher,1956-05-05,Bradford May ( m.  1988),,,Actress,"Dhahran , Saudi Arabia",,,,,,,62.92257883460988,
527,527,Jill Eikenberry,1947-01-21,Michael Tucker [1]  ( m.  1973),1,Columbia UniversityYale University (MFA),Actress,"New Haven ,  Connecticut , U.S",1945-02-06,"Baltimore ,  Maryland , U.S.",Actor  &  Author,Jill Eikenberry  ( m.  1973),2,1.9548656029897944,72.2095594023149,74.1644250053047
528,528,Hallie Eisenberg,,,,,Actress,"East Brunswick, New Jersey ,  U.S.",,,,,,,,
529,529,Carmen Electra,1972-04-20,"
 Dennis Rodman ( m.  1998;  div.  1999) 
 Dave Navarro ( m.  2003;  div.  2007) 
",,,"Actress, model, dancer, television personality, singer, entertainer","Sharonville, Ohio , U.S.",,,,,,,46.96331889087387,
530,530,Erika Eleniak,1969-09-29,Philip Goglia ( m.  1998;  div.  1998),1,,Actress,"Glendale, California",,,,,,,49.52052403540114,
531,531,Jenna Elfman,1971-09-30,Bodhi Elfman  ( m.  1995),2,,"Actress, producer","Los Angeles ,  California , U.S.",1969-07-19,"Los Angeles ,  California , U.S.","Actor, director, producer, screenwriter",Jenna Elfman  ( m.  1995),2,2.1985393266117716,47.51911401329254,49.71765333990431
532,532,Kimberly Elise,1967-04-17,Maurice Oldham ( m.  1989;  div.  2005),2,,Actress,"Minneapolis, Minnesota ,  U.S.",,,,,,,51.97368871366284,
533,533,Shannon Elizabeth,1973-09-07,Joseph D. Reitman  (m. 2002–2005),,,"Actress, model","Houston ,  Texas ,  United States",,,,,,,45.580675852344676,
534,534,Vera-Ellen,,Robert Hightower ( m.  1941–1946)     Victor Rothschild ( m.  1954;  div.  1966),1,,"Dancer, actress","Norwood, Ohio , US",,,,,,,,
535,535,Jane Elliot,1947-01-17,Luis Rojas,3,,Actress,"New York City ,  New York , U.S.",,,,,,,72.22051103034285,
536,536,Patricia Elliott,1938-07-21,,,,Actress,"Gunnison, Colorado , U.S.",,,,,,,80.7134985660212,
537,537,Aunjanue Ellis,1969-02-21,,,Tougaloo CollegeBrown University (BA)New York University (MFA),"Actress, producer","San Francisco, California , U.S.",,,,,,,50.122863576938606,
538,538,Molly Ephraim,1986-05-22,,,,Actress,"Philadelphia ,  Pennsylvania ,  United States",,,,,,,32.876787339917996,
539,539,Shareeka Epps,1989-07-11,,,,Actress,"Brooklyn, New York , U.S.",,,,,,,29.73914590990917,
540,540,Kathryn Erbe,1965-07-05,Terry Kinney ( m.  1993;  div.  2006),2,,Actress,"Newton, Massachusetts , U.S.",1954-01-29,"Lincoln, Illinois , U.S.",Actor,Elizabeth Perkins ( m.  1984;  div.  1988) Kathryn Erbe ( m.  1993;  div.  2006),2,11.43076175417702,53.75606617521236,65.18682792938938
541,541,Jennifer Esposito,1973-04-11,Bradley Cooper ( m.  2006;  div.  2007)     Louis Dowler ( m.  2014;  div.  2016),,Moore Catholic High School,Actress author baker health advocate businesswoman,"New York City ,  New York , U.S.",1975-01-05,"Philadelphia ,  Pennsylvania , U.S.","
 Actor 
 filmmaker 
",Jennifer Esposito ( m.  2006;  div.  2007),1,-1.7358330424307138,45.98862399638596,44.25279095395525
542,542,Estelle Evans,1906-10-01,Walter Evans,Eliza Evans Ella Evans Estella Evans,,Actress,"Nassau ,  New Providence ,  Bahamas",,,,,,,112.5170263591997,
543,543,Judi Evans,1964-07-12,Michael Luciano (1993–present),1 child,,Actress,"Montebello, California , U.S.",,,,,,,54.73623688371424,
544,544,Linda Evans,1942-11-18,John Derek ( m.  1968;  div.  1974) Stan Herman ( m.  1975;  div.  1979),,,Actress,"Hartford ,  Connecticut , U.S.",1926-08-12,"Hollywood ,  California , U.S.","Actor, director, photographer",Pati Behrs ( m.  1948;  div.  1955) Ursula Andress ( m.  1957;  div.  1966) Linda Evans ( m.  1968;  div.  1974) Bo Derek ( m.  1976; died 1998),2,16.268643435525714,76.38486758797238,92.65351102349808
545,545,Mary Beth Evans,1961-03-07,Dr. Michael Schwartz ( m.   1985 ),3 [1],,Actress,"Pasadena, California , U.S.",,,,,,,58.08469715326119,
546,546,Angie Everhart,1969-09-07,Ashley Hamilton ( m.  1996;  div.  1997) Carl Ferro ( m.  2014),1,,Actress,"Akron, Ohio , U.S.",1974-09-30,"Los Angeles ,  California , U.S.","
 Actor 
 musician 
 comedian 
",Shannen Doherty ( m.  1993;  div.  1994) Angie Everhart ( m.  1996;  div.  1997),,-5.0623900559217505,49.58075798955488,44.51836793363314
547,547,Briana Evigan,1986-10-23,,,,"
 Actress 
 dancer 
 singer 
 songwriter 
 choreographer 
","Los Angeles, California ,  United States",,,,,,,32.45514966084177,
548,548,Kayla Ewell,1985-08-27,Tanner Novlan ( m.  2015),,,Actress,"Long Beach, California , U.S.",,,,,,,33.61054641779092,
549,549,Shelley Fabares,1944-01-19,Lou Adler ( m.  1964;  div.  1980) Mike Farrell  ( m.  1984),,,"Actress, singer","Santa Monica, California , U.S.",1933-12-13,"Chicago, Illinois , U.S.",,Shelley Fabares ( m.  1964;  div.  1980) Page Hannah  ( m.  1992),"6, including Cisco Adler",10.100138948780605,75.21578129598828,85.31592024476889
550,550,Nanette Fabray,1920-10-27,David Tebet ( m.  1947;  div.  1951) Ranald MacDougall ( m.  1957; died 1973),1,,Actress,"San Diego, California , U.S.",1913-12-27,"Atlanta ,  Georgia , U.S.","Network executive, press agent, theater publicist",Nanette Fabray ( m.  1947;  div.  1951),,6.833815889443315,98.44418434327878,105.27800023272209
551,551,Morgan Fairchild,1950-02-03,Jack Calmes ( m.  1967;  div.  1973),,,Actress,"Denton, Texas , U.S.",,,,,,,69.17322053156465,
552,552,Lola Falana,1942-09-11,"Feliciano Tavares, Jr. ( m.  1970;  div.  1975)",,Germantown High School(attended),Actress singer dancer model,"Camden, New Jersey , U.S.",,,,,,,76.57104526444759,
553,553,Edie Falco,1963-07-05,,2,,Actress,"New York City ,  New York , U.S.",,,,,,,55.757476197320955,
554,554,Siobhan Fallon Hogan,1961-05-13,Peter Hogan,3,,"
 Actress 
 comedian 
 writer 
","Syracuse, New York , U.S.",,,,,,,57.90125738379296,
555,555,Dakota Fanning,1994-02-23,Campbell Hall School,,Campbell Hall School,Actress model,"Conyers, Georgia , U.S.",,,,,,,25.11755888211257,
556,556,Elle Fanning,1998-04-09,,,Campbell Hall School,"
 Actress 
 model 
","Conyers, Georgia , U.S.",,,,,,,20.994270929587877,
557,557,Anna Faris,1976-11-29,Ben Indra ( m.  2004;  div.  2008) Chris Pratt ( m.  2009;  div.  2018),1,,"Actress, producer, author, podcaster","Baltimore ,  Maryland , U.S.",,,,,,,42.352683491105225,
558,558,Frances Farmer,1913-09-19,"
 Leif Erickson ( m.  1936;  div.  1942) 
 Alfred Lobley ( m.  1954;  div.  1958) 
 Leland Mikesell ( m.  1958;  div.  1963) 
",,West Seattle High School,"Actress, television host","Seattle ,  Washington , U.S.",1911-10-27,"Alameda, California , U.S.",Actor,"
 Frances Farmer ( m.  1936;  div.  1942) 
 Margaret Hayes ( m.  1942;  div.  1942) 
 Ann Diamond  ( m.  1945) 
",2,1.8973695558430357,105.54905302641396,107.446422582257
559,559,Vera Farmiga,1973-08-06,"
 Sebastian Roché ( m.  1997;  div.  2004) 
 Renn Hawkey  ( m.  2008) 
",2,,"Actress, film director, producer","Irvington, New Jersey , U.S.",,"Paris , France","
 Actor 
 screenwriter 
","
 Vera Farmiga ( m.  1997;  div.  2004) 
 Alicia Hannah  ( m.  2014) 
",,,45.668288876568305,
560,560,Glenda Farrell,1904-06-30,Thomas Richards ( m.  1921;  div.  1929) Dr. Henry Ross ( m.  1941; her death 1971),Tommy Farrell,,Actress,"Enid, Oklahoma , U.S.",,,,,,,114.77032382595125,
561,561,Sharon Farrell,1940-12-24,Andrew Prine ( m.  1962; annulled 1962) Ron DeBlasio ( m.  1965–1969) John Boyer  ( m.  1969–1972) Steve Salkin ( m.  1973–1975) Dale Trevillion ( m.  1974–2006),Chance Boyer,,Actress,"Sioux City , Iowa, U.S.",1936-02-14,"Jennings, Florida , U.S.",,Sharon Farrell  (1962–1962; divorced) Brenda Scott  (1965–1966; 1968–1969; 1973-1978; divorced) Heather Lowe (1986–present),,4.859784937404601,78.2849750508224,83.144759988227
562,562,Terry Farrell,1963-11-19,Brian Baker ( m.  2002;  div.  2015) Adam Nimoy  ( m.  2018),1,,"Actress, model","Cedar Rapids, Iowa , U.S.",1967-07-16,"Philadelphia, Pennsylvania , U.S.",Actor,Terry Farrell ( m.  2002;  div.  2015),Max,-3.6551058543296575,55.38238293736353,51.727277083033876
563,563,Mia Farrow,1945-02-09,"Actress, activist, model",See  Farrow children,,"Actress, activist, model","Los Angeles ,  California , U.S.",1915-12-12,"Hoboken, New Jersey , U.S.","
 Singer 
 actor 
 producer 
","
 Nancy Barbato ( m.   1939 ;  div.   1951 ) 
 Ava Gardner ( m.  1951;  div.  1957) 
 Mia Farrow ( m.   1966 ;  div.  1968) 
 Barbara Marx  ( m.   1976 ) 
","
Nancy Sinatra
Frank Sinatra Jr.
Tina Sinatra
",29.164185438441585,74.15621128428373,103.3203967227253
564,564,Farrah Fawcett,1947-02-02,Lee Majors ( m.  1973;  div.  1982),1,University of Texas (withdrawn),"Actress, model, artist","Corpus Christi, Texas , U.S.",1939-04-23,"Wyandotte, Michigan , U.S.",Actor,Kathy Robinson ( m.  1961;  div.  1964) Farrah Fawcett ( m.  1973;  div.  1982) Karen Velez ( m.  1988;  div.  1994) Faith Noelle Cross  ( m.  2002),4,7.781131713861338,72.17670451823103,79.95783623209238
