,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
1777,1777,Diane Varsi,1938-02-23,James Dickson ( m.  1955; divorce 1958) Russell Parker ( m.  1966; divorce 1970) Michael Hausman ( m.  1961; divorce 1992),2,,,"San Mateo, California , U.S.",,,,,,,81.1187088030555,
1778,1778,Liz Vassey,1972-08-09,David Emmerichs ( m.  2004),,,Actress,"Raleigh, North Carolina , U.S.",,,,,,,46.659411213098146,
1779,1779,Sofia Vassilieva,1992-10-22,,,"Barbizon Modeling and Acting School 2000 Royal Academy of Dramatic Art Shakespeare course; London, UK 2013 Columbia College, Columbia University 2014 (B.A.Sc.; magna cum laude)",Actress,"Minneapolis, Minnesota , U.S.",,,,,,,26.45639540852995,
1780,1780,Alexa PenaVega,1988-08-27,Sean Covel ( m.  2010;  div.  2012)     Carlos PenaVega  ( m.  2014),1,,"
 Actress 
 singer 
","Miami ,  Florida , U.S.",1976-03-04,"Newcastle, Wyoming [1]",Film producer,Alexa Vega ( m.  2010;  div.  2012),,12.482118044860606,30.609800338131514,43.09191838299212
1781,1781,Nadine Velázquez,1978-11-20,Marc Provissiero ( m.  2005;  div.  2011),,,"Actress, model","Chicago, Illinois, United States",,,,,,,40.37865253906651,
1782,1782,Gwen Verdon,1925-01-13,James Henaghan ( m.  1942;  div.  1947) Bob Fosse ( m.  1960;  sep.  1971),2; including  Nicole Fosse,,"Actress, dancer","Culver City, California , U.S.",,,,,,,94.23054545952347,
1783,1783,Elena Verdugo,1925-04-20,Charles R. Marion (1946–1955; divorced); 1 child Charles R. Rosewall (1972–2012; his death),Richard Marion (1949–1999),,Actress,"Paso Robles ,  California ,  U.S.",,,,,,,93.96496847984558,
1784,1784,Sofía Vergara,1972-07-10,Joe Gonzalez ( m.  1991;  div.  1993) Joe Manganiello  ( m.  2015),1,,"
 Actress 
 model 
 television host 
 producer 
","Barranquilla , Colombia",,,,,,,46.741548423307805,
1785,1785,Lisa Vidal,1965-06-13,Jay Cohen ( m.  1990),3,,Actress,"Whitestone, Queens ,  New York City ,  New York , U.S.",,,,,,,53.816300129366105,
1786,1786,Nana Visitor,1957-07-26,Nick Miscusi ( m.  1989;  div.  1994) Alexander Siddig ( m.  1997;  div.  2001) Matthew Rimmer  ( m.  2003),2,,Actress,"New York City ,  New York , U.S.",,,,,,,61.69873440248602,
1787,1787,Jenna von Oÿ,1977-05-02,Brad Bratcher ( m.   2010 ) (Separated),2,USC School of Film (Degree not earned),"Actress ,  singer","Danbury, Connecticut , U.S.",,,,,,,41.931045812029,
1788,1788,Lark Voorhies,1974-03-25,Miguel Coleman ( m.  1996;  div.  2004) Jimmy Green ( m.  2015;  div.  2015),,,Actress singer spokeswoman model,"Nashville, Tennessee , U.S.",,,,,,,45.035832357953964,
1789,1789,Gloria Votsis,1979-02-09,Scott Davis (m. 2015),,,Actress,"Pittsford, New York ,  U.S.",,,,,,,40.15688207150044,
1790,1790,Lindsay Wagner,1949-06-22,Allan Rider ( m.  1971;  div.  1973) Michael Brandon ( m.  1976;  div.  1979) Henry Kingi ( m.  1981;  div.  1984) Lawrence Mortorff ( m.  1990;  div.  1993),2,,"Actress,  model , author, singer, adjunct professor","Los Angeles ,  California , U.S.",,,,,,,69.79198751514404,
1791,1791,Natasha Gregson Wagner,1970-09-29,D.V. DeVincentis ( m.  2003;  div.  2008) Barry Watson  ( m.  2015),1,Crossroads School,Actress,"Los Angeles ,  California , U.S.",,,,,,,48.52118797785033,
1792,1792,Shawna Waldron,1982-01-25,,,,Actress,"Glendale, California ,  U.S.",,,,,,,37.197204596945866,
1793,1793,Dreama Walker,1986-06-20,Christopher McMahon ( m.  2015),,,Actress,"Tampa, Florida , U.S.",,,,,,,32.79738803671533,
1794,1794,Dee Wallace,1948-12-14,Christopher Stone ( m.  1980; died 1995) Skip Belyea ( m.  1998),1,,Actress,"Kansas City, Kansas , U.S.",1942-10-04,"Manchester, New Hampshire , United States",Actor,Dee Wallace ( m.  1980; his death 1995),Gabrielle Stone,6.195883556814993,70.31218984647187,76.50807340328686
1795,1795,Marcia Wallace,1942-11-01,Dennis Hawley ( m.  1986; died 1992),1 (adopted),,"Actress, voice artist, comedian","Creston, Iowa , U.S.",,,,,,,76.43141200709118,
1796,1796,Quvenzhané Wallis,2003-08-28,,,,"Actress, Author","Houma, Louisiana , U.S.",,,,,,,15.608807846841483,
1797,1797,Kate Walsh,1967-10-13,Alex Young ( m.  2007;  div.  2010),,,"
 Actress 
 businesswoman 
","San Jose, California , U.S.",1971-08-29,"London, England",Film producer,Kate Walsh ( m.  2007;  div.  2010),,-3.8768763218957267,51.483603359411894,47.60672703751617
1798,1798,Maiara Walsh,1988-02-18,,,,Actress singer,"Seattle ,  Washington , U.S.",,,,,,,31.132740576466322,
1799,1799,Lisa Ann Walter,1963-08-03,,4,,"Actress, comedian, producer, writer","Silver Spring, Maryland , U.S.",,,,,,,55.67807689411829,
1800,1800,Melora Walters,1960-10-21,Christopher Scotellaro ( m.  1990;  div.  1994) Dylan Walsh ( m.  1996;  div.  2003) Alex Vendler ( m.  2008;  div.  2010),2,,Actress,"Dhahran ,  Saudi Arabia",,,,,,,58.45979041321861,
1801,1801,Sela Ward,1956-07-11,Howard Sherman ( m.   1992 ),2,,"Actress, author, producer, spokesperson","Meridian, Mississippi , U.S.",,,,,,,62.73913906514165,
1802,1802,Susan Ward,1976-04-15,David C. Robinson  ( m.  2005),1,,"Actress, model","Monroe, Louisiana , U.S.",,,,,,,42.97692628869861,
1803,1803,Julie Warner,1965-02-09,Jonathan Prince  ( m.  1995)  divorced,1,,Actress,"Manhattan, New York , U.S.",1958-08-16,"Beverly Hills, California","Actor, director, screenwriter, movie producer",Julie Warner   (m. 1995) - Divorced,1,6.486101699555775,54.15580059823268,60.641902297788455
1804,1804,Jennifer Warren,1941-08-12,Fritz DeBoer   Roger Gimbel,,,"Actress,  Director ,  Producer","Greenwich Village , New York City, New York, United States",,,,,,,77.65251853220805,
1805,1805,Lesley Ann Warren,1946-08-16,Jon Peters ( m.  1967;  div.  1974) Ronald Taft ( m.  2000),1,,"Actress, singer","New York City , U.S.",1945-06-02,"Van Nuys, California , U.S.",Film producer,,3,1.2046790830749434,72.64214870941909,73.84682779249403
1806,1806,Ruth Warrick,1916-06-29,Erik Rolf (1938–1945; divorced); 2 children Carl Neubert (1950–52; divorced) Robert McNamara (1953–60; divorced); 1 child Carl Neubert (1961–1963; divorced Frank Freda  (1972–73; divorced) Jarvis Cushing (1975–1976; divorced),,,"Actress, singer, activist","Saint Joseph, Missouri , U.S.",,,,,,,102.77281532132761,
1807,1807,Fredi Washington,1903-12-23,"Lawrence Brown  (1933–51; divorced) Anthony Bell, DDS (1952–70, his death)",,,"Actress, activist","Savannah, Georgia , U.S.",,,,,,,115.29052615727907,
1808,1808,Kerry Washington,1977-01-31,Nnamdi Asomugha  ( m.  2013),3,Spence School,Actress,"The Bronx ,  New York , U.S.",,,,,,,42.18019534966495,
1809,1809,Ethel Waters,1896-10-31,Merritt Purnsley ( m.  1909;  div.  1913) [2] Clyde E. Matthews ( m.  1929;  div.  1933) [1] Edward Mallory ( m.  1938;  div.  1945) [3],,,Actress singer,"Chester, Pennsylvania , U.S.",,,,,,,122.43098763150509,
1810,1810,Katherine Waterston,1980-03-03,,,,Actress,"Westminster ,  London , England",,,,,,,39.0945741527889,
1811,1811,Carol Wayne,1942-09-06,Loreto (Larry) Cera  (m. 19??–19??) Barry Feinstein ( m.  1969;  div.  1974) Burt Sugarman ( m.  1975;  div.  1980) [1],1,,Actress,"Chicago ,  Illinois , U.S.",1931-02-04,,Photographer,Mary Travers ( m.  1963;  div.  1967) Carol Wayne ( m.  1969;  div.  1974),2,11.586822453575364,76.58473479948253,88.1715572530579
1812,1812,Sigourney Weaver,1949-10-08,Jim Simpson  ( m.  1984),1,Sarah Lawrence CollegeStanford University (BA)Yale University (MFA),Actress,"Manhattan ,  New York , U.S.",,,,,,,69.49629355838928,
1813,1813,Chloe Webb,1956-06-25,J. Thomas Gelder (1975?-present),,The Boston ConservatoryBerklee College of Music,Actress,"Greenwich Village ,  Manhattan ,  New York , US",,,,,,,62.78294557725347,
