,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl.1,num_of_m,name_sp_sp_cl.1,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,geo_distance,zodiac,zodiac_sp,sex,divorce,year_m_1,year_div_1,year_m_sp_1,year_div_sp_1,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1
23770,Judy Holliday,1921-06-21,David Oppenheim ( m.  1948;  div.  1958),Jonathan Oppenheim,,Actress,"Lower East Side ,  Manhattan ,  New York City , U.S.",1922-04-13,"Detroit ,  Michigan , U.S.",,Judy Holliday ( m.  1948;  div.  1957) Ellen Adler  ( m.  1957–1976) Patricia Jaffe  ( m.  1987),,-0.8104204740685983,97.87469968582519,97.06427921175656,['David Oppenheim'],[1948],[1958],"['Judy Holliday', 'Ellen Adler', 'Patricia Jaffe']","[1948, 1957, 1987]",[1957],,,['David Oppenheim'],1.0,"['Judy Holliday', 'Ellen Adler', 'Patricia Jaffe']",3.0,1.0,,dr5rs7y,dpsby4p,5003530.0,6.0,3.0,F,1.0,1948.0,1958.0,1948.0,1948.0,27.0,37.0,26.0,26.0
23771,Laurel Holloman,1971-05-23,Paul Macherey ( m.  2002;  div.  2012),2,,"Painter, actress","Chapel Hill, North Carolina ,  United States",,,,,,,47.954441227403706,,['Paul Macherey'],[2002],[2012],,,,2.0,,['Paul Macherey'],1.0,,,2.0,,dnru31c,,,5.0,,F,1.0,2002.0,2012.0,,,31.0,41.0,,
23772,Lauren Holly,1963-10-28,Danny Quinn ( m.  1991–1993) Jim Carrey  ( m.  1996–1997) Francis Greco ( m.  2001–2014),3,,Actress,"Bristol, Pennsylvania , U.S.",,,,,,,55.52201619471993,,"['Danny Quinn', 'Jim Carrey', 'Francis Greco']","[1991, 1996, 2001]",,,,,3.0,,"['Danny Quinn', 'Jim Carrey', 'Francis Greco']",3.0,,,1.0,,dr4u0sn,,,10.0,,F,1.0,1991.0,,,,28.0,,,
23774,Katie Holmes,1978-12-18,Tom Cruise ( m.   2006 ;  div.   2012 ),1,,Actress,"Toledo, Ohio , U.S.",1962-07-03,"Syracuse, New York , U.S.","Actor, producer",Mimi Rogers ( m.   1987 ;  div.   1990 ) Nicole Kidman ( m.   1990 ;  div.   2001 ) Katie Holmes ( m.   2006 ;  div.   2012 ),3,16.46029692601491,40.381390446073496,56.8416873720884,['Tom Cruise'],[2006],[2012],"['Mimi Rogers', 'Nicole Kidman', 'Katie Holmes']","[1987, 1990, 2006]","[1990, 2001, 2012]",1.0,3.0,['Tom Cruise'],1.0,"['Mimi Rogers', 'Nicole Kidman', 'Katie Holmes']",3.0,1.0,2.0,dpksgn9,dr9ughx,5003530.0,11.0,6.0,F,1.0,2006.0,2012.0,1987.0,1987.0,28.0,34.0,25.0,25.0
23778,Hedda Hopper,1885-05-02,DeWolf Hopper ( m.  1913; divorce 1922),William Hopper,,"Actress, gossip columnist","Hollidaysburg, Pennsylvania , U.S.",1858-03-30,"New York City , U.S.","Actor, comedian, singer","
 Helen Gardner (married 1880–1885) 
 Ida Mosher (married 1886–1892) 
 Edna Wallace Hopper  (married 1893–1898) 
 Nella Bergen (married 1899–1913) 
 Hedda Hopper  (married 1913–1922) 
 Lillian Glaser (married 1925–1935) 
","
 John A. Hopper 
 William Hopper  (1915–1970) 
",27.091589834151282,134.00959636405952,161.10118619821074,['DeWolf Hopper'],[1913],[1922],,,,,,['DeWolf Hopper'],1.0,,,3.0,3.0,dr0mbpw,dr5regw,625441.0,4.0,3.0,F,1.0,1913.0,1922.0,,,28.0,37.0,,
23780,Lena Horne,1917-06-30,Louis Jordan Jones ( m.  1937;  div.  1944) Lennie Hayton ( m.  1947; died 1971),2,Boys and Girls High School,Singer dancer actress activist,"Bedford–Stuyvesant, Brooklyn , New York, U.S.",,,,,,,101.85014065997248,,"['Louis Jordan Jones', 'Lennie Hayton']","[1937, 1947]",[1944],,,,2.0,,"['Louis Jordan Jones', 'Lennie Hayton']",2.0,,,4.0,,dr5rmqv,,,6.0,,F,1.0,1937.0,1944.0,,,20.0,27.0,,
23781,Julianne Hough,1988-07-20,Brooks Laich  ( m.  2017),,Las Vegas AcademyAlta High School,Dancer actress singer,"Orem, Utah , U.S.",,,,,,,30.79324010759975,,['Brooks Laich'],[2017],,,,,,,['Brooks Laich'],1.0,,,3.0,,9x0t4rf,,,6.0,,F,0.0,2017.0,,,,29.0,,,
23782,Whitney Houston,1963-08-09,Bobby Brown ( m.  1992;  div.  2007),Bobbi Kristina Brown  (d. 2015),Mount Saint Dominic Academy,Singer actress film producer model,"Newark, New Jersey , U.S.",1969-02-05,"Boston ,  Massachusetts , U.S.",Singer songwriter dancer actor rapper,Whitney Houston ( m.  1992;  div.  2007) Alicia Etheredge-Brown ( m.  2012),8; including  Bobbi Kristina Brown,-5.494979363025935,55.741048755279024,50.24606939225309,['Bobby Brown'],[1992],[2007],"['Whitney Houston', 'Alicia Etheredge Brown']","[1992, 2012]",[2007],,8.0,['Bobby Brown'],1.0,"['Whitney Houston', 'Alicia Etheredge Brown']",2.0,5.0,5.0,dr5r8pt,drt2zp2,625441.0,7.0,1.0,F,1.0,1992.0,2007.0,1992.0,1992.0,29.0,44.0,23.0,23.0
23783,Bryce Dallas Howard,1981-03-02,Seth Gabel  ( m.  2006),2,,Actress,"Los Angeles ,  California , U.S.",1981-10-03,"Hollywood, Florida ,  U.S.",Actor,Bryce Dallas Howard  ( m.  2006),2,-0.5886500065025292,38.17737530544776,37.588725298945214,['Seth Gabel'],[2006],,['Bryce Dallas Howard'],[2006],,2.0,2.0,['Seth Gabel'],1.0,['Bryce Dallas Howard'],1.0,1.0,1.0,9q5ctr1,dhx5bph,20000000.0,2.0,9.0,F,0.0,2006.0,,2006.0,2006.0,25.0,,25.0,25.0
23784,Traylor Howard,1966-06-14,Cameron Hall ( m.  1991–1993) Christian Navarro ( m.  2003–2006) Jarel Portman ( m.  2011),2,,Actress,"Orlando, Florida , U.S.",,,,,,,52.89362546801098,,"['Cameron Hall', 'Christian Navarro', 'Jarel Portman']","[1991, 2003, 2011]",,,,,2.0,,"['Cameron Hall', 'Christian Navarro', 'Jarel Portman']",3.0,,,1.0,,djn4k5j,,,5.0,,F,1.0,1991.0,,,,25.0,,,
