,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl.1,num_of_m,name_sp_sp_cl.1,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,geo_distance,zodiac,zodiac_sp,sex,divorce,year_m_1,year_div_1,year_m_sp_1,year_div_sp_1,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1
4699,Charlie Day,1976-02-09,Mary Elizabeth Ellis  ( m.   2006 ),1,,"Actor, screenwriter, producer, comedian, musician","New York City, New York, U.S.",,"Laurel, Mississippi, U.S.",Actress,Charlie Day  ( m.   2006 ),1,,43.23976536136949,,['Mary Elizabeth Ellis'],[2006],,['Charlie Day'],[2006],,1.0,1.0,['Mary Elizabeth Ellis'],1.0,['Charlie Day'],1.0,5.0,1.0,dr5regw,dj8s7c9,5003530.0,1.0,,M,0.0,2006.0,,2006.0,2006.0,30.0,,,
4710,John de Lancie,,Marnie Mosiman ( m.  1984),Keegan de LancieOwen de Lancie,Juilliard School (BFA),"Actor, comedian, director, producer, writer, singer, musician, voice artist","Philadelphia, Pennsylvania, U.S.",,,,,,,,,['Marnie Mosiman'],[1984],,,,,,,['Marnie Mosiman'],1.0,,,9.0,,dr4e394,,,,,M,0.0,1984.0,,,,,,,
4712,Kamar de los Reyes,1967-11-08,Sherri Saum  ( m.  2007),3,,Actor,"San Juan, Puerto Rico",1974-10-01,"Dayton, Ohio, United States",,Kamar de los Reyes  ( m.  2007),2,-6.8967877506040525,51.49455498743986,44.597767236835786,['Sherri Saum'],[2007],,['Kamar de los Reyes'],[2007],,3.0,2.0,['Sherri Saum'],1.0,['Kamar de los Reyes'],1.0,1.0,,de2cp9x,dph4hjv,5003530.0,10.0,9.0,M,0.0,2007.0,,2007.0,2007.0,40.0,,33.0,33.0
4713,Robert De Niro,1943-08-17,Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including Drena and Raphael",,"Actor, producer, director","Manhattan, New York City, U.S.",1945-05-01,"New York City, NY, US","Actress, singer",Robert De Niro ( m.  1976;  div.  1988),"2, including Drena De Niro",-1.7057160653538403,75.72229409228116,74.0165780269273,"['Diahnne Abbott', 'Grace Hightower']","[1976, 1997]","[1988, 2018]",['Robert De Niro'],[1976],[1988],6.0,2.0,"['Diahnne Abbott', 'Grace Hightower']",2.0,['Robert De Niro'],1.0,3.0,2.0,dr72h8r,dr5regw,625441.0,7.0,4.0,M,1.0,1976.0,1988.0,1976.0,1976.0,33.0,45.0,31.0,31.0
4765,Bryan Dechart,1987-03-17,Amelia Rose Blaire  ( m.  2018),,,"Actor, voice actor","Salt Lake City, Utah, U.S.",1987-11-20,"New York City, U.S.","Actress, voice actress",Bryan Dechart  ( m.  2018),,-0.6790009377331498,32.14029035503809,31.46128941730494,['Amelia Rose Blaire'],[2018],,['Bryan Dechart'],[2018],,,,['Amelia Rose Blaire'],1.0,['Bryan Dechart'],1.0,3.0,3.0,9x0rvu7,dr5regw,20000000.0,2.0,10.0,M,0.0,2018.0,,2018.0,2018.0,31.0,,31.0,31.0
4771,Don DeFore,1913-08-25,Marion Holmes ( m.  1942; his death 1993),5,Washington High School,,"Cedar Rapids, Iowa, U.S.",,,,,,,105.6996379117983,,['Marion Holmes'],[1942],,,,,5.0,,['Marion Holmes'],1.0,,,,,9zqyf1g,,,8.0,,M,0.0,1942.0,,,,29.0,,,
4773,Dane DeHaan,1986-02-06,Anna Wood  ( m.  2012),1,,"Actor, model","Allentown, Pennsylvania, U.S.",1985-12-30,"Mount Airy, North Carolina, U.S.",Actress,Dane DeHaan  ( m.  2012),1,0.10404046626556328,33.24640478586145,33.35044525212702,['Anna Wood'],[2012],,['Dane DeHaan'],[2012],,1.0,1.0,['Anna Wood'],1.0,['Dane DeHaan'],1.0,2.0,1.0,dr4qfx7,dnqxtsr,5003530.0,1.0,0.0,M,0.0,2012.0,,2012.0,2012.0,26.0,,27.0,27.0
4776,Tim DeKay,1963-06-12,Elisa Taylor ( m.  1991),2,,Actor,"Lansing, New York, U.S.",,,,,,,55.90258526869135,,['Elisa Taylor'],[1991],,,,,2.0,,['Elisa Taylor'],1.0,,,1.0,,dr99ewj,,,5.0,,M,0.0,1991.0,,,,28.0,,,
4777,Thomas Dekker,1987-12-28,Jesse Haddock ( m.  2017),,,"Actor, director, producer, singer, voice actor","Las Vegas, Nevada, U.S.",,,,,,,31.357248951039377,,['Jesse Haddock'],[2017],,,,,,,['Jesse Haddock'],1.0,,,6.0,,9qqjgbt,,,0.0,,M,0.0,2017.0,,,,30.0,,,
4778,Mark Deklin,1967-12-03,Jamie Deklin (m. 2006),2,"Pennsylvania State University, University Park (BA)University of Washington, Seattle (MFA)","Actor, Fight Director","Pittsburgh, Pennsylvania, U.S.",,,,,,,51.42610731226514,,['Jamie Deklin'],[2006],,,,,2.0,,['Jamie Deklin'],1.0,,,3.0,,dppn59u,,,11.0,,M,0.0,2006.0,,,,39.0,,,
4781,Matthew Del Negro,1972-08-02,Deirdre Whelan Del Negro (m. 2002–present),,,"Actor, director","Mount Kisco, New York, U.S.",,,,,,,46.76071377235672,,['Deirdre Whelan Del Negro'],[2002],,,,,,,['Deirdre Whelan Del Negro'],1.0,,,2.0,,dr7d6m1,,,7.0,,M,1.0,2002.0,,,,30.0,,,
4784,Hampton Del Ruth,1879-09-07,Helen Carlyle Alta Allen  (m. 1920 – ?),,,"Actor, director, screenwriter, producer","Delaware, U.S.",,,,,,,139.66337433349076,,['Helen Carlyle Alta Allen'],[1920],,,,,,,['Helen Carlyle Alta Allen'],1.0,,,4.0,,dqfm37d,,,8.0,,M,1.0,1920.0,,,,41.0,,,
4794,Emilio Delgado,1940-05-08,Carole Delgado (m. 1990),,,"Actor, voice artist, singer","Calexico, California, United States",,,,,,,78.9968308726394,,['Carole Delgado'],[1990],,,,,,,['Carole Delgado'],1.0,,,4.0,,9mvcgv0,,,4.0,,M,0.0,1990.0,,,,50.0,,,
4798,David DeLuise,1971-11-11,Brigitte DeLuise ( m.   1994 ;  div.   2003 ),2,,"Actor, television director","Burbank, California, U.S.",,,,,,,47.486259129208676,,['Brigitte DeLuise'],[1994],[2003],,,,2.0,,['Brigitte DeLuise'],1.0,,,3.0,,9q5f7y6,,,10.0,,M,1.0,1994.0,2003.0,,,23.0,32.0,,
4799,Dom DeLuise,1933-08-01,Carol Arthur  ( m.  1965),Peter DeLuiseMichael DeLuiseDavid DeLuise,,"Actor, voice actor, comedian, director, producer, author","Brooklyn, New York, U.S.",1935-08-04,"Hackensack, New Jersey, U.S.",Actress,Dom DeLuise ( m.  1965; died 2009),Peter DeLuiseMichael DeLuiseDavid DeLuise,-2.006885836122576,85.764936993915,83.75805115779242,['Carol Arthur'],[1965],,['Dom DeLuise'],[1965],,,,['Carol Arthur'],1.0,['Dom DeLuise'],1.0,7.0,1.0,dr5rmm5,dr72e55,625441.0,7.0,7.0,M,0.0,1965.0,,1965.0,1965.0,32.0,,30.0,30.0
4801,Peter DeLuise,1966-11-06,Gina Nemo ( m.  1988;  div.  1992) Anne Marie Loder  ( m.  2002),1,,"Actor, director, producer, screenwriter","New York, New York, U.S.",1965-03-22,"Manhattan, New York, U.S.","Actress, singer, executive producer, writer, director, marketing executive, poet",Peter DeLuise ( m.  1988;  div.  1992),,1.6263167621511736,52.49936685900463,54.12568362115582,"['Gina Nemo', 'Anne Marie Loder']","[1988, 2002]",[1992],['Peter DeLuise'],[1988],[1992],1.0,,"['Gina Nemo', 'Anne Marie Loder']",2.0,['Peter DeLuise'],1.0,4.0,9.0,dr5regw,dr72h8r,625441.0,10.0,3.0,M,1.0,1988.0,1992.0,1988.0,1988.0,22.0,26.0,23.0,23.0
4805,Cecil B. DeMille,1881-08-12,Constance Adams DeMille  ( m.  1902),Cecilia DeMilleKatherine DeMilleJohn DeMilleRichard de Mille,,"Producer, director, editor, screenwriter, actor","Ashfield, Massachusetts, U.S.",1874-04-27,"East Orange, New Jersey",Actress,Cecil B. DeMille   (1902–1959; his death),,7.2937842666173855,137.73314989356388,145.02693416018124,['Constance Adams DeMille'],[1902],,,,,,,['Constance Adams DeMille'],1.0,,,5.0,1.0,drs1ztt,dr5pzmm,625441.0,7.0,4.0,M,0.0,1902.0,,,,21.0,,,
4807,Ted Demme,1963-10-26,Amanda Scheer ( m.  1994; his death 2002),2,,"Film director, film producer, actor","New York City, United States",,"Washington, D.C., United States","Photographer, creative director, nightlife producer, music supervisor, label owner, artist manager",Ted Demme  (1994–2002; his death),2,,55.53022991574091,,['Amanda Scheer'],[1994],,,,,2.0,2.0,['Amanda Scheer'],1.0,,,5.0,11.0,dr5regw,dqcjqfz,5003530.0,10.0,,M,0.0,1994.0,,,,31.0,,,
4809,Patrick Dempsey,1966-01-13,"Rochelle ""Rocky"" Parker ( m.  1987;  div.  1994) Jillian Fink  ( m.  1999)  ",3,,ActorRace car driver,"Lewiston, Maine, U.S.",,,,,,,53.31252524008022,,"['Rochelle ""Rocky"" Parker', 'Jillian Fink']","[1987, 1999]",[1994],,,,3.0,,"['Rochelle ""Rocky"" Parker', 'Jillian Fink']",2.0,,,3.0,,dry4fhp,,,0.0,,M,1.0,1987.0,1994.0,,,21.0,28.0,,
4811,Jeffrey DeMunn,1947-04-25,Ann Sekjaer ( m.  1974–1995) Kerry Leah ( m.  2001),2,,Actor,"Buffalo, New York, U.S.",,,,,,,72.03433335386765,,"['Ann Sekjaer', 'Kerry Leah']","[1974, 2001]",,,,,2.0,,"['Ann Sekjaer', 'Kerry Leah']",2.0,,,1.0,,dpxgvp4,,,4.0,,M,1.0,1974.0,,,,27.0,,,
4813,Alexis Denisof,1966-02-25,Alyson Hannigan  ( m.   2003 ),2,,Actor,"Salisbury, Maryland, U.S.",1974-03-24,"Washington, D.C., U.S.","
Actress
television presenter
",Alexis Denisof  ( m.   2003 ),2,-8.074087763609109,53.194795238779705,45.12070747517061,['Alyson Hannigan'],[2003],,['Alexis Denisof'],[2003],,2.0,2.0,['Alyson Hannigan'],1.0,['Alexis Denisof'],1.0,1.0,3.0,dqf4pxq,dqcjqfz,625441.0,2.0,3.0,M,0.0,2003.0,,2003.0,2003.0,37.0,,29.0,29.0
4814,Anthony Denison,1949-09-20,Jennifer Evans ( m.  1986;  div.  2008),,,Actor,"New York, New York, U.S.",,,,,,,69.62771309472474,,['Jennifer Evans'],[1986],[2008],,,,,,['Jennifer Evans'],1.0,,,1.0,,dr5regw,,,8.0,,M,1.0,1986.0,2008.0,,,37.0,59.0,,
4815,David Denman,1973-07-25,Mercedes Mason  (m. 2014),1,"Orange Coast CollegeJuilliard School (BFA)
Fountain Valley High School",Actor,"Newport Beach, California, U.S.",,,,,,,45.78328097086182,,['Mercedes Mason'],[2014],,,,,1.0,,['Mercedes Mason'],1.0,,,1.0,,9mupk2n,,,7.0,,M,0.0,2014.0,,,,41.0,,,
4817,Brian Dennehy,1938-07-09,Judith Scheff ( m.  1959–1974) Jennifer Arnott ( m.  1988),5,,Actor,"Bridgeport, Connecticut, U.S.",,,,,,,80.82849066031473,,"['Judith Scheff', 'Jennifer Arnott']","[1959, 1988]",,,,,5.0,,"['Judith Scheff', 'Jennifer Arnott']",2.0,,,1.0,,dr7fq83,,,6.0,,M,1.0,1959.0,,,,21.0,,,
4819,Richard Denning,1914-03-27,Evelyn Ankers ( m.  1942; her death 1985) Patricia Leffingwell ( m.  1986; his death 1998),1,,Actor,"Poughkeepsie, New York, U.S.",1918-08-17,"Valparaíso, Chile",Actress,Richard Denning ( m.  1942; her death 1985),1,-4.3916028392095665,105.1137258123028,100.72212297309322,"['Evelyn Ankers', 'Patricia Leffingwell']","[1942, 1986]",,['Richard Denning'],[1942],,1.0,1.0,"['Evelyn Ankers', 'Patricia Leffingwell']",2.0,['Richard Denning'],1.0,1.0,1.0,dr7mjzk,66j5frv,20000000.0,3.0,7.0,M,1.0,1942.0,,1942.0,1942.0,28.0,,24.0,24.0
4822,James Denton,1963-01-20,Jenna Lyn Ward ( m.  1997;  div.  2000) Erin O'Brien Denton ( m.  2002),2,,Actor,"Nashville, Tennessee, U.S.",,,,,,,56.29410597069071,,"['Jenna Lyn Ward', ""Erin O'Brien Denton""]","[1997, 2002]",[2000],,,,2.0,,"['Jenna Lyn Ward', ""Erin O'Brien Denton""]",2.0,,,1.0,,dn6m9pp,,,1.0,,M,1.0,1997.0,2000.0,,,34.0,37.0,,
4824,John Denver,1943-12-31,Annie Martell-Denver ( m.  1967;  div.  1982) Cassandra Delaney-Denver ( m.  1988;  div.  1993),3,,Singer-songwritermusicianrecord produceractivistactorhumanitarian,"Roswell, New Mexico, U.S.",,,,,,,75.34993873933072,,"['Annie Martell Denver', 'Cassandra Delaney Denver']","[1967, 1988]","[1982, 1993]",,,,3.0,,"['Annie Martell Denver', 'Cassandra Delaney Denver']",2.0,,,2.0,,9tvtvx0,,,0.0,,M,1.0,1967.0,1982.0,,,24.0,39.0,,
4826,Harry Depp,,Nedra Belle Gilosky ( m.  1915; died 1932) Helen William Luther  ( m.  1950),Evelyn Christine,,"Stage and film actor, comedian, writer, real estate agent","St. Louis, Missouri, USA",,,,,,,,,"['Nedra Belle Gilosky', 'Helen William Luther']","[1915, 1950]",,,,,,,"['Nedra Belle Gilosky', 'Helen William Luther']",2.0,,,9.0,,9yzgery,,,,,M,1.0,1915.0,,,,,,,
4827,Johnny Depp,1963-06-09,Lori Allison ( m.  1983;  div.  1985) Amber Heard ( m.  2015;  div.  2017),"2, including Lily-Rose Depp",,Actorproducermusician,"Owensboro, Kentucky, U.S.",,,,,,,55.91079898971231,,"['Lori Allison', 'Amber Heard']","[1983, 2015]","[1985, 2017]",,,,2.0,,"['Lori Allison', 'Amber Heard']",2.0,,,1.0,,dndncsp,,,5.0,,M,1.0,1983.0,1985.0,,,20.0,22.0,,
4828,John Derek,1926-08-12,Pati Behrs ( m.  1948;  div.  1955) Ursula Andress ( m.  1957;  div.  1966) Linda Evans ( m.  1968;  div.  1974) Bo Derek ( m.  1976; died 1998),2,,"Actor, director, photographer","Hollywood, California, U.S.",1922-02-13,Turkey[1],"Actress, ballerina",Gogi Tchitchinadze  (m. 19??; div. 19??) John Derek ( m.  1948;  div.  1955) Lucius Lindley ( m.  1975; died 1986),2,4.4929053984681415,92.73564823370774,97.22855363217589,"['Pati Behrs', 'Ursula Andress', 'Linda Evans', 'Bo Derek']","[1948, 1957, 1968, 1976]","[1955, 1966, 1974]",,,,2.0,2.0,"['Pati Behrs', 'Ursula Andress', 'Linda Evans', 'Bo Derek']",4.0,,,3.0,2.0,9q5cgq7,9y7v9tu,5003530.0,7.0,1.0,M,1.0,1948.0,1955.0,,,22.0,29.0,,
4829,Joe DeRita,1909-07-12,Bonnie Brooks ( m.  1935; her death 1965) [1] Jean Sullivan ( m.  1967; his death 1993),,,"Actor, comedian","Philadelphia, Pennsylvania, U.S.",,,,,,,109.82018795731602,,"['Bonnie Brooks', '1 Jean Sullivan']","[1935, 1967]",,,,,,,"['Bonnie Brooks', '1 Jean Sullivan']",2.0,,,2.0,,dr4e394,,,6.0,,M,1.0,1935.0,,,,26.0,,,
4830,Bruce Dern,1936-06-04,Marie Dean ( m.  1957–1959) Diane Ladd  ( m.  1960–1969) Andrea Beckett ( m.  1969),"2, including Laura Dern",The Choate School,Actor,"Chicago, Illinois, U.S.",,,,,,,82.92298952066093,,"['Marie Dean', 'Diane Ladd', 'Andrea Beckett']","[1957, 1960, 1969]",,,,,2.0,,"['Marie Dean', 'Diane Ladd', 'Andrea Beckett']",3.0,,,1.0,,dp3wjzt,,,5.0,,M,1.0,1957.0,,,,21.0,,,
4838,William Desmond,1878-01-23,Mary McIvor (m.1919),2,,Actor,"Horseheads, New York",,,,,,,141.28421528162795,,['Mary McIvor'],[1919],,,,,2.0,,['Mary McIvor'],1.0,,,1.0,,dr3rgum,,,1.0,,M,0.0,1919.0,,,,41.0,,,
4842,Seamus Dever,1976-07-27,Juliana Dever  ( m.  2006),,,Actor,"Flint, Michigan",1980-12-17,"St. Louis, Missouri",Actress,Seamus Dever  (2006-present),,-4.3916028392095665,42.77705907718844,38.38545623797889,['Juliana Dever'],[2006],,,,,,,['Juliana Dever'],1.0,,,1.0,1.0,dpskxwh,9yzgery,20000000.0,7.0,11.0,M,0.0,2006.0,,,,30.0,,,
4847,Dean Devlin,1962-08-27,Lisa Brenner  ( m.  2003),2,,"Screenwriter, producer, television director","New York City, New York, U.S.",1974-02-12,"Long Island, New York, USA",Actress,Dean Devlin  ( m.  2003),2,-11.463616638260882,56.69384039371104,45.23022375545014,['Lisa Brenner'],[2003],,['Dean Devlin'],[2003],,2.0,2.0,['Lisa Brenner'],1.0,['Dean Devlin'],1.0,4.0,1.0,dr5regw,dr7bpc2,625441.0,8.0,1.0,M,0.0,2003.0,,2003.0,2003.0,41.0,,29.0,29.0
4854,Brandon deWilde,1942-04-09,Susan M. Maw ( m.  1963;  div.  1969) Janice Gero ( m.  1972; his death 1972),1,,Actor,"Brooklyn, New York, U.S.",,,,,,,77.07755806074047,,"['Susan M Maw', 'Janice Gero']","[1963, 1972]",[1969],,,,1.0,,"['Susan M Maw', 'Janice Gero']",2.0,,,1.0,,dr5rmm5,,,3.0,,M,1.0,1963.0,1969.0,,,21.0,27.0,,
4856,Brad Dexter,1917-04-09,Peggy Lee ( m.  1953;  div.  1953) Mary Bogdanovich ( m.  1971; her death 1994) June Dyer  ( m.  1994),,,"Actor, producer","Goldfield, Nevada, U.S.",1920-05-26,"Jamestown, North Dakota, U.S.",Singersongwriteractresscomposer,Dave Barbour ( m.  1943;  div.  1951) Brad Dexter ( m.  1953;  div.  1953) Dewey Martin ( m.  1956;  div.  1958) Jack Del Rio ( m.  1964;  div.  1965),1,-3.129427708987864,102.07738694155252,98.94795923256468,"['Peggy Lee', 'Mary Bogdanovich', 'June Dyer']","[1953, 1971, 1994]",[1953],"['Dave Barbour', 'Brad Dexter', 'Dewey Martin', 'Jack Del Rio']","[1943, 1953, 1956, 1964]","[1951, 1953, 1958, 1965]",,1.0,"['Peggy Lee', 'Mary Bogdanovich', 'June Dyer']",3.0,"['Dave Barbour', 'Brad Dexter', 'Dewey Martin', 'Jack Del Rio']",4.0,2.0,1.0,9qsws0x,cb3fcgf,20000000.0,3.0,5.0,M,1.0,1953.0,1953.0,1943.0,1943.0,36.0,36.0,23.0,23.0
4857,Elliott Dexter,1870-03-29,Marie Doro  (m.1915–div.1922),,,Actor,"Galveston, Texas, U.S.",,,,,,,149.10641560059412,,['Marie Doro'],[1915],[1922],,,,,,['Marie Doro'],1.0,,,1.0,,9vhwdy4,,,3.0,,M,1.0,1915.0,1922.0,,,45.0,52.0,,
4858,Cliff DeYoung,1945-02-12,Gypsy DeYoung ( m.  1970),,,"Actor, Musician","Los Angeles, California, U.S.",,,,,,,74.2301347734724,,['Gypsy DeYoung'],[1970],,,,,,,['Gypsy DeYoung'],1.0,,,2.0,,9q5ctr1,,,1.0,,M,0.0,1970.0,,,,25.0,,,
4863,Reed Diamond,1967-07-20,Fredrika Kesten ( m.  1995–1997) Marnie McPhail  ( m.  2004),,"University of North Carolina, Chapel HillJuilliard School (BFA)",Actor,"Brooklyn, New York, U.S.",,,,,,,51.79846266521557,,"['Fredrika Kesten', 'Marnie McPhail']","[1995, 2004]",,,,,,,"['Fredrika Kesten', 'Marnie McPhail']",2.0,,,1.0,,dr5rmm5,,,6.0,,M,1.0,1995.0,,,,28.0,,,
4865,Aarón Díaz,1982-03-07,Kate del Castillo ( m.  2009;  div.  2011)   Lola Ponce  ( m.  2015),2,,,"Puerto Vallarta, Jalisco, Mexico",1972-10-23,"Mexico City, Mexico",Actress,Luis García  (2001–2004) Aarón Díaz  (2009–2012),,9.369117777914672,37.167087619868994,46.53620539778366,"['Kate del Castillo', 'Lola Ponce']","[2009, 2015]",[2011],,,,2.0,,"['Kate del Castillo', 'Lola Ponce']",2.0,,,,1.0,9etjmxc,9g3w81t,5003530.0,2.0,10.0,M,1.0,2009.0,2011.0,,,27.0,29.0,,
4867,Joey Diaz,1963-02-19,Terrie Clark (m. 2009),1,,"Comedian, actor, podcaster","Havana, Cuba",,,,,,,56.21196876048104,,['Terrie Clark'],[2009],,,,,1.0,,['Terrie Clark'],1.0,,,3.0,,dhj7mxw,,,2.0,,M,0.0,2009.0,,,,46.0,,,
4870,George DiCenzo,1940-04-21,Donna Artz-DiCenzo ( m.  1999; his death 2010),,,"Screen actor, voice actor, acting teacher, producer","New Haven, Connecticut, U.S.",,,,,,,79.04337529175821,,['Donna Artz DiCenzo'],[1999],,,,,,,['Donna Artz DiCenzo'],1.0,,,7.0,,drk4urz,,,4.0,,M,0.0,1999.0,,,,59.0,,,
4871,Douglas Dick,1920-11-20,Ronnie Cowan ( m.  1959;  div.  1960)     Peggy Chantler Dick ( m.  1963; her death 2001),,,Actor & Screenwriter,"Charleston, West Virginia, U.S.",,,,,,,98.46061178532072,,"['Ronnie Cowan', 'Peggy Chantler Dick']","[1959, 1963]",[1960],,,,,,"['Ronnie Cowan', 'Peggy Chantler Dick']",2.0,,,3.0,,dnvfnmk,,,10.0,,M,1.0,1959.0,1960.0,,,39.0,40.0,,
4885,Taye Diggs,1971-01-02,Idina Menzel ( m.  2003;  div.  2014),1,,"Actor, singer","Newark, New Jersey, U.S.",1971-05-30,"Queens, New York or Syosset, New York, U.S.",Actresssingersongwriter,Taye Diggs ( m.  2003;  div.  2014) Aaron Lohr  ( m.  2017),1,-0.4052102370342992,48.34322402239608,47.93801378536178,['Idina Menzel'],[2003],[2014],"['Taye Diggs', 'Aaron Lohr']","[2003, 2017]",[2014],1.0,1.0,['Idina Menzel'],1.0,"['Taye Diggs', 'Aaron Lohr']",2.0,2.0,1.0,dr5r8pt,dr78r2j,625441.0,0.0,5.0,M,1.0,2003.0,2014.0,2003.0,2003.0,32.0,43.0,32.0,32.0
4886,Garret Dillahunt,1964-11-24,Michelle Hurd  ( m.  2007),,University of Washington (BA)New York University (MFA),Actor,"Castro Valley, California, U.S.",1966-12-21,"New York City, U.S.",Actress,Garret Dillahunt  ( m.  2007),,-2.0725956042903,54.44875664798045,52.376161043690146,['Michelle Hurd'],[2007],,['Garret Dillahunt'],[2007],,,,['Michelle Hurd'],1.0,['Garret Dillahunt'],1.0,1.0,1.0,9q9nmy5,dr5regw,20000000.0,11.0,11.0,M,0.0,2007.0,,2007.0,2007.0,43.0,,41.0,41.0
4887,Bradford Dillman,1930-04-14,Frieda Harding McIntosh ( m.  1956;  div.  1962) Suzy Parker ( m.   1963 ; her death  2003 ),5,,"Actor, author","San Francisco, California, U.S.",,,,,,,89.06411493733616,,"['Frieda Harding McIntosh', 'Suzy Parker']","[1956, 1963]",[1962],,,,5.0,,"['Frieda Harding McIntosh', 'Suzy Parker']",2.0,,,2.0,,9q8yyk8,,,3.0,,M,1.0,1956.0,1962.0,,,26.0,32.0,,
4892,Kevin Dillon,1965-08-19,Jane Stuart ( m.  2006;  div.  2017),2,,Actor,"Mamaroneck, New York, U.S.[1]",,,,,,,53.714997570107535,,['Jane Stuart'],[2006],[2017],,,,2.0,,['Jane Stuart'],1.0,,,1.0,,dr78fnt,,,7.0,,M,1.0,2006.0,2017.0,,,41.0,52.0,,
4900,Paul Dinello,1962-11-28,Danielle St. Laurent ( m.  2011),2,,"
Filmmaker
comedian
","Oak Park, Illinois, U.S.",,,,,,,56.43921504206109,,['Danielle St Laurent'],[2011],,,,,2.0,,['Danielle St Laurent'],1.0,,,2.0,,dp3w62v,,,11.0,,M,0.0,2011.0,,,,49.0,,,
4901,Peter Dinklage,1969-06-11,Erica Schmidt ( m.  2005),2,,Actorproducer,"Morristown, New Jersey, U.S.",,,,,,,49.90383101637953,,['Erica Schmidt'],[2005],,,,,2.0,,['Erica Schmidt'],1.0,,,1.0,,dr7014u,,,5.0,,M,0.0,2005.0,,,,36.0,,,
4902,Dante DiPaolo,1926-02-18,Rosemary Clooney ( m.  1997; died 2002),,,"Actor, dancer","Frederick, Colorado, U.S.",1928-05-23,"Maysville, Kentucky, U.S.","Singer, actress",José Ferrer ( m.  1953;  div.  1961)  & ( m.  1964;  div.  1967) Dante DiPaolo  ( m.  1997),"5, including Miguel and Rafael Ferrer",-2.258773280765519,93.21478195993072,90.95600867916521,['Rosemary Clooney'],[1997],,"['José Ferrer', '&', 'Dante DiPaolo']","[1953, 1964, 1997]","[1961, 1967]",,5.0,['Rosemary Clooney'],1.0,"['José Ferrer', '&', 'Dante DiPaolo']",3.0,2.0,2.0,9xjkh5g,dnu7y67,20000000.0,2.0,5.0,M,0.0,1997.0,,1953.0,1953.0,71.0,,25.0,25.0
4913,Snoop Dogg,1971-10-20,Shante Taylor ( m.  1997;  div.  2004) ( m.  2008),4,,"
Rapper
singer
songwriter
record producer
actor
television producer
entrepreneur
","Long Beach, California, U.S.",,,,,,,47.546493083362414,,"['Shante Taylor', '']","[1997, 2008]",[2004],,,,4.0,,"['Shante Taylor', '']",2.0,,,9.0,,9q5bn7t,,,9.0,,M,1.0,1997.0,2004.0,,,26.0,33.0,,
4916,Jason Dohring,1982-03-30,Lauren Kutner ( m.   2004 ),2,,Actor,"Toledo, Ohio, U.S.",,,,,,,37.10411575870826,,['Lauren Kutner'],[2004],,,,,2.0,,['Lauren Kutner'],1.0,,,1.0,,dpksgn9,,,3.0,,M,0.0,2004.0,,,,22.0,,,
4918,George Dolenz,1908-01-05,Janelle Johnson  ( m.  1943),"4, including Micky Dolenz",,Actor,"Trieste, Austria-Hungary",,"Austin, Texas, U.S.",Actress,George Dolenz ( m.  1943; died  1963 ) Robert Scott ( m.  1965; died 1985),"4, including Micky Dolenz",,111.33698843918766,,['Janelle Johnson'],[1943],,"['George Dolenz', 'Robert Scott']","[1943, 1965]",,4.0,4.0,['Janelle Johnson'],1.0,"['George Dolenz', 'Robert Scott']",2.0,1.0,1.0,u21g9qp,9v6kpvc,20000000.0,0.0,,M,0.0,1943.0,,1943.0,1943.0,35.0,,,
4919,Micky Dolenz,1945-03-08,Samantha Juste ( m.  1968;  div.  1975) Trina Dow ( m.  1977;  div.  1991) Donna Quinter ( m.  2002),,,Actormusician,"Los Angeles, California, U.S.",1944-05-31,"Manchester, England, UK",,Micky Dolenz ( m.  1968;  div.  1975) Tony Shipp ( m.  1988),Ami Dolenz,0.7693518689637706,74.1644250053047,74.93377687426846,"['Samantha Juste', 'Trina Dow', 'Donna Quinter']","[1968, 1977, 2002]","[1975, 1991]","['Micky Dolenz', 'Tony Shipp']","[1968, 1988]",[1975],,,"['Samantha Juste', 'Trina Dow', 'Donna Quinter']",3.0,"['Micky Dolenz', 'Tony Shipp']",2.0,1.0,,9q5ctr1,gcw2hzy,20000000.0,2.0,5.0,M,1.0,1968.0,1975.0,1968.0,1968.0,23.0,30.0,24.0,24.0
4921,John Doman,1945-01-09,Linda Lee Rudloff ( m.  1981; died 2014),1,,Actor,"Philadelphia, Pennsylvania, U.S.",,,,,,,74.32322361171003,,['Linda Lee Rudloff'],[1981],,,,,1.0,,['Linda Lee Rudloff'],1.0,,,1.0,,dr4e394,,,0.0,,M,0.0,1981.0,,,,36.0,,,
