,divorce
2672,1.0
2673,1.0
2674,1.0
2675,1.0
2676,1.0
2677,0.0
2678,0.0
2679,0.0
2680,0.0
2681,0.0
2682,1.0
2683,1.0
2684,1.0
2685,1.0
2686,0.0
2687,1.0
2688,0.0
2689,0.0
2690,0.0
2691,1.0
2692,1.0
2693,1.0
2694,1.0
2695,1.0
2696,0.0
2697,1.0
2698,0.0
2699,1.0
2700,1.0
2701,1.0
2702,1.0
2703,0.0
2704,1.0
2705,0.0
2706,0.0
2707,1.0
2708,1.0
2709,1.0
2710,1.0
2711,1.0
2712,0.0
2713,1.0
2714,1.0
2715,1.0
2716,1.0
2717,0.0
2718,1.0
2719,1.0
2720,0.0
2721,1.0
2722,0.0
2723,0.0
2724,0.0
2725,1.0
2726,1.0
2727,1.0
2728,0.0
2729,0.0
2730,0.0
2731,0.0
2732,1.0
2733,1.0
2734,1.0
2735,1.0
2736,1.0
2737,1.0
2738,1.0
2739,1.0
2740,1.0
2741,0.0
2742,0.0
2743,1.0
2744,0.0
2745,1.0
2746,1.0
2747,1.0
2748,1.0
2749,0.0
2750,1.0
2751,1.0
2752,1.0
2753,1.0
2754,0.0
2755,1.0
2756,0.0
2757,0.0
2758,0.0
2759,1.0
2760,0.0
2761,1.0
2762,1.0
2763,1.0
2764,1.0
2765,1.0
2766,0.0
2767,0.0
2768,0.0
2769,0.0
2770,0.0
2771,1.0
2772,1.0
2773,1.0
2774,1.0
2775,1.0
2776,0.0
2777,0.0
2778,1.0
2779,0.0
2780,1.0
2781,0.0
2782,0.0
2783,1.0
2784,1.0
2785,1.0
2786,0.0
2787,1.0
2788,0.0
2789,0.0
2790,1.0
2791,1.0
2792,1.0
2793,1.0
2794,0.0
2795,0.0
2796,0.0
2797,1.0
2798,1.0
2799,1.0
2800,1.0
2801,0.0
2802,0.0
2803,0.0
2804,0.0
2805,1.0
2806,1.0
2807,1.0
2808,1.0
2809,1.0
2810,0.0
2811,1.0
2812,0.0
2813,0.0
2814,1.0
2815,1.0
2816,1.0
2817,0.0
2818,1.0
2819,1.0
2820,0.0
2821,0.0
2822,0.0
2823,0.0
2824,1.0
2825,0.0
2826,1.0
2827,1.0
2828,1.0
2829,1.0
2830,0.0
2831,1.0
2832,1.0
2833,0.0
2834,1.0
2835,1.0
2836,0.0
2837,1.0
2838,1.0
2839,1.0
2840,0.0
2841,0.0
2842,0.0
2843,0.0
2844,1.0
2845,0.0
2846,0.0
2847,0.0
2848,1.0
2849,1.0
2850,1.0
2851,0.0
2852,1.0
2853,1.0
2854,0.0
2855,1.0
2856,1.0
2857,1.0
2858,0.0
2859,0.0
2860,0.0
2861,1.0
2862,1.0
2863,1.0
2864,0.0
2865,1.0
2866,1.0
2867,0.0
2868,1.0
2869,0.0
2870,0.0
2871,1.0
2872,1.0
2873,1.0
2874,0.0
2875,0.0
2876,1.0
2877,0.0
2878,1.0
2879,1.0
2880,1.0
2881,1.0
2882,0.0
2883,1.0
2884,0.0
2885,1.0
2886,1.0
2887,1.0
