,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
19,Christina Aguilera,1980-12-18,"Los Angeles ,  California , U.S.",2,,Singer songwriter actress television personality,"New York City ,  New York , U.S.",,,,,
20,Lexi Ainsworth,1992-10-28,,,,Actress,"Oklahoma City, Oklahoma , U.S.",,,,,
21,Jessica Alba,1981-04-28,"Los Angeles, California , U.S.",3,,"Actress, businesswoman","Pomona, California , U.S.",,,,,
22,Lola Albright,1924-07-20,Warren Dean ( m.  1944;  div.  1949) Jack Carson ( m.  1952;  div.  1958) Bill Chadney ( m.  1961;  div.  1975),,,"Actress, singer, model","Akron, Ohio , U.S.",,,,,
23,Erika Alexander,1969-11-19,Tony Puryear ( m.  1997;  div.  2017),,Philadelphia High School for Girls,Actress,"Winslow, Arizona , U.S.",,,,,
24,Jaimie Alexander,1984-03-12,,,,Actress,"Greenville, South Carolina , U.S.",,,,,
25,Khandi Alexander,1957-09-04,,,,"Actress, dancer, choreographer","Jacksonville ,  Florida , U.S.",,,,,
26,,1973-05-17,,2,,Actress,,,,,,
27,Tatyana Ali,1979-01-24,Harvard University   (2002),1,,"Actress, singer","North Bellmore ,  Long Island, New York , U.S.",,,,,
28,Ana Alicia,1956-12-12,Gary R. Benz ( m.  1994;  div.  2016),2,,"Actress, singer, producer","Mexico City , Mexico [1]",,,,,
29,Debbie Allen,1950-01-16,Win Wilford ( m.  1975–1983) Norm Nixon  ( m.  1984),,Howard University,"Actress, choreographer, dancer, film director, television director, television producer","Houston, Texas , U.S.",,,,,
30,Elizabeth Allen,1929-01-25,Baron Karl von Vietinghoff-Scheel ( m.  1952;  div.  1955),,,Actress,"Jersey City, New Jersey , U.S.",,,,,
31,Joan Allen,1956-08-20,Peter Friedman ( m.  1990;  div.  2002),1,,Actress,"Rochelle, Illinois , U.S.",1949-04-24,"New York City, New York , U.S.",Actor,Joan Allen ( m.  1990;  div.  2002),1
32,Karen Allen,1951-10-05,Kale Browne ( m.  1988;  div.  1998),1,,Actress,"Carrollton, Illinois , U.S.",1949-06-16,"San Rafael, California , U.S.",Actor,Karen Allen ( m.   1988 ;  div.  1998),1
33,Krista Allen,1971-04-05,Justin Moritt ( m.  1996;  div.  1999)  1 son Mams Taylor ( m.  2010;  div.  2012),1,,"
 Actress 
 model 
","Ventura, California , U.S.",,,,,
34,Laura Allen,1974-03-21,Bruce Weyman ( m.  2006),2,,Actress,"Portland, Oregon , U.S.",,,,,
35,Nancy Allen,1950-06-24,Brian De Palma ( m.  1979;  div.  1984) Craig Shoemaker ( m.  1992;  div.  1993) Randy Bailey ( m.  1998;  div.  2007),,High School of Performing Arts,Actress,"The Bronx ,  New York City , U.S.",1940-09-11,"Newark, New Jersey , U.S.","Film director, screenwriter",Nancy Allen ( m.  1979;  div.  1983) Gale Anne Hurd ( m.  1991;  div.  1993) Darnell Gregorio ( m.  1995;  div.  1997),2
36,Kirstie Alley,1951-01-12,Bob Alley ( m.  1970;  div.  1977) Parker Stevenson ( m.  1983;  div.  1997),2,,"Actress, spokesmodel","Wichita, Kansas , U.S.",,,,,
37,Jamie Anne Allman,,Marshall Allman  ( m.  2006),3,,Actress,"Parsons, Kansas , U.S.",1984-04-05,"Austin, Texas , U.S.",Actor,Jamie Anne Brown  ( m.  2006),3
38,June Allyson,1917-10-07,Dick Powell ( m.  1945; died 1963) Alfred Glenn Maxwell ( m.  1963;  div.  1965) ( m.  1966;  div.  1970) David Ashrow  ( m.  1976),2,,"Actress, dancer, singer","The Bronx , New York, U.S.",1904-11-14,"Mountain View, Arkansas , U.S.","Actor, singer, producer, director","Actor, singer, producer, director",4
39,Daniella Alonso,1978-09-22,"Actress, fashion model",,,"Actress, fashion model","New York City , U.S.",,,,,
40,Trini Alvarado,1967-01-10,Robert McNeill,,,Actress,"New York City , U.S.",,,,,
41,,1978-02-20,,2,,"Actress, singer",,,,,,
42,Mädchen Amick,1970-12-12,David Alexis ( m.  1992),2,,"Actress, director, writer","Sparks, Nevada , U.S.",,,,,
43,Suzy Amis Cameron,1962-01-05,Sam Robards ( m.  1986;  div.  1994) James Cameron  ( m.  2000),4,,"Actress,  model","Oklahoma City ,  Oklahoma , U.S.",1961-12-16,"New York City , U.S.",Actor,Suzy Amis Cameron ( m.  1986;  div.  1994) Sidsel Jensen  ( m.  1997),3
44,Eva Amurri Martino,1985-03-15,Kyle Martino  ( m.  2011),2,,Actress,"New York City, New York , U.S.",,,,,
45,Kristina Anapau,1979-10-30,,,,"Actress, writer","Hawaii , U.S.",,,,,
46,Andrea Anders,1975-05-10,Matt LeBlanc  (2006–2015),,,Actress,"Madison, Wisconsin , U.S.",,,,,
47,Gillian Anderson,1968-08-09,Clyde Klotz ( m.  1994;  div.  1997) Julian Ozanne ( m.  2004;  div.  2006),3,DePaul University (BFA),"Actress, writer, producer, director","Chicago ,  Illinois , U.S.",1961-06-08,Canada,"Art director, production designer",Gillian Anderson ( m.  1994;  div.  1997),1
48,Loni Anderson,1945-08-05,Bruce Hasselberg ( m.  1964;  div.  1966) Ross Bickell ( m.  1973;  div.  1981) Burt Reynolds ( m.  1988;  div.  1993) Bob Flick  ( m.  2008),2,,Actress,"Saint Paul ,  Minnesota , U.S.",,,,,
49,Mary Anderson,1918-04-03,Leonard M. Behrens ( m.  1940;  div.  1950) Leon Shamroy ( m.  1953; died 1974),1,,Actress,"Birmingham, Alabama , U.S.",,,,,
50,Melody Anderson,1955-12-03,,,Carleton University (BA) New York University (MSW),"Actress ,  social worker ,  public speaker","Edmonton, Alberta , Canada",,,,,
51,Nicole Gale Anderson,1990-08-29,,,,Actress,"Rochester, Indiana , U.S.",,,,,
52,Jennifer Aniston,1969-02-11,Brad Pitt ( m.  2000;  div.  2005) Justin Theroux ( m.  2015;  sep.  2017),,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Actress film producer businesswoman,"Sherman Oaks, California , U.S.",1963-12-18,"Shawnee, Oklahoma , U.S.",Actor film producer,Jennifer Aniston ( m.  2000;  div.  2005) Angelina Jolie ( m.  2014;  div.  2019),6
53,Odette Annable,1985-05-10,Dave Annable  ( m.   2010 ),1,,Actress,"Los Angeles ,  California , U.S.",1979-09-15,"Suffern, New York , U.S.",Actor,Odette Annable  ( m.  2010),1
54,Susan Anton,1950-10-12,Jack Stein ( m.  1975;  div.  1980) Jeff Lester  ( m.  1992),,,"Actress, singer","Oak Glen, California , U.S.",,,,,
55,Shiri Appleby,1978-12-07,Jon Shook ( m.  2013),2,,"Actress, director","Los Angeles ,  California , U.S.",,,,,
56,Christina Applegate,1971-11-25,Johnathon Schaech ( m.  2001;  div.  2007) Martyn LeNoble  ( m.  2013),1,,Actress,"Hollywood ,  California , U.S.",1969-09-10,"Edgewood, Maryland , U.S.","
 Actor 
 writer 
 producer 
",Christina Applegate ( m.  2001;  div.  2007) Jana Kramer ( m.  2010;  div.  2011) Julie Solomon  ( m.  2013),1 (with Solomon)
57,Anne Archer,1947-08-24,William Davis (1969–1977) Terry Jastrow (1979–present),Jeffrey Tucker Jastrow (b. 1984) Tommy Davis,,Actress,"Los Angeles, California , U.S.",,,,,
58,Beverly Archer,1948-07-19,Robert Bernard ( m.  1976),,,,"Oak Park, Illinois , U.S.",,,,,
59,Eve Arden,1908-04-30,Ned Bergen ( m.  1939;  div.  1947) Brooks West ( m.  1952; died 1984),4,,Actress,"Mill Valley, California , U.S.",,,,,
60,Ashley Argota,1993-01-09,,,,"Actress, singer","Redlands, California , U.S.",,,,,
61,Jillian Armenante,1968-07-05,Alice Dodd,2,,Actress,"Paterson, New Jersey , U.S.",,,,,
62,Bess Armstrong,1953-12-11,Chris Carreras ( m.  1983;  div.  1984) John Fiedler  ( m.  1985),3,,Actress,"Baltimore ,  Maryland , U.S.",,,,,
