,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
286,Jennifer Carpenter,1979-12-07,Michael C. Hall ( m.  2008;  div.  2011) Seth Avett  ( m.  2016),1,Juilliard School (BFA),Actress,"Louisville, Kentucky , U.S.",1971-02-01,"Raleigh, North Carolina , U.S.",Actor,Amy Spanger ( m.  2002;  div.  2007) Jennifer Carpenter ( m.  2008;  div.  2011) Morgan Macgregor ( m.  2016),
287,Sabrina Carpenter,1999-05-11,,,,"
 Singer 
 songwriter 
 actress 
","Lehigh Valley, Pennsylvania , U.S.",,,,,
288,Ever Carradine,1974-08-06,Coby Brown ( m.  2005),2,,,"Los Angeles ,  California ,  United States",,,,,
289,Barbara Carrera,1945-12-31,Otto Kurt Freiherr von Hoffman ( m.  1966;  div.  1972) Uwe Barden ( m.  1972;  div.  1976) Nicholas Mark Mavroleon ( m.  1983;  div.  ??),,,"Actress, model","Bluefields ,  Nicaragua",,,,,
290,Tia Carrere,1967-01-02,Elie Samaha ( m.  1992;  div.  2000) Simon Wakelin ( m.  2002;  div.  2010),1,,"Actress, voice actress, singer, model","Honolulu ,  Hawaii , U.S.",1955-05-10,"Zahlé , Lebanon",Film producer,Diane Shammas ( m.  1980;  div.  1988) Tia Carrere ( m.  1992;  div.  2000),
291,Diahann Carroll,1935-07-17,Monte Kay ( m.  1956;  div.  1963) Fredde Glusman ( m.  1973;  div.  1973) Robert DeLeon ( m.  1975; died 1977) Vic Damone ( m.  1987;  div.  1996),1,Music & Art High School,"
 Actress 
 singer 
 model 
","New York City , U.S.",,,,,
292,Madeline Carroll,1996-03-18,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
293,Nancy Carroll,1903-11-19,"Jack Kirkland (m.1925–div.1930) Francis Bolton Mallory (m.1931–div.1935) C.H. ""Jappe"" Groen (m.1953–1965; her death)",,,actress,"New York City , U.S.",,,,,
294,Dixie Carter,1939-05-25,"April 10, 2010 (2010-04-10)  (aged 70) Houston, Texas , U.S.",2,Rhodes College,"Actress, singer","McLemoresville, Tennessee , U.S.",1931-11-24,New York City,,Dixie Carter ( m.  1967;  div.  1977),
295,Lynda Carter,1951-07-24,Ron Samuels ( m.  1977;  div.  1982) Robert A. Altman  ( m.  1984),2,Arizona State University (withdrawn),"Actress, singer, songwriter, beauty pageant titleholder","Phoenix, Arizona , U.S.",,,,,
296,Angela Cartwright,1952-09-09,Steve Gullion ( m.  1976),2,,Actress,"Altrincham , Cheshire, England",,,,,
297,Veronica Cartwright,1949-04-20,Richard Gates ( m.  1968;  div.  1972) Stanley Goldstein ( m.  1976;  div.  1980) Richard Compton ( m.  1982; died 2007),,,Actress,"Bristol , United Kingdom",,,,,
298,Rosalind Cash,1938-12-31,,,City College of New York,Actress singer,"Atlantic City, New Jersey , U.S.",,,,,
299,Peggy Cass,1924-05-21,Carl Fisher (1948–1965; divorced)  Eugene Feeney (1979–1999; her death),,,"Actress, comedian, game show panelist, announcer","Boston ,  Massachusetts , U.S.",,,,,
300,Joanna Cassidy,1945-08-02,Dr. Kennard C. Kobrin ( m.  1964;  div.  1974),2,,Actress,"Haddonfield, New Jersey , U.S.",,,,,
301,Katie Cassidy,1986-11-25,Matthew Rodgers ( m.  2018),,,Actress,"Los Angeles ,  California , U.S.",,,,,
302,Peggie Castle,1927-12-22,Revis Call ( m.  1945;  div.  1950) Robert H. Rains ( m.  1951;  div.  1954) William McGarry ( m.  1955;  div.  1969)  (1 child) Arthur Morganstern  ( m.  1971–1973) (his death),Erin McGarry (b. 1963) [1],,Actress,"Appalachia, Virginia , U.S.",,,,,
303,Shanley Caswell,1991-12-03,,,,Actress,"Sarasota, Florida , U.S.",,,,,
304,Phoebe Cates,1963-07-16,Kevin Kline  ( m.  1989),Owen Greta,,"Actress, model, entrepreneur","New York City ,  New York , U.S.",1947-10-24,"St. Louis ,  Missouri , U.S.",Actor,Phoebe Cates  ( m.  1989),"
 Owen 
 Greta 
"
305,Jessica Cauffiel,1976-03-30,,,,"Actress, singer","Detroit ,  Michigan , U.S.",,,,,
306,Emma Caulfield Ford,1973-04-08,Cornelius Grobbelaar (m. 2006–2010)  Mark Leslie Ford (m. 2017),1,,Actress,"San Diego, California , U.S.",,,,,
307,Joan Caulfield,1922-06-01,Frank Ross ( m.  1950;  div.  1960)  1 son Robert Peterson ( m.  1960;  div.  1966)  1 son,,,,"West Orange, New Jersey , U.S.",,,,,
308,Kristin Cavallari,1987-01-05,Jay Cutler  ( m.   2013 ),3,Laguna Beach High School,"Television personality, fashion designer, actress","Denver ,  Colorado , U.S.",,,,,
309,Lacey Chabert,1982-09-30,David Nehdar ( m.  2013),1,,"
 Actress 
 voice actress 
 singer 
","Purvis, Mississippi , U.S.",,,,,
310,Faune A. Chambers,,Fonzworth Bentley  ( m.  2010),2,,"Actress ,  dancer","Miami, Florida , U.S.",,,,,
311,Carol Channing,1921-01-31,Theodore Naidish ( m.  1941;  div.  1944) Alex Carson ( m.  1953;  div.  1956) Charles Lowe ( m.  1956; died 1999) Harry Kullijian ( m.  2003; died 2011),1,,"Actress, dancer, singer, comedienne","Seattle, Washington , U.S.",,,,,
312,Stockard Channing,1944-02-13,"
 Walter Channing ( m.  1963;  div.  1967) 
 Paul Schmidt ( m.  1970;  div.  1976) 
 David Debin ( m.  1976;  div.  1980) 
 David Rawle ( m.  1980;  div.  1988) 
",,,Actress,"Manhattan , New York City, United States",,,,,
313,Cyd Charisse,1922-03-08,Nico Charisse ( m.  1939;  div.  1947) Tony Martin ( m.  1948; her death 2008),2,,"Actress, dancer","Amarillo, Texas , U.S.",,,,,
314,Annette Charles,1948-03-05,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
315,Daveigh Chase,1990-07-24,"Actress, voice actress, singer, model",,,"Actress, voice actress, singer, model","Las Vegas ,  Nevada , U.S.",,,,,
316,Jessica Chastain,1977-03-24,Gian Luca Passi de Preposulo ( m.  2017),1,Sacramento City CollegeAmerican Academy of Dramatic ArtsJuilliard School (BFA),Actress film producer,"Sacramento, California , U.S.",,,,,
317,Ruth Chatterton,1892-12-24,Ralph Forbes ( m.  1924;  div.  1932) George Brent ( m.  1932;  div.  1934) Barry Thomson ( m.  1942; died 1960),,,"Actress, novelist","New York City , U.S.",1904-09-30,"London , England",Actor,Ruth Chatterton ( m.  1924;  div.  1932) Heather Angel ( m.  1934;  div.  1941) Dora Sayers  ( m.  1946),
318,Kristin Chenoweth,1968-07-24,,,,Actress singer,"Broken Arrow, Oklahoma , U.S.",,,,,
319,Cher,1946-05-20,"
 Sonny Bono ( m.  1969;  div.  1975) 
 Gregg Allman ( m.  1975;  div.  1979) 
","
 Chaz Bono 
 Elijah Blue Allman 
",,"
 Singer 
 actress 
 author 
 businesswoman 
 comedian 
 dancer 
 fashion designer 
 model 
 philanthropist 
 record producer 
 songwriter 
 television host 
","El Centro, California , U.S.",,,,,
320,Vanessa Lee Chester,1984-07-02,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
321,Lois Chiles,1947-04-15,Richard Gilder  (2005–present),,,"Actress, model","Houston ,  Texas , U.S.",,,,,
322,Anna Chlumsky,1980-12-03,Shaun So ( m.  2008),2,University of Chicago (BA)Atlantic Acting School,Actress,"Chicago ,  Illinois , U.S.",,,,,
323,Rosalind Chao,,Simon Templeman,2,Bachelor of Journalism,Actress,"Anaheim ,  California , U.S.",,,,,
324,Erika Christensen,1982-08-19,Cole Maness ( m.   2015 ),2,,"
 Actress 
 singer 
","Seattle, Washington , U.S.",,,,,
325,Claudia Christian,1965-08-10,Gary DeVore ( m.  1988;  div.  1992),,,"Actress, singer","Glendale, California , U.S.",1941-09-17,,Screenwriter,Maria Cole ( m.  1969;  div.  1978) Sandie Newton ( m.  1981;  div.  1985) Claudia Christian ( m.  1988;  div.  1992) Wendy Devore ( m.  1996; his death 1997),
326,Jamie Chung,1983-04-10,Actress,,,Actress,"San Francisco ,  California , U.S.",1978-05-24,"Omaha, Nebraska , U.S.","Actor, singer",Jamie Chung  ( m.  2015),
327,Marguerite Churchill,1910-12-26,George O'Brien ( m.   1933 ;  div.  1948) Peter Ganine   (m. 1954–19??),"3, including  Darcy  and  Orin O'Brien",,Actress,"Kansas City, Missouri , U.S.",1899-04-19,"San Francisco, California , U.S.","Actor, singer",Marguerite Churchill ( m.  1933;  div.  1948),"3, including  Darcy  and  Orin O'Brien"
328,Ciara,1985-10-25,Russell Wilson  ( m.  2016),2,Riverdale High School,"
 Singer-songwriter 
 dancer 
 model 
 actress 
","Austin, Texas ,  United States",,,,,
329,,1947-06-20,,,,Actress  and  model,,1944-01-14,"Long Beach, California","Christian revivalist, actor","Agnes Benjamin (1971-?; divorced),  Candy Clark  (1978–79; divorced)",
330,Judy Clark,1921-06-09,,,,,"Rockville Centre, New York",,,,,
331,Melinda Clarke,1969-04-24,Ernie Mirich (1997–2005; divorced),1,,Actress,"Dana Point, California , U.S.",,,,,
332,Sarah Clarke,1972-02-16,Xander Berkeley  ( m.  2002),2,,Actress,"St. Louis ,  Missouri , U.S.",1955-12-16,"Brooklyn ,  New York City , U.S. [1]",Actor,Sarah Clarke  ( m.  2002),2
333,Patricia Clarkson,1959-12-29,,,Louisiana State UniversityFordham University (BA)Yale University (MFA),Actress,"New Orleans ,  Louisiana , U.S.",,,,,
334,Jill Clayburgh,1944-04-30,David Rabe ( m.  1979; her death 2010),"
 Michael Rabe 
 Lily Rabe 
",Sarah Lawrence College,Actress,"New York City , U.S.",,,,,
335,Kiersey Clemons,1993-12-17,,,,"
 Actress 
 singer 
","Pensacola ,  Florida , U.S.",,,,,
336,Colleen Clinkenbeard,1980-04-13,Patric Carroll (m. 2012),1,,"Voice actress, line producer, ADR director, script writer","Shreveport, Louisiana , U.S.",,,,,
337,Rosemary Clooney,1928-05-23,José Ferrer ( m.  1953;  div.  1961)  & ( m.  1964;  div.  1967) Dante DiPaolo  ( m.  1997),"5, including  Miguel  and  Rafael Ferrer",,"Singer, actress","Maysville, Kentucky , U.S.",1912-01-08,"San Juan, Puerto Rico , U.S.","Actor, director",Uta Hagen  (1938–1948) Phyllis Hill  (1948–1953) Rosemary Clooney (1953–1961 and 1964–1967)  Stella Magee (1977–1992),"6, including  Miguel  and  Rafael Ferrer"
338,Glenn Close,1947-03-19,Cabot Wade ( m.  1969;  div.  1971) James Marlas ( m.  1984;  div.  1987) David Evans Shaw ( m.   2006 ;  div.   2015 ),Annie Starke,,"Actress, singer, producer","Greenwich, Connecticut , U.S.",,,,,
339,Imogene Coca,1908-11-18,"Robert Burton (m. 1935–1955, his death) King Donovan  (m. 1960–1987, his death)",,,Actress,"Philadelphia, Pennsylvania , U.S.",,,,,
340,Lauren Cohan,1982-01-07,,,,"Actress, model","Cherry Hill, New Jersey , U.S.",,,,,
341,Claudette Colbert,1903-09-13,"
 Norman Foster ( m.  1928;  div.  1935) 
 Dr. Joel Pressman ( m.  1935; died 1968) 
",,Art Students League of New York,Actress,"Saint-Mandé , France",1903-12-13,"Richmond, Indiana , U.S.","Actor, director, screenwriter",Claudette Colbert ( m.  1928;  div.  1935) Sally Blane ( m.  1935; his death 1976),2
342,Taylor Cole,1984-04-29,,,,Actress model,"Arlington ,  Texas ,  U.S.",,,,,
343,Tina Cole,1943-08-04,"Volney Howard III ( m.  1965; divorce 1970) Fillmore Pajeau Crank, Jr. ( m.  1979, divorce)",4,,"Actress ,  singer ,  theatre director","Hollywood ,  California , U.S.",,,,,
344,Holliston Coleman,1992-06-30,,,,Actress,"Pasadena, California , U.S.",,,,,
345,Monique Coleman,1980-11-13,Walter Jordan ( m.   2012 ),,DePaul University (BFA),"Actress, philanthropist, entrepreneur, dancer, singer","Orangeburg ,  South Carolina , U.S.",,,,,
346,Kim Coles,1962-01-11,Aton Edwards  ( m.  1985–1995) [2] Reggie Mckiver ( m.  2015),,North Carolina Central University,"Actress, comedian, game show host","Brooklyn, New York , U.S. [1]",,,,,
347,Patricia Collinge,1892-09-20,James Nichols Smith (1921-1974; her death),,,Actress,"Dublin , Ireland",,,,,
348,Lily Collins,1989-03-18,,,,Actress model writer,"Guildford ,  Surrey , England",,,,,
349,Lynn Collins,1977-05-16,Steven Strait ( m.  2007;  div.  2013) Matthew Boyle ( m.  2014;  div.  2016),1,Juilliard School (BFA),Actress,"Houston, Texas , U.S.",,,,,
350,Holly Marie Combs,1973-12-03,Bryan Travis Smith ( m.  1993–1997) David Donoho ( m.  2004–2011),3,,Actress  •  television producer,"San Diego, California , U.S.",,,,,
351,Anjanette Comer,1939-08-07,Robert Klane ( m.  1976;  div.  1983),,,Actress,"Dawson, Texas , United States",,,,,
352,Dorothy Comingore,1913-08-24,"
 Richard Meltzer (married ? – ?) 
 Richard J. Collins (married 18 May, 1939–1946) 
 Theodore Strauss (married 1947–1952) 
 John Crowe (married 7 May 1962–1971) 
",2,,Actress,"Los Angeles, California , U.S.",,,,,
353,Betty Compson,1897-03-19,James Cruze  (m.1925-div.1930) Irving Weinberg (m.1933-div.1937) Silvius Jack Gall (m.1944-1962; his death),,,Actress,"Beaver ,  Utah , U.S.",,,,,
354,Julie Condra,1970-12-01,Brandon Douglas  (1992–1995) (divorced) Mark Dacascos  (1998–present),3,,Actress,"Ballinger, Texas",,,,,
355,Michaela Conlin,1978-06-09,,,,Actress,"Allentown, Pennsylvania , United States",,,,,
356,Jennifer Connelly,1970-12-12,Paul Bettany  ( m.  2003),3,,Actress,"Cairo, New York , U.S.",1971-05-27,"London , [a]   England",Actor,Jennifer Connelly  ( m.  2003),3
357,Kristen Connolly,1980-07-12,,,,Actress,"Montclair, New Jersey , U.S.",,,,,
358,Carole Cook,1924-01-14,Tom Troupe  (1964–present),,,Actress,"Abilene, Texas , U.S.",,,,,
359,Rachael Leigh Cook,1979-10-04,Daniel Gillies  ( m.  2004),2,Minneapolis South High School,"Actress, Model, Voice Artist, Producer","Minneapolis ,  Minnesota , U.S.",1976-03-14,"Winnipeg ,  Manitoba , Canada","Actor, screenwriter, director, producer",Rachael Leigh Cook  ( m.  2004),2
360,Jennifer Coolidge,1961-08-28,,,,Actress comedian activist,"Boston ,  Massachusetts , U.S.",,,,,
361,Ellen Corby,1911-06-03,"Francis Corby (1934–1944, divorced)",,,Actress,"Racine ,  Wisconsin , U.S.",,,,,
362,Maddie Corman,1970-08-15,"Roger M. Dickes 1992-1997 
 Jace Alexander  ( m.  1998)",3,,Actress,"Manhattan ,  New York , U.S.",1964-04-07,"New York City , New York, U.S.","Actor, television director",Maddie Corman  ( m.  1998),3
363,Carrie Coon,1981-01-24,Tracy Letts  ( m.  2013),1,,Actress,"Copley, Ohio , U.S.",1965-07-04,"Tulsa, Oklahoma , U.S.","Playwright, screenwriter, actor",Carrie Coon  ( m.  2013),1
364,Miranda Cosgrove,1993-05-14,,,,"
 Actress 
 singer 
","Los Angeles, California , U.S. [1]",,,,,
365,Stephanie Courtney,1970-02-08,Scott Kolanach (m. 2008),,,"Actress, comedian","Stony Point, New York , U.S.",,,,,
366,Jane Cowl,,Adolph Klauber,,,"Actress, playwright","Boston, Massachusetts",,,,,
367,Courteney Cox,1964-06-15,David Arquette ( m.  1999;  div.  2013),1,Mountain Brook High SchoolMount Vernon College,"Actress, film producer, film director","Birmingham, Alabama , U.S.",1971-09-08,"Bentonville, Virginia , U.S.","Actor, film director, film producer, screenwriter, fashion designer, professional wrestler",Courteney Cox ( m.  1999;  div.  2013) Christina McLarty  ( m.  2015),3
368,Laverne Cox,,,,Indiana University BloomingtonMarymount Manhattan College,Actress activist,"Mobile, Alabama , U.S.",,,,,
369,Nikki Cox,1978-06-02,Jay Mohr ( m.  2006;  div.  2018),1,,"Actress, dancer, writer [1]","Los Angeles ,  California  U.S.",1970-08-23,"Verona, New Jersey , United States","Actor ,  stand-up comedian ,  radio host",Nicole Chamberlain ( m.  1998;  div.  2004) Nikki Cox ( m.  2006;  div.  2018),2
370,Yvonne Craig,1937-05-16,Jimmy Boyd ( m.  1960;  div.  1962) Kenneth Aldrich ( m.  1988; died 2015),,,"Actress, dancer","Taylorville, Illinois , U.S.",1939-01-09,"Jayess, Mississippi , U.S.","
 Actor 
 musician 
 singer 
",Yvonne Craig ( m.  1960;  div.  1962) Anne Forrey ( m.  1980;  div.  1984),1
371,Jeanne Crain,1925-05-25,Paul Brinkman ( m.  1946; died 2003),7,,Actress,"Barstow, California , U.S.",,,,,
372,Barbara Crampton,1958-12-27,"
 David Boyd ( m.  1988;  div.  1990) 
 Robert Bleckman ( m.  2000) 
",2,,Actress,"Levittown ,  New York , U.S.",,,,,
373,Norma Crane,1928-11-10,Herb Sargent  (1961-19??; divorced),,,Actress,"New York City, New York , U.S.",,,,,
374,Joan Crawford,1904-03-23,"
 Douglas Fairbanks, Jr. ( m.  1929;  div.  1933) 
 Franchot Tone ( m.  1935;  div.  1939) 
 Phillip Terry ( m.  1942;  div.  1946) 
 Alfred Steele ( m.  1955; died 1959) 
","4, including  Christina Crawford",,"Actress, dancer, business executive","San Antonio ,  Texas , U.S.",1909-12-09,"New York City , U.S.","Actor, naval officer, film producer","May 7, 2000 (2000-05-07)  (aged 90) New York City, U.S.",3
375,Cathy Lee Crosby,1944-12-02,,,,Actress,"Los Angeles ,  California",,,,,
376,Denise Crosby,1957-11-24,Geoffrey Edwards ( m.  1983;  div.  1990) Ken Sylk  ( m.  1995),1,,"Actress, model","Hollywood ,  Los Angeles ,  California , U.S.",,,,,
377,Mary Crosby,1959-09-14,Eb Lottimer ( m.  1978;  div.  1989) Mark Brodka  ( m.  1998),2,,Actress,"Los Angeles ,  California , U.S.",,,,,
378,Marcia Cross,1962-03-25,"Juilliard School  ( BFA ) Antioch University, Los Angeles  ( MS )",2,"Juilliard School (BFA)Antioch University, Los Angeles (MS)",Actress,"Marlborough, Massachusetts , U.S.",,,,,
379,Lindsay Crouse,1948-05-12,David Mamet ( m.  1977;  div.  1990) Rick Blue  ( m.  1998),"2, including  Zosia Mamet",,,"New York City, New York , U.S.",,,,,
380,Suzanne Cryer,1967-01-13,,3,"Yale University (BA, MFA)",Actress,"Rochester, New York , U.S.",,,,,
381,Erin Cummings,1977-07-19,Tom Degnan  ( m.  2016),,,Actress,"Lafayette, Louisiana ,  U.S.",,,,,
382,Quinn Cummings,1967-08-13,"Don DiPietro, technology executive",,,"Author, humorist, actor","Los Angeles ,  California , U.S.",,,,,
383,Kaley Cuoco,1985-11-30,Ryan Sweeting ( m.   2013 ;  div.   2016 ) Karl Cook   ( m.   2018 ),,,"Actress, producer","Camarillo, California , U.S.",,,,,
384,Jane Curtin,1947-09-06,"Sharon, Connecticut , U.S.",1,,"
 Actress 
 comedian 
","Cambridge, Massachusetts , U.S.",,,,,
385,Jamie Lee Curtis,1958-11-22,"Christopher Guest, 5th Baron Haden-Guest  ( m.   1984 )",2,,"Actress, producer, director, author, blogger, activist","Santa Monica, California , U.S.",,,,,
386,Ann Cusack,1961-05-22,,,,Actress,"Manhattan ,  New York , U.S.",,,,,
387,Joan Cusack,1962-10-11,Richard Burke ( m.  1996),2,,"Actress, comedian","New York City ,  New York  U.S.",,,,,
388,Tawny Cypress,1976-08-08,Bill Charles (2000-2004) (divorced) 1 child Tom Dillon (2006-Present),,,Actress,"Point Pleasant ,  New Jersey ,  U.S.",,,,,
389,Miley Cyrus,1992-11-23,Liam Hemsworth  ( m.   2018 ),,,"
 Singer 
 songwriter 
 actress 
","Franklin, Tennessee , U.S.",1990-01-13,"Melbourne , Victoria, Australia",Actor,Miley Cyrus  ( m.  2018) [1],
390,Yaya DaCosta,1982-11-15,Joshua Bee Alafia ( m.  2012; sep. 2015),1,,,"New York City , U.S.",,,,,
391,Alexandra Daddario,1986-03-16,,,,Actress,"New York City , New York, U.S.",,,,,
392,Arlene Dahl,1925-08-11,Lex Barker ( m.  1951;  div.  1952) Fernando Lamas ( m.  1954;  div.  1960) Christian R. Holmes ( m.  1960;  div.  1964) Alexis Lichine ( m.  1964;  div.  1969) Rounsevelle W. Schaum ( m.  1969;  div.  1976) Marc Rosen  ( m.  1984),"3, including  Lorenzo Lamas",,"Actress, businesswoman, columnist","Minneapolis ,  Minnesota , U.S.",1919-05-08,"Rye, New York , U.S.",Actor,Constance Rhodes Thurlow ( m.  1942–1950) Arlene Dahl  ( m.  1951–1952) Lana Turner  ( m.  1953–1957) Irene Labhart ( m.  1959–1962) Tita Cervera  ( m.  1965–1972),3
393,E. G. Daily,1961-09-11,Rick Salomon ( m.  1995;  div.  2000),2,,"Actress, voice actress, singer, comedian","Los Angeles ,  California , U.S.",1969-01-24,"Neptune Township, New Jersey , U.S.","Former producer, poker player","Former producer, poker player",2
394,Tyne Daly,1946-02-21,Georg Stanford Brown ( m.  1966;  div.  1990),3,,Actress,"Madison, Wisconsin , U.S.",1943-06-24,"Havana ,  Cuba","Actor, director",Tyne Daly  (1966–1990),3
395,Dorothy Dandridge,1922-11-09,Harold Nicholas ( m.   1942 ;  div.   1951 ) Jack Denison ( m.   1959 ;  div.  1962),Harolyn Suzanne Nicholas (b.1943; d.2003),,"Actress ,  Singer ,  Dancer","Cleveland, Ohio , U.S.",1921-03-27,"Winston-Salem, North Carolina","dancer, choreographer, actor, theatrical director",Dorothy Dandridge  (1942–51) Elyanne Patronne (19??-????) Rigmor Newman (19??–2000),2
396,Claire Danes,1979-04-12,Hugh Dancy  ( m.  2009),2,Lycée Français de Los Angeles,Actress,"New York City , U.S.",1975-06-19,"Stoke-on-Trent ,  Staffordshire , England","Actor, model",Claire Danes  ( m.  2009),2
397,Shera Danese,1949-10-09,Peter Falk  (1977–2011; his death),,,,"Hartsdale, New York ,  U.S.",,,,,
398,Beverly D'Angelo,1951-11-15,Don Lorenzo Salviati ( m.  1981;  div.  1995),2,,"Actress, singer","Upper Arlington, Ohio , U.S.",,,,,
399,Brittany Daniel,1976-03-17,Adam Touni ( m.  2017) [1],,Gainesville High School,Actress,"Gainesville, Florida , U.S.",,,,,
400,Bebe Daniels,1901-01-14,Ben Lyon ( m.  1930; died 1971),"Barbara Lyon Richard Lyon (adopted, born Bryan Moore)",,"Actress, dancer, singer, producer, writer","Dallas, Texas , U.S.",1901-02-06,"Atlanta, Georgia , U.S.",,Bebe Daniels ( m.  1930; her death 1971) Marian Nixon ( m.  1972; his death 1979),"
 with Bebe: 
 Barbara Lyon 
 Richard Lyon 
"
401,Erin Daniels,1973-10-09,Chris Uettwiller (2009–present),2,,Actress,"St. Louis ,  Missouri ,  U.S.",,,,,
402,Sarah E. Daniels,1989-08-01,Skye Scott,,,"Actress, singer","Orlando, Florida , U.S.",,,,,
403,Blythe Danner,1943-02-03,Bruce Paltrow ( m.  1969; died 2002),"
 Gwyneth Paltrow 
 Jake Paltrow 
",,Actress,"Philadelphia ,  Pennsylvania , U.S.",1943-11-26,"Brooklyn, New York City , U.S.","Film director, producer",Blythe Danner  ( m.  1969),Gwyneth Paltrow Jake Paltrow
404,Patti D'Arbanville,1951-05-25,Roger Miremont ( m.  1975;  div.  1980) Steve Curry ( m.  1980;  div.  1981) Terry Quinn ( m.  1993;  div.  2002),"4, including  Jesse Johnson",,,"Manhattan , New York City, U.S.",,,,,
405,Linda Darnell,1923-10-16,Peverell Marley ( m.  1943;  div.  1951) Phillip Liebmann ( m.  1954;  div.  1955) Merle Roy Robertson ( m.  1957;  div.  1963),1,,"Actress, singer","Dallas ,  Texas ,  U.S.",1899-08-14,"San Jose, California",Cinematographer,Lina Basquette ( m.  1929;  div.  1930) Virginia Ruth McAdoo ( m.  1934;  div.  1940) Linda Darnell ( m.  1943;  div.  1951),
406,Lisa Darr,1963-04-21,Brian Valente ( m.  2005),,,Actress,"Chicago, Illinois , U.S.",,,,,
407,Jane Darwell,1879-10-15,,,,Actress,"Palmyra, Missouri , U.S.",,,,,
408,Stacey Dash,1966-01-20,Brian Lovell (m. 1999; div. mid–2000s) James Maby (m. 2005; div. 2006) Emmanuel Xuereb (m. 2007 or 2009; div. 2011) Jeffrey Marty (m. 2018),2,,Actress Fox News contributor,"The Bronx, New York , U.S.",,,,,
409,Alexa Davalos Dunas,1982-05-28,,,,Actress,"Paris , France",,,,,
410,Amy Davidson,1979-09-15,Kacy Lockwood ( m.  2010),1,,Actress,"Phoenix, Arizona , U.S.",,,,,
411,Ann B. Davis,1926-05-03,,,,Actress,"Schenectady, New York , U.S.",,,,,
412,Bette Davis,1908-04-05,Harmon Nelson ( m.  1932;  div.  1938) Arthur Farnsworth ( m.  1940; died 1943) William Grant Sherry ( m.  1945;  div.  1950) Gary Merrill ( m.  1950;  div.  1960),"3, including  Barbara Sherry",,Actress,"Lowell, Massachusetts , U.S.",,,,,
413,Dana Davis,1978-10-04,,,,"Actress, voice actress, novelist","Davenport, Iowa , U.S.",,,,,
414,Geena Davis,1956-01-21,Richard Emmolo ( m.  1982;  div.  1983) Jeff Goldblum ( m.  1987;  div.  1990) Renny Harlin ( m.  1993;  div.  1998),3,,"Actress, producer, writer, athlete, model","Wareham, Massachusetts , U.S.",,,,,
415,Hope Davis,1964-03-23,Ford Evanson ( m.  1989;  div.  1996) Jon Patrick Walker  ( m.  2000),2,,"Actress, Singer","Englewood, New Jersey , U.S.",,,,,
416,Josie Davis,1973-01-16,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
417,Kristin Davis,1965-02-23,,2,,"Actress, producer","Boulder, Colorado , U.S.",,,,,
418,Phyllis Davis,1940-07-17,,,,Actress,"Port Arthur, Texas , U.S.",,,,,
419,Viola Davis,1965-08-11,Rhode Island College  ( BA ) Juilliard School  ( GrDip ),1,Rhode Island College (BA)Juilliard School (GrDip),"Actress, producer","St. Matthews, South Carolina , U.S.",,,,,
420,Embeth Davidtz,1965-08-11,Jason Sloane ( m.  2002),2,,Actress,"Lafayette, Indiana , U.S.",,,,,
421,Pam Dawber,1951-10-18,Mark Harmon  ( m.  1987),2,,"Actress, producer, singer","Detroit ,  Michigan , U.S.",1951-09-02,"Burbank, California , U.S.","Actor ,  television producer ,  television director",Pam Dawber  ( m.  1987),2
422,Rosario Dawson,1979-05-09,,1,,Actress producer writer,"New York City ,  New York , U.S.",,,,,
423,Roxann Dawson,,Casey Biggs ( m.  1985;  div.  1987) Eric Dawson  ( m.  1994),,,"Actor, director, producer, writer","Los Angeles ,  California , U.S.",1955-04-04,"Toledo, Ohio , U.S.",Actor,"Roxann Dawson ( m.  1985; Div. 1987) 
 Brigit Binns  ( m.  2004)",
424,Doris Day,1922-04-03,Al Jorden ( m.  1941;  div.  1943) George Weidler ( m.  1946;  div.  1949) Martin Melcher ( m.  1951; died 1968) Barry Comden ( m.  1976;  div.  1981),Terry Melcher,,"Actress, Singer, animal rights activist","Cincinnati, Ohio , U.S.",,,,,
425,Felicia Day,1979-06-28,,1,,Actress writer producer,"Huntsville, Alabama , U.S.",,,,,
426,Marceline Day,1908-04-24,Arthur J. Klein (1930–19??; divorced)  John Arthur (1959–?),,,Actress,"Colorado Springs, Colorado , U.S.",,,,,
427,Priscilla Dean,1896-11-25,"Leslie P. Arnold  (October 6, 1928-19??) Wheeler Oakman  (1920-1926; divorced)",,,Actress,"Manhattan, New York City , U.S.",,,,,
428,Yvonne De Carlo,1922-09-01,Robert Drew Morgan ( m.  1955;  div.  1973),2,,"Actress, dancer, singer","Vancouver ,  British Columbia , Canada",,,,,
429,Brooklyn Decker,1987-04-12,Andy Roddick  ( m.   2009 ),2,,,"Kettering, Ohio , U.S.",,,,,
