,age,age_diff,zodiac,zodiac_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geo_distance,age_m_1,age_m_sp_1
134,70.35754596311341,0.4766356358881447,5.583222811671088,5.688524590163935,2.310054482417038,2.2444113263785397,4.0,2.5119418483904465,12066431.412524851,30.055906821963394,28.60024154589372
135,40.79481440412878,0.4766356358881447,6.0,5.688524590163935,1.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,36.0,28.60024154589372
136,123.99433253249552,-6.286234488045612,4.0,7.0,2.0,3.0,1.0,5.0,20000000.0,25.0,19.0
137,71.27593311293181,0.4766356358881447,1.0,5.688524590163935,4.0,2.2444113263785397,2.0,2.5119418483904465,12066431.412524851,58.0,28.60024154589372
138,50.6978240484062,-1.9028453698570127,8.0,6.0,1.0,1.0,4.0,2.0,5003530.0,29.0,27.0
139,55.519278287712964,0.4766356358881447,10.0,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,44.0,28.60024154589372
140,40.71267719391911,-8.38347125539881,7.0,0.0,1.0,1.0,4.0,1.0,20000000.0,38.0,22.0
141,90.7917342587459,0.4766356358881447,6.0,5.688524590163935,4.0,2.2444113263785397,4.0,2.5119418483904465,12066431.412524851,28.0,28.60024154589372
142,81.8360404388865,0.4766356358881447,6.0,5.688524590163935,8.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,22.0,28.60024154589372
143,82.10435532557136,-21.164021164021165,3.0,5.0,4.0,4.0,4.0,1.0,20000000.0,55.0,26.0
144,110.21992238033636,-11.408858498121116,1.0,6.0,3.0,3.0,1.0,3.0,5003530.0,32.0,21.0
145,68.73515541044647,0.4766356358881447,7.0,5.688524590163935,1.0,2.2444113263785397,5.0,2.5119418483904465,12066431.412524851,23.0,28.60024154589372
146,69.3730877430748,0.4766356358881447,0.0,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,35.0,28.60024154589372
