,name,bday,sex,age,age_diff,zodiac,zodiac_sp,num_of_m,num_of_m_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geohash,geo_distance,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1,divorce
20450,Bryant Washburn,1889-04-28,M,130.02320376188422,,4.0,,,,,,1.0,,dp3wjzt,,,,,,
20451,Blue Washington,,M,,,,,,,,,2.0,,9q5ctr1,,,,,,
20452,Carl Washington,1978-12-18,M,40.38412835308048,,11.0,,,,,,4.0,,9q5ctr1,,,,,,
20453,Denzel Washington,1954-12-28,M,64.35724210627185,,0.0,,1.0,,4.0,,3.0,,dr72xzc,,29.0,,,,0.0
20454,Isaiah Washington,1963-08-03,M,55.760214104327936,,7.0,,1.0,,3.0,,1.0,,9vk1mc9,,33.0,,,,0.0
20455,Jascha Washington,1989-06-21,M,29.876041260258603,,6.0,,,,,,2.0,,9q6zr5b,,,,,,
20456,Vernon Washington,1927-08-10,M,91.74178799017092,,7.0,,,,,,,,drkmd70,,,,,,
20457,Ted Wass,1952-10-27,M,66.52566445580676,,10.0,,,,2.0,,3.0,,dpmgfxs,,,,,,
20586,Jerry Wasserman,1945-11-02,M,73.51006523063444,,10.0,,,,,,,,dngykys,,,,,,
20587,Craig Wasson,1954-03-15,M,65.14575932428454,,2.0,,,,,,1.0,,9rb6x56,,,,,,
20588,Gedde Watanabe,1955-06-26,M,63.86441884501394,,6.0,,,,,,2.0,,9x26ebr,,,,,,
20589,Willard Waterman,1914-08-29,M,104.68935022621956,,8.0,,,,,,,,dp8mj9h,,,,,,
20590,Derek Waters,1979-07-30,M,39.77083718351506,,7.0,,,,,,3.0,,dr182du,,,,,,
20591,James Waterston,1969-01-17,M,50.300827532392866,,0.0,,1.0,,,,,,dr5regw,,31.0,,,,0.0
20592,Sam Waterston,1940-11-15,M,78.47389063430461,,10.0,,2.0,,4.0,,5.0,,drt3jcg,,24.0,35.0,,,1.0
20593,Pierre Watkin,1889-12-29,M,129.35241654517205,,0.0,,,,,,,,9ze3y20,,,,,,
