,divorce
7149,0.0
7151,0.0
7153,0.0
7155,0.0
7162,0.0
7163,1.0
7165,1.0
7315,0.0
7316,1.0
7320,0.0
7322,0.0
7415,0.0
7428,1.0
7437,0.0
7441,0.0
7447,0.0
7449,1.0
7450,0.0
7451,1.0
7456,0.0
7460,1.0
7464,0.0
7468,1.0
7470,1.0
7472,1.0
7476,0.0
7477,1.0
7478,1.0
7480,0.0
7482,1.0
7483,0.0
7492,0.0
7494,1.0
7500,0.0
7584,0.0
7593,0.0
7600,0.0
7603,0.0
7606,0.0
7610,1.0
7611,1.0
7614,0.0
7617,1.0
7619,0.0
7631,0.0
7632,0.0
7637,0.0
7639,1.0
7647,1.0
7656,1.0
7657,0.0
7674,0.0
7675,0.0
7826,0.0
7834,0.0
7835,0.0
7836,0.0
7837,0.0
7844,1.0
7849,1.0
7853,1.0
7857,0.0
7859,1.0
7864,0.0
7867,0.0
7878,1.0
7884,0.0
7887,1.0
7889,1.0
7895,1.0
7897,0.0
7901,1.0
7909,1.0
7911,0.0
7917,0.0
7922,1.0
7923,0.0
7926,0.0
7928,0.0
7931,0.0
7936,1.0
7939,0.0
7944,1.0
7945,1.0
7947,0.0
7948,0.0
7955,0.0
7961,0.0
7962,1.0
7964,1.0
7967,0.0
7969,0.0
7970,1.0
7972,1.0
7974,0.0
7978,1.0
7986,0.0
7992,0.0
7993,0.0
7994,1.0
7997,0.0
8001,0.0
8014,1.0
8015,0.0
8016,0.0
8023,0.0
8024,1.0
8031,0.0
8187,1.0
8189,0.0
8190,1.0
8193,0.0
8198,0.0
8203,0.0
8204,1.0
8208,0.0
8213,0.0
8214,0.0
8217,0.0
8221,1.0
8222,1.0
8229,0.0
8243,0.0
8244,0.0
8248,0.0
8255,0.0
8264,0.0
8265,0.0
8266,1.0
8280,0.0
8292,0.0
8298,1.0
8305,1.0
8307,0.0
8309,0.0
8342,1.0
8343,0.0
8349,1.0
8357,0.0
8364,0.0
8373,1.0
8391,1.0
8408,0.0
8410,1.0
8420,1.0
8421,1.0
8427,1.0
8430,0.0
8431,1.0
8432,1.0
8444,0.0
8446,0.0
8457,0.0
8460,1.0
8463,0.0
8465,1.0
8466,1.0
8470,0.0
8475,1.0
8484,1.0
8487,0.0
8491,0.0
8492,0.0
8493,0.0
8498,0.0
8499,1.0
8500,1.0
8501,0.0
8503,0.0
8507,1.0
8516,0.0
8517,1.0
8518,1.0
8521,1.0
8527,0.0
8528,1.0
8529,0.0
8532,0.0
8533,1.0
8537,1.0
8538,0.0
8539,0.0
8547,0.0
8554,1.0
8556,1.0
8557,1.0
8560,0.0
8561,1.0
8567,0.0
8573,0.0
8791,0.0
8792,1.0
8805,1.0
8808,0.0
8810,0.0
8818,0.0
8819,1.0
8822,1.0
8823,1.0
8825,1.0
8827,1.0
8829,1.0
8831,1.0
8832,0.0
8834,1.0
8839,0.0
8840,0.0
8845,0.0
8848,1.0
8860,0.0
8864,0.0
8870,1.0
8872,1.0
8874,0.0
8875,0.0
8878,0.0
8882,0.0
8883,0.0
8895,0.0
8897,1.0
8900,1.0
8907,0.0
8908,1.0
8913,1.0
8914,1.0
8915,0.0
8918,1.0
8925,0.0
8927,0.0
9042,1.0
9048,0.0
9050,1.0
9051,1.0
9055,0.0
9060,1.0
9064,0.0
9066,0.0
9071,0.0
9076,0.0
9079,0.0
9082,1.0
9083,1.0
9084,1.0
9088,0.0
9265,0.0
9589,1.0
9599,1.0
9600,0.0
9601,0.0
9602,0.0
9604,0.0
9773,1.0
9774,0.0
9775,0.0
9776,0.0
9953,0.0
9954,1.0
10073,0.0
10074,0.0
10081,1.0
10084,1.0
10087,1.0
10092,1.0
10093,1.0
10094,0.0
10096,1.0
10101,1.0
10108,1.0
10110,1.0
10111,0.0
10122,1.0
10258,0.0
10269,1.0
10270,0.0
10279,0.0
10282,1.0
10285,1.0
10286,0.0
10292,0.0
10294,1.0
10295,0.0
10529,0.0
10534,1.0
10537,1.0
10539,1.0
10545,1.0
10548,0.0
10552,0.0
10554,1.0
10558,0.0
10564,1.0
10565,0.0
10567,1.0
10573,1.0
10575,1.0
10576,0.0
10578,0.0
10580,0.0
10581,1.0
10601,1.0
10602,1.0
10603,1.0
10607,0.0
10608,1.0
10609,1.0
10627,0.0
10633,0.0
10634,0.0
10639,1.0
10815,0.0
10931,1.0
10936,1.0
10938,0.0
10939,1.0
10943,1.0
10945,1.0
10948,1.0
10952,1.0
10953,0.0
10956,0.0
10962,0.0
10973,0.0
10978,1.0
10980,1.0
10981,0.0
10984,1.0
10988,1.0
11002,1.0
11004,0.0
11006,0.0
11012,0.0
11013,1.0
11020,1.0
11022,1.0
11028,1.0
11030,0.0
11031,1.0
11033,1.0
11034,1.0
11041,1.0
11044,0.0
11046,0.0
11049,0.0
11051,0.0
11055,1.0
11057,1.0
11059,1.0
11063,1.0
11072,1.0
11074,1.0
11076,1.0
11085,0.0
11086,1.0
11088,1.0
11091,0.0
11094,1.0
11100,0.0
11103,1.0
11108,0.0
11112,1.0
11117,0.0
11124,0.0
11126,1.0
11129,0.0
11130,0.0
11131,1.0
11132,1.0
11141,1.0
11142,1.0
11153,1.0
11154,1.0
11155,0.0
11156,1.0
11157,0.0
11160,0.0
11161,0.0
11162,1.0
11165,0.0
11167,1.0
11169,0.0
11172,0.0
11176,0.0
11180,1.0
11181,1.0
11182,1.0
11329,0.0
11338,1.0
11341,0.0
11347,0.0
11355,1.0
11477,0.0
11479,0.0
11481,0.0
11497,1.0
11504,1.0
11518,1.0
11523,1.0
11526,0.0
11689,0.0
11691,1.0
11692,0.0
11696,0.0
11735,0.0
11739,0.0
11742,0.0
11745,0.0
11753,0.0
11755,0.0
11756,1.0
11758,1.0
11759,0.0
11763,1.0
11767,1.0
11772,0.0
11773,1.0
11775,0.0
11778,0.0
11779,0.0
11782,0.0
11783,0.0
11785,0.0
11798,1.0
11804,1.0
11812,0.0
11815,1.0
11817,0.0
11824,0.0
11828,1.0
11835,1.0
11847,1.0
11852,0.0
11855,0.0
11862,0.0
11864,1.0
11869,1.0
11872,1.0
11876,0.0
11880,0.0
11883,1.0
11884,0.0
11887,0.0
11889,1.0
11890,1.0
11894,1.0
11903,1.0
11904,0.0
11912,1.0
11921,0.0
11922,1.0
11923,0.0
11926,0.0
11932,1.0
11938,1.0
11945,1.0
11948,1.0
11949,1.0
11950,0.0
11955,0.0
11961,0.0
11962,1.0
11963,1.0
11964,1.0
11965,1.0
11966,1.0
11967,0.0
11971,1.0
11973,0.0
11975,0.0
11976,0.0
11978,1.0
11981,0.0
11995,0.0
12000,0.0
12009,1.0
12015,0.0
12017,0.0
12018,0.0
12019,1.0
12024,0.0
12038,0.0
12039,0.0
12215,0.0
12217,0.0
12218,0.0
12316,1.0
12317,0.0
12318,0.0
12323,1.0
12326,0.0
12327,0.0
12328,1.0
12331,1.0
12343,1.0
12349,0.0
12359,1.0
12367,0.0
12370,1.0
12373,1.0
12375,1.0
12385,0.0
12390,0.0
12517,0.0
12522,0.0
12524,1.0
12531,0.0
12534,1.0
12537,1.0
12538,0.0
12553,0.0
12555,0.0
12566,1.0
12567,1.0
12573,0.0
12577,1.0
12585,1.0
12593,1.0
12600,0.0
12603,1.0
12608,1.0
12611,0.0
12612,1.0
12625,1.0
12637,1.0
12649,0.0
12658,1.0
12671,1.0
12675,0.0
12677,1.0
12685,0.0
12703,0.0
12719,0.0
12722,1.0
12725,0.0
12726,1.0
12738,1.0
12740,1.0
12743,0.0
12745,0.0
12749,1.0
12753,1.0
12754,1.0
12756,0.0
12770,1.0
12771,0.0
12774,1.0
12780,1.0
12782,1.0
12788,1.0
12790,1.0
12791,1.0
12792,1.0
12796,1.0
12797,0.0
12811,1.0
12821,0.0
12822,1.0
12824,1.0
12825,0.0
12830,1.0
12831,1.0
12836,0.0
12838,1.0
12846,1.0
12852,0.0
12854,0.0
12856,0.0
12858,0.0
12859,1.0
12860,0.0
12861,1.0
12863,1.0
12871,0.0
12875,1.0
12876,1.0
12884,1.0
12888,0.0
12889,0.0
12894,0.0
12898,1.0
12905,1.0
12906,1.0
12909,0.0
13115,1.0
13118,1.0
13119,1.0
13122,1.0
13125,0.0
13127,1.0
13129,0.0
13133,0.0
13134,0.0
13135,0.0
13136,0.0
13141,0.0
13145,1.0
13149,1.0
13152,1.0
13153,0.0
13155,1.0
13162,1.0
13164,1.0
13166,0.0
13171,1.0
13174,1.0
13175,1.0
13181,1.0
13182,0.0
13187,0.0
13189,1.0
13192,1.0
13194,1.0
13197,0.0
13203,0.0
13207,0.0
13209,0.0
13215,0.0
13218,1.0
13219,0.0
13223,0.0
13224,1.0
13235,1.0
13239,1.0
13240,1.0
13242,0.0
13249,0.0
13250,1.0
13257,1.0
13259,1.0
13262,0.0
13394,1.0
13395,1.0
13402,1.0
13403,1.0
13409,0.0
13412,0.0
13418,0.0
13419,0.0
13421,0.0
13423,0.0
13424,1.0
13425,1.0
13432,1.0
13588,1.0
13592,0.0
13594,1.0
13597,1.0
13601,1.0
13603,1.0
13607,0.0
13692,0.0
13696,0.0
13699,1.0
13700,0.0
13702,0.0
13704,0.0
13705,1.0
13706,0.0
13710,1.0
13712,0.0
13715,0.0
13722,0.0
13730,1.0
13733,0.0
13734,0.0
13736,0.0
13738,1.0
13743,1.0
13744,1.0
13755,1.0
13757,0.0
13766,1.0
13770,0.0
13773,0.0
13778,1.0
13779,0.0
13781,1.0
13782,1.0
14082,1.0
14084,0.0
14091,0.0
14096,1.0
14097,1.0
14099,1.0
14110,1.0
14127,1.0
14427,0.0
14432,1.0
14439,0.0
14443,1.0
14447,0.0
14448,0.0
14454,1.0
14457,0.0
14460,0.0
14465,0.0
14466,0.0
14468,0.0
14474,0.0
14475,0.0
14631,1.0
14643,1.0
14644,0.0
14648,0.0
14771,0.0
14772,0.0
14777,1.0
14779,1.0
14780,0.0
14786,1.0
14787,1.0
14797,1.0
14799,0.0
14803,0.0
14806,0.0
14809,1.0
14812,1.0
14819,0.0
14825,0.0
14967,1.0
14971,0.0
14979,0.0
14983,1.0
14985,1.0
14987,1.0
14989,0.0
14991,1.0
14995,1.0
15005,1.0
15007,0.0
15181,0.0
15190,0.0
15229,1.0
15231,1.0
15237,1.0
15246,0.0
15248,1.0
15249,1.0
15253,0.0
15257,0.0
15264,1.0
15267,1.0
15271,1.0
15275,1.0
15278,0.0
15290,1.0
15302,0.0
15303,1.0
15305,1.0
15308,1.0
15313,0.0
15316,0.0
15318,1.0
15323,1.0
15325,0.0
15326,0.0
15329,0.0
15332,1.0
15335,1.0
15340,0.0
15341,0.0
15347,1.0
15350,1.0
15356,0.0
15358,0.0
15366,1.0
15367,1.0
15370,1.0
15381,0.0
15382,1.0
15384,0.0
15399,1.0
15400,0.0
15404,0.0
15409,0.0
15410,1.0
15413,0.0
15414,1.0
15422,0.0
15425,1.0
15426,0.0
15427,0.0
15428,0.0
15431,0.0
15435,1.0
15438,0.0
15439,0.0
15446,1.0
15448,1.0
15450,1.0
15452,0.0
15455,1.0
15457,1.0
15460,1.0
15465,1.0
15466,1.0
15467,0.0
15469,1.0
15471,0.0
15472,0.0
15479,0.0
15480,1.0
15481,0.0
15482,1.0
15485,0.0
15486,1.0
15494,0.0
15498,0.0
15500,0.0
15503,0.0
15506,1.0
15507,0.0
15516,1.0
15524,0.0
15529,1.0
15530,1.0
15532,0.0
15533,1.0
15534,0.0
15537,0.0
15544,0.0
15545,0.0
15550,0.0
15719,0.0
15720,0.0
15724,0.0
15727,0.0
15728,1.0
15802,0.0
15803,0.0
15805,0.0
15807,1.0
15817,1.0
15823,0.0
15830,1.0
15835,0.0
15839,1.0
15840,0.0
15843,1.0
15846,0.0
15849,1.0
15850,1.0
15852,1.0
15858,1.0
15859,0.0
15867,0.0
15871,0.0
15874,1.0
15879,0.0
15887,1.0
15891,0.0
15894,1.0
15896,0.0
15897,1.0
15898,0.0
15899,0.0
16062,1.0
16064,1.0
16068,0.0
16070,1.0
16882,1.0
16884,0.0
16886,1.0
16887,0.0
16895,1.0
16896,1.0
16901,1.0
16907,1.0
16996,1.0
16997,1.0
16999,1.0
17007,1.0
17022,1.0
17023,0.0
17026,0.0
17029,0.0
17035,0.0
17054,0.0
17056,0.0
17058,0.0
17059,1.0
17071,0.0
17075,0.0
17078,1.0
17079,1.0
17080,1.0
17093,0.0
17103,1.0
17104,1.0
17107,0.0
17110,0.0
17119,1.0
17120,1.0
17136,0.0
17138,1.0
17145,0.0
17146,0.0
17155,1.0
17158,0.0
17159,1.0
17160,0.0
17163,1.0
17165,1.0
17168,1.0
17169,1.0
17172,0.0
17173,0.0
17180,1.0
17187,0.0
17188,1.0
17192,1.0
17213,0.0
17218,0.0
17224,0.0
17226,1.0
17235,1.0
17237,1.0
17240,0.0
17409,1.0
17411,0.0
17412,1.0
17414,0.0
17418,0.0
17422,0.0
17427,0.0
17438,0.0
17439,1.0
17443,1.0
17444,1.0
17448,1.0
17454,0.0
17467,1.0
17468,1.0
17472,0.0
17473,0.0
17475,0.0
17477,1.0
17485,1.0
17487,0.0
17489,0.0
17490,1.0
17492,1.0
17496,0.0
17517,0.0
17518,0.0
17522,0.0
17537,1.0
17548,0.0
17551,0.0
17552,0.0
17553,0.0
17557,0.0
17558,1.0
17560,1.0
17566,1.0
17570,1.0
17684,1.0
17687,0.0
17694,1.0
17695,0.0
17701,0.0
17708,0.0
17709,1.0
17711,1.0
17712,0.0
17719,0.0
17721,1.0
17723,1.0
17724,1.0
17725,0.0
17726,0.0
17734,0.0
17737,0.0
17744,0.0
17746,1.0
17747,0.0
17750,0.0
17752,0.0
17756,1.0
17760,0.0
17766,1.0
17774,1.0
17779,1.0
17780,0.0
17781,0.0
17788,1.0
17790,0.0
17794,1.0
17799,0.0
17804,1.0
17805,0.0
17817,1.0
17821,1.0
17828,0.0
17834,1.0
17836,1.0
17837,0.0
17842,0.0
17845,1.0
17847,0.0
17850,0.0
17851,0.0
17852,1.0
17860,0.0
17861,0.0
17863,1.0
17867,1.0
17877,0.0
17879,0.0
17889,1.0
17899,0.0
17903,0.0
17908,1.0
17909,1.0
17918,1.0
17919,1.0
17920,0.0
17926,0.0
17928,0.0
17938,0.0
17963,0.0
17964,0.0
17968,1.0
17976,1.0
17977,1.0
17978,0.0
17979,1.0
17991,1.0
18003,1.0
18006,0.0
18007,1.0
18011,1.0
18028,0.0
18030,0.0
18032,0.0
18038,0.0
18041,0.0
18046,1.0
18050,1.0
18055,1.0
18060,0.0
18069,0.0
18070,0.0
18140,1.0
18143,1.0
18164,0.0
18169,0.0
18172,0.0
18174,1.0
18180,1.0
18184,1.0
18187,1.0
18192,0.0
18196,0.0
18209,0.0
18235,0.0
18239,0.0
18245,0.0
18248,0.0
18249,1.0
18251,0.0
18355,1.0
18360,1.0
18361,0.0
18363,1.0
18364,1.0
18367,0.0
18371,0.0
18376,1.0
18380,0.0
18384,0.0
18385,0.0
18388,0.0
18390,1.0
18393,1.0
18394,0.0
18396,0.0
18402,0.0
18408,1.0
18413,1.0
18415,1.0
18416,1.0
18417,0.0
18419,1.0
18436,0.0
18437,1.0
18439,0.0
18444,1.0
18445,1.0
18450,1.0
18454,0.0
18459,1.0
18461,1.0
18468,0.0
18469,1.0
18473,0.0
18475,1.0
18476,1.0
18484,0.0
18485,0.0
18486,1.0
18487,0.0
18498,1.0
18503,1.0
18504,1.0
18514,1.0
18520,0.0
18521,1.0
18526,0.0
18528,1.0
18530,1.0
18531,0.0
18533,1.0
18534,0.0
18538,1.0
18540,0.0
18544,0.0
18546,0.0
18547,1.0
18550,0.0
18561,0.0
18562,0.0
18570,1.0
18571,0.0
18576,0.0
18585,0.0
18588,0.0
18592,0.0
18693,0.0
18697,0.0
18703,1.0
18707,1.0
18714,0.0
18716,1.0
18725,1.0
18728,1.0
18729,0.0
18730,0.0
18731,0.0
18740,1.0
18742,0.0
18743,0.0
18755,0.0
18756,0.0
18762,1.0
18766,1.0
18840,0.0
18845,0.0
18846,0.0
18860,1.0
18861,1.0
18863,0.0
18866,0.0
18868,0.0
18869,1.0
18878,1.0
18881,0.0
18884,1.0
18890,1.0
18891,0.0
18897,1.0
18899,1.0
18903,1.0
18925,1.0
18926,1.0
18927,0.0
18928,1.0
18929,1.0
18930,0.0
18937,0.0
19193,1.0
19201,1.0
19209,0.0
19215,1.0
19217,1.0
19220,1.0
19221,0.0
19222,1.0
19223,0.0
19226,0.0
19227,1.0
19236,0.0
19240,1.0
19249,1.0
19256,0.0
19258,1.0
19261,0.0
19263,0.0
19269,0.0
19270,0.0
19272,1.0
19274,0.0
19420,1.0
19423,0.0
19426,1.0
19428,1.0
19432,1.0
19436,1.0
19439,0.0
19445,0.0
19446,1.0
19783,1.0
19784,0.0
19952,1.0
20391,0.0
20400,1.0
20403,1.0
20406,1.0
20408,0.0
20412,0.0
20416,0.0
20418,0.0
20421,0.0
20422,1.0
20428,0.0
20436,0.0
20439,0.0
20441,1.0
20443,0.0
20447,1.0
20453,0.0
20454,0.0
20591,0.0
20592,1.0
20596,1.0
20610,0.0
20616,1.0
20622,1.0
20623,1.0
20952,1.0
20956,1.0
20959,0.0
20963,1.0
20965,1.0
21161,0.0
21166,0.0
21167,1.0
21168,1.0
21169,0.0
21172,1.0
21175,0.0
21179,1.0
21180,1.0
21186,0.0
21193,1.0
21194,0.0
21200,0.0
21202,0.0
21214,0.0
21221,0.0
21222,1.0
21229,1.0
21235,0.0
21237,1.0
21238,0.0
21243,0.0
21257,0.0
21259,1.0
21272,1.0
21273,0.0
21286,1.0
21287,1.0
21289,1.0
21296,0.0
21303,1.0
21308,0.0
21312,0.0
21321,0.0
21325,0.0
21328,0.0
21329,1.0
21339,0.0
21345,0.0
21348,1.0
21351,1.0
21357,1.0
21364,0.0
21369,1.0
21371,0.0
21377,0.0
21382,1.0
21384,0.0
21389,1.0
21391,0.0
21394,1.0
21398,1.0
21399,1.0
21403,1.0
21404,1.0
21407,0.0
21426,0.0
21435,1.0
21438,0.0
21444,1.0
21446,0.0
21469,0.0
21470,1.0
21659,0.0
21752,1.0
21762,0.0
21764,1.0
