,Unnamed: 0,Unnamed: 0.1,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp,name_spouse_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_spouse_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,birthplace,birthplace_sp,birthplace,birthplace_sp,geohash,geohash_sp,zodiac,zodiac_sp
38,38,38,June Allyson,1917-10-07,Dick Powell ( m.  1945; died 1963) Alfred Glenn Maxwell ( m.  1963;  div.  1965) ( m.  1966;  div.  1970) David Ashrow  ( m.  1976),2,,"Actress, dancer, singer","The Bronx , New York, U.S.",1904-11-14,"Mountain View, Arkansas , U.S.","Actor, singer, producer, director","Actor, singer, producer, director",4,12.895542002915873,101.49968856307794,114.39523056599384,"['Dick Powell', 'Alfred Glenn Maxwell', '', 'David Ashrow']","[1945, 1963, 1966, 1976]","[1965, 1970]",,,,2.0,4.0,"['Dick Powell', 'Alfred Glenn Maxwell', '', 'David Ashrow']",4.0,,,3.0,3.0,"The Bronx , New York, U.S.","Mountain View, Arkansas , U.S.","The Bronx , New York, U.S.","Mountain View, Arkansas , U.S.",dr5regw,,9.0,10.0
39,39,39,Daniella Alonso,1978-09-22,"Actress, fashion model",,,"Actress, fashion model","New York City , U.S.",,,,,,,40.54018905247883,,,,,,,,,,,,,,3.0,1.0,"New York City , U.S.",,"New York City , U.S.",,dr5regw,,8.0,
40,40,40,Trini Alvarado,1967-01-10,Robert McNeill,,,Actress,"New York City , U.S.",,,,,,,52.239265693340734,,,,,,,,,,,,,,1.0,4.0,"New York City , U.S.",,"New York City , U.S.",,9r4bfvn,,0.0,
41,41,41,,1978-02-20,,2,,"Actress, singer",,,,,,,,41.126101151974375,,,,,,,,2.0,,,,,,2.0,4.0,,,,,9y69ubw,,2.0,
42,42,42,Mädchen Amick,1970-12-12,David Alexis ( m.  1992),2,,"Actress, director, writer","Sparks, Nevada , U.S.",,,,,,,48.31858285933318,,['David Alexis'],[1992],,,,,2.0,,['David Alexis'],1.0,,,3.0,6.0,"Sparks, Nevada , U.S.",,"Sparks, Nevada , U.S.",,dr5regw,,11.0,
43,43,43,Suzy Amis Cameron,1962-01-05,Sam Robards ( m.  1986;  div.  1994) James Cameron  ( m.  2000),4,,"Actress,  model","Oklahoma City ,  Oklahoma , U.S.",1961-12-16,"New York City , U.S.",Actor,Suzy Amis Cameron ( m.  1986;  div.  1994) Sidsel Jensen  ( m.  1997),3,0.05475814013977015,57.25237342313668,57.307131563276464,"['Sam Robards', 'James Cameron']","[1986, 2000]",[1994],"['Suzy Amis Cameron', 'Sidsel Jensen']","[1986, 1997]",[1994],4.0,3.0,"['Sam Robards', 'James Cameron']",2.0,"['Suzy Amis Cameron', 'Sidsel Jensen']",2.0,2.0,1.0,"Oklahoma City ,  Oklahoma , U.S.","New York City , U.S.","Oklahoma City ,  Oklahoma , U.S.","New York City , U.S.",8e935wh,,0.0,11.0
44,44,44,Eva Amurri Martino,1985-03-15,Kyle Martino  ( m.  2011),2,,Actress,"New York City , U.S.",,,,,,,34.06230107394402,,['Kyle Martino'],[2011],,,,,2.0,,['Kyle Martino'],1.0,,,1.0,2.0,"New York City , U.S.",,"New York City , U.S.",,dp8mj9h,,2.0,
45,45,45,Kristina Anapau,1979-10-30,,,,"Actress, writer","Hawaii , U.S.",,,,,,,39.436812528662465,,,,,,,,,,,,,,2.0,5.0,"Hawaii , U.S.",,"Hawaii , U.S.",,dp3wjzt,,10.0,
46,46,46,Andrea Anders,1975-05-10,Matt LeBlanc  (2006–2015),,,Actress,"Madison, Wisconsin , U.S.",,,,,,,43.910552578081685,,,,,,,,,,,,,,1.0,5.0,"Madison, Wisconsin , U.S.",,"Madison, Wisconsin , U.S.",,9zvz9xt,,4.0,
47,47,47,Gillian Anderson,1968-08-09,Clyde Klotz ( m.  1994;  div.  1997) Julian Ozanne ( m.  2004;  div.  2006),3,DePaul University (BFA),"Actress, writer, producer, director","Chicago ,  Illinois , U.S.",1961-06-08,Canada,"Art director, production designer",Gillian Anderson ( m.  1994;  div.  1997),1,7.1705784513029025,50.65949335030836,57.83007180161126,"['Clyde Klotz', 'Julian Ozanne']","[1994, 2004]","[1997, 2006]",['Gillian Anderson'],[1994],[1997],3.0,1.0,"['Clyde Klotz', 'Julian Ozanne']",2.0,['Gillian Anderson'],1.0,4.0,1.0,"Chicago ,  Illinois , U.S.",Canada,"Chicago ,  Illinois , U.S.",Canada,djfq8tf,,7.0,5.0
48,48,48,Loni Anderson,1945-08-05,Bruce Hasselberg ( m.  1964;  div.  1966) Ross Bickell ( m.  1973;  div.  1981) Burt Reynolds ( m.  1988;  div.  1993) Bob Flick  ( m.  2008),2,,Actress,"Saint Paul ,  Minnesota , U.S.",,,,,,,73.67160174404677,,"['Bruce Hasselberg', 'Ross Bickell', 'Burt Reynolds', 'Bob Flick']","[1964, 1973, 1988, 2008]","[1966, 1981, 1993]",,,,2.0,,"['Bruce Hasselberg', 'Ross Bickell', 'Burt Reynolds', 'Bob Flick']",4.0,,,1.0,6.0,"Saint Paul ,  Minnesota , U.S.",,"Saint Paul ,  Minnesota , U.S.",,c3x297q,,7.0,
49,49,49,Mary Anderson,1918-04-03,Leonard M. Behrens ( m.  1940;  div.  1950) Leon Shamroy ( m.  1953; died 1974),1,,Actress,"Birmingham, Alabama , U.S.",,,,,,,101.012341115834,,"['Leonard M Behrens', 'Leon Shamroy']","[1940, 1953]",[1950],,,,1.0,,"['Leonard M Behrens', 'Leon Shamroy']",2.0,,,1.0,6.0,"Birmingham, Alabama , U.S.",,"Birmingham, Alabama , U.S.",,dp69w5e,,3.0,
50,50,50,Melody Anderson,1955-12-03,,,,"Actress ,  social worker work ,  public speaker","Edmonton, Alberta , Canada",,,,,,,63.34421651368611,,,,,,,,,,,,,,8.0,1.0,"Edmonton, Alberta , Canada",,"Edmonton, Alberta , Canada",,9q5f28d,,11.0,
51,51,51,Nicole Gale Anderson,1990-08-29,,,,Actress,"Rochester, Indiana , U.S.",,,,,,,28.605652409015928,,,,,,,,,,,,,,1.0,1.0,"Rochester, Indiana , U.S.",,"Rochester, Indiana , U.S.",,9q5ctr1,,8.0,
52,52,52,Jennifer Aniston,1969-02-11,Brad Pitt ( m.  2000;  div.  2005) Justin Theroux ( m.  2015;  sep.  2017),,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Actress film producer businesswoman,"Sherman Oaks, California , U.S.",1963-12-18,"Shawnee, Oklahoma , U.S.",Actor film producer,Jennifer Aniston ( m.  2000;  div.  2005) Angelina Jolie ( m.  2014;  sep.  2016),6,5.152740987152371,50.1502426470085,55.302983634160874,"['Brad Pitt', 'Justin Theroux']","[2000, 2015]","[2005, 2017]","['Jennifer Aniston', 'Angelina Jolie']","[2000, 2014]","[2005, 2016]",,6.0,"['Brad Pitt', 'Justin Theroux']",2.0,"['Jennifer Aniston', 'Angelina Jolie']",2.0,4.0,2.0,"Sherman Oaks, California , U.S.","Shawnee, Oklahoma , U.S.","Sherman Oaks, California , U.S.","Shawnee, Oklahoma , U.S.",9qhcdy9,,1.0,11.0
53,53,53,Odette Annable,1985-05-10,Dave Annable  ( m.   2010 ),1,,Actress,"Los Angeles ,  California , U.S.",1979-09-15,"Suffern, New York , U.S.",Actor,Odette Annable  ( m.  2010),1,5.651040062424281,33.90897828155267,39.56001834397696,['Dave Annable'],[2010],,['Odette Annable'],[2010],,1.0,1.0,['Dave Annable'],1.0,['Odette Annable'],1.0,1.0,4.0,"Los Angeles ,  California , U.S.","Suffern, New York , U.S.","Los Angeles ,  California , U.S.","Suffern, New York , U.S.",9q5ctr1,,4.0,8.0
54,54,54,Susan Anton,1950-10-12,Jack Stein ( m.  1975;  div.  1980) Jeff Lester  ( m.  1992),,,"Actress, singer","Oak Glen, California , U.S.",,,,,,,68.48600587281052,,"['Jack Stein', 'Jeff Lester']","[1975, 1992]",[1980],,,,,,"['Jack Stein', 'Jeff Lester']",2.0,,,2.0,5.0,"Oak Glen, California , U.S.",,"Oak Glen, California , U.S.",,9q5cgq7,,9.0,
55,55,55,Shiri Appleby,1978-12-07,Jon Shook ( m.  2013),2,,"Actress, director","Los Angeles ,  California , U.S.",,,,,,,40.332108119947705,,['Jon Shook'],[2013],,,,,2.0,,['Jon Shook'],1.0,,,2.0,4.0,"Los Angeles ,  California , U.S.",,"Los Angeles ,  California , U.S.",,9q5ctr1,,11.0,
